path	kind	remote	branch	head
himoe-libero-wrist-fix	worktree	https://github.com/weijiansh1/himoe-libero-bridge.git	fix/libero-paper-wrist-layout	b879669c0ebc3024e8e7392bcc815eafbca4d573
himoe-libero-bridge	repo	https://github.com/weijiansh1/himoe-libero-bridge.git	master	652c749052b8e1a6981985248ae960e1726b5430
himoe-libero-state-audit	worktree	https://github.com/weijiansh1/himoe-libero-bridge.git	audit/libero-state-validity	72b6f34160908b095369842daabebeeea5c1ed61
himoe-calvin-alignment	worktree	https://github.com/weijiansh1/himoe-libero-bridge.git	align/calvin-released-checkpoint	9cbec6e29ed1ec13c4f7de60689778b38a06eb6e
himoe-flower-calvin	worktree	https://github.com/weijiansh1/himoe-libero-bridge.git	align/flower-calvin-d	f2ceeb47bdd052615173dac190c650e595dd94fe
himoe-libero-data-contract	worktree	https://github.com/weijiansh1/himoe-libero-bridge.git	audit/data-contract-v1	cb7c335f83119e7b07dd640c9eee6dd6cd69213d
himoe-libero-identity-toctou	worktree	https://github.com/weijiansh1/himoe-libero-bridge.git	fix/rad-identity-toctou	60f2fd6ee55ba853cfdc11369fcf94516505c711
himoe-libero-rad-v2	worktree	https://github.com/weijiansh1/himoe-libero-bridge.git	rad-v2-protocol	a89e8774dcba8c08698367816813ed2649e2b1c1
himoe-libero-source-id-fix	worktree	https://github.com/weijiansh1/himoe-libero-bridge.git	fix/rad-batch-source-identity	a5b288468a464b0a5d72f91b251262605e170199
demo/latex-next-live_gaokao_sh/tex	repo	https://github.com/weijiansh1/himoe-vla.git	master	dccd953f552f546e1a7c38eae1d36db28403802f
