parent,arm,success,rescue,harm,action_steps,queries,first_alarm,active_queries,actual_model_calls,deployed_model_calls,alias_of
plus-task00-init026,native,False,False,False,520,52,20,0,52,52,
plus-task00-init026,short,False,False,False,520,58,20,12,37,58,
plus-task00-init026,random_short,False,False,False,520,58,20,12,73,94,
plus-task00-init026,route_short,False,False,False,520,58,20,12,73,94,
pro-task03-init039,native,False,False,False,520,52,17,0,52,52,
pro-task03-init039,short,False,False,False,520,58,17,12,40,58,
pro-task03-init039,random_short,False,False,False,520,58,17,12,76,94,
pro-task03-init039,route_short,False,False,False,520,58,17,12,76,94,
plus-task06-init026,native,False,False,False,520,52,29,0,52,52,
plus-task06-init026,short,False,False,False,520,58,29,12,28,58,
plus-task06-init026,random_short,False,False,False,520,58,29,12,64,94,
plus-task06-init026,route_short,False,False,False,520,58,29,12,64,94,
plus-task03-init039,native,True,False,False,323,33,22,0,33,33,
plus-task03-init039,short,True,False,False,371,44,22,12,21,44,
plus-task03-init039,random_short,True,False,False,371,44,22,12,57,80,
plus-task03-init039,route_short,True,False,False,372,44,22,12,57,80,
plus-task00-init047,native,True,False,False,255,26,-1,0,26,26,
plus-task00-init047,short,True,False,False,255,26,-1,0,0,26,native
plus-task00-init047,random_short,True,False,False,255,26,-1,0,0,26,native
plus-task00-init047,route_short,True,False,False,255,26,-1,0,0,26,native
