parent,arm,head,success,action_steps,settle_steps,queries,suffix_queries,opportunities,proposals,cross_calls,accepted,model_calls,deployment_suffix_calls,deployment_full_calls,elapsed_seconds,rescue,harm,first_alarm,c0_exact,accepted_action_steps,executed_despite_old_rejection,step_delta_vs_native
plus-task00-init026,native,curvature,False,520,10,52,31,0,0,0,0,33,31,52,141.8282568603754,False,False,20,True,0,0,0
plus-task00-init026,joint,curvature,False,520,10,52,31,12,12,0,12,45,43,64,194.46543484181166,False,False,20,False,120,2,0
plus-task00-init026,route_only,curvature,False,520,10,52,31,12,12,12,12,57,55,76,229.22158974409103,False,False,20,True,120,2,0
plus-task00-init026,output_only,curvature,False,520,10,52,31,12,12,12,12,57,55,76,227.56560108065605,False,False,20,False,120,12,0
pro-task03-init039,native,freeze,False,520,10,52,34,0,0,0,0,36,34,52,122.50484251230955,False,False,17,True,0,0,0
pro-task03-init039,joint,freeze,False,520,10,52,34,12,12,0,12,48,46,64,175.47297717630863,False,False,17,False,120,1,0
pro-task03-init039,route_only,freeze,False,520,10,52,34,12,12,12,12,60,58,76,209.56090411543846,False,False,17,True,120,1,0
pro-task03-init039,output_only,freeze,False,520,10,52,34,12,12,12,12,60,58,76,207.69911118596792,False,False,17,False,120,11,0
plus-task06-init026,native,turbulence,False,520,10,52,22,0,0,0,0,24,22,52,97.65504618734121,False,False,29,True,0,0,0
plus-task06-init026,joint,turbulence,False,520,10,52,22,12,12,0,12,36,34,64,150.98862946778536,False,False,29,False,120,0,0
plus-task06-init026,route_only,turbulence,False,520,10,52,22,12,12,12,12,48,46,76,183.41454262286425,False,False,29,True,120,0,0
plus-task06-init026,output_only,turbulence,False,520,10,52,22,12,12,12,12,48,46,76,184.05328826606274,False,False,29,False,120,12,0
plus-task03-init026,native,inversion,False,520,10,52,18,0,0,0,0,20,18,52,111.10090058296919,False,False,33,True,0,0,0
plus-task03-init026,joint,inversion,False,520,10,52,18,12,12,0,12,32,30,64,165.37176552414894,False,False,33,False,120,1,0
plus-task03-init026,route_only,inversion,False,520,10,52,18,12,12,12,11,44,42,76,198.82546165585518,False,False,33,True,110,0,0
plus-task03-init026,output_only,inversion,False,520,10,52,18,12,12,12,12,44,42,76,197.35356521606445,False,False,33,False,120,11,0
plus-task03-init039,native,curvature,True,323,10,33,10,0,0,0,0,12,10,33,79.74611154943705,False,False,22,True,0,0,0
plus-task03-init039,joint,curvature,True,322,10,33,10,10,10,0,10,22,20,43,124.33307817578316,False,False,22,False,92,0,-1
plus-task03-init039,route_only,curvature,True,323,10,33,10,10,10,10,10,32,30,53,152.430916570127,False,False,22,True,93,0,0
plus-task03-init039,output_only,curvature,True,322,10,33,10,10,10,10,10,32,30,53,151.09010022878647,False,False,22,False,92,10,-1
