tag,benchmark,task_id,branch_query,strategy,seed,exit_code,success,action_steps,controlled_queries,replay_state_max_abs_diff,wall_seconds
plus-task00-LightConditions-0-init00,plus,2408,47,native,1,0,False,520,0,0.0,59.8
plus-task00-LightConditions-0-init00,plus,2408,47,native,0,0,False,520,0,0.0,60.1
plus-task00-LightConditions-0-init00,plus,2408,47,route_stay,0,0,False,520,1,0.0,57.5
plus-task00-LightConditions-0-init00,plus,2408,47,small_cluster,0,0,False,520,1,0.0,60.0
plus-task00-LightConditions-0-init00,plus,2408,47,random,1,0,False,520,1,0.0,61.5
plus-task00-LightConditions-0-init00,plus,2408,47,random,0,0,False,520,1,0.0,61.8
plus-task00-LightConditions-0-init00,plus,2408,47,big_cluster,1,0,False,520,1,0.0,60.5
plus-task00-LightConditions-0-init00,plus,2408,47,motion_max,0,0,False,520,1,0.0,60.3
plus-task00-LightConditions-0-init00,plus,2408,47,boundary,1,0,False,520,1,0.0,61.8
plus-task00-LightConditions-0-init00,plus,2408,47,big_cluster,0,0,False,520,1,0.0,61.1
plus-task00-LightConditions-0-init00,plus,2408,47,motion_max,1,0,False,520,1,0.0,60.3
plus-task00-LightConditions-0-init00,plus,2408,47,flow_straight,1,0,False,520,1,0.0,58.5
plus-task00-LightConditions-0-init00,plus,2408,47,route_exit,1,0,False,520,1,0.0,59.8
plus-task00-LightConditions-0-init00,plus,2408,47,boundary,0,0,False,520,1,0.0,62.5
plus-task00-LightConditions-0-init00,plus,2408,47,route_stay,1,0,False,520,1,0.0,59.2
plus-task00-LightConditions-0-init00,plus,2408,47,flow_curved,0,0,False,520,1,0.0,58.3
plus-task00-LightConditions-0-init00,plus,2408,47,v82_min,1,0,False,520,1,0.0,57.4
plus-task00-LightConditions-0-init00,plus,2408,47,route_exit,0,0,False,520,1,0.0,60.1
plus-task00-LightConditions-0-init00,plus,2408,47,flow_curved,1,0,False,520,1,0.0,58.0
plus-task00-LightConditions-0-init00,plus,2408,47,small_cluster,1,0,False,520,1,0.0,61.6
plus-task00-LightConditions-0-init00,plus,2408,47,kick,0,0,False,520,1,0.0,57.1
plus-task00-LightConditions-0-init00,plus,2408,47,kick,1,0,False,520,1,0.0,56.8
plus-task00-LightConditions-0-init00,plus,2408,47,flow_straight,0,0,False,520,1,0.0,59.0
plus-task00-LightConditions-0-init00,plus,2408,47,v82_min,0,0,False,520,1,0.0,57.8
plus-task01-ObjectsLayout-0-init00,plus,2125,42,native,0,0,False,520,0,0.0,69.9
plus-task01-ObjectsLayout-0-init00,plus,2125,42,random,0,0,False,520,1,0.0,70.9
plus-task01-ObjectsLayout-0-init00,plus,2125,42,boundary,0,0,False,520,1,0.0,70.7
plus-task01-ObjectsLayout-0-init00,plus,2125,42,small_cluster,1,0,False,520,1,0.0,70.0
plus-task01-ObjectsLayout-0-init00,plus,2125,42,boundary,1,0,False,520,1,0.0,71.4
plus-task01-ObjectsLayout-0-init00,plus,2125,42,native,1,0,False,520,0,0.0,73.0
plus-task01-ObjectsLayout-0-init00,plus,2125,42,random,1,0,False,520,1,0.0,72.7
plus-task01-ObjectsLayout-0-init00,plus,2125,42,small_cluster,0,0,False,520,1,0.0,72.4
plus-task01-ObjectsLayout-0-init00,plus,2125,42,route_exit,0,0,False,520,1,0.0,71.2
plus-task01-ObjectsLayout-0-init00,plus,2125,42,route_stay,1,0,False,520,1,0.0,70.4
plus-task01-ObjectsLayout-0-init00,plus,2125,42,big_cluster,0,0,False,520,1,0.0,73.3
plus-task00-RobotInitialStates-0-init00,plus,298,33,native,0,0,False,520,0,0.0,90.3
plus-task00-RobotInitialStates-0-init00,plus,298,33,random,0,0,False,520,1,0.0,89.7
plus-task00-RobotInitialStates-0-init00,plus,298,33,small_cluster,1,0,False,520,1,0.0,88.3
plus-task00-RobotInitialStates-0-init00,plus,298,33,native,1,0,False,520,0,0.0,90.5
plus-task01-ObjectsLayout-0-init00,plus,2125,42,motion_max,0,0,False,520,1,0.0,74.2
plus-task01-ObjectsLayout-0-init00,plus,2125,42,kick,1,0,False,520,1,0.0,70.4
plus-task00-RobotInitialStates-0-init00,plus,298,33,boundary,1,0,False,520,1,0.0,90.3
plus-task00-RobotInitialStates-0-init00,plus,298,33,kick,1,0,False,520,1,0.0,84.9
plus-task00-RobotInitialStates-0-init00,plus,298,33,boundary,0,0,False,520,1,0.0,90.8
plus-task00-RobotInitialStates-0-init00,plus,298,33,route_stay,1,0,False,520,1,0.0,88.4
plus-task00-RobotInitialStates-0-init00,plus,298,33,small_cluster,0,0,False,520,1,0.0,91.1
plus-task00-RobotInitialStates-0-init00,plus,298,33,random,1,0,False,520,1,0.0,92.0
