tag,benchmark,task_id,branch_query,strategy,seed,exit_code,success,action_steps,controlled_queries,replay_state_max_abs_diff,wall_seconds
plus-task00-LanguageInstructions-0-init00,plus,1108,0,kick,1,0,True,247,0,0.0,84.5
plus-task00-BackgroundTextures-0-init00,plus,155,0,kick,0,0,True,252,0,0.0,90.3
plus-task00-BackgroundTextures-0-init00,plus,155,0,kick,1,0,True,266,0,0.0,96.2
plus-task00-SensorNoise-0-init00,plus,1512,0,kick,1,0,True,262,0,0.0,102.9
plus-task00-LightConditions-0-init00,plus,2408,0,kick,0,0,True,263,0,0.0,106.6
plus-task00-SensorNoise-0-init00,plus,1512,0,kick,0,0,True,262,0,0.0,105.3
plus-task00-LanguageInstructions-0-init00,plus,1108,0,kick,0,0,True,305,0,0.0,107.7
plus-task01-LightConditions-0-init00,plus,2429,0,kick,1,0,True,243,0,0.0,102.8
plus-task01-BackgroundTextures-0-init00,plus,190,0,kick,0,0,True,243,0,0.0,105.7
plus-task01-LightConditions-0-init00,plus,2429,0,kick,0,0,True,243,0,0.0,105.7
plus-task02-BackgroundTextures-0-init00,plus,15,0,kick,1,0,True,235,0,0.0,103.4
plus-task01-CameraViewpoints-0-init00,plus,717,0,kick,0,0,True,247,0,0.0,107.4
plus-task01-CameraViewpoints-0-init00,plus,717,0,kick,1,0,True,252,0,0.0,108.2
plus-task00-LightConditions-0-init00,plus,2408,0,kick,1,0,True,263,0,0.0,111.2
plus-task01-BackgroundTextures-0-init00,plus,190,0,kick,1,0,True,241,0,0.0,110.4
plus-task01-SensorNoise-0-init00,plus,1551,0,kick,0,0,True,235,0,0.0,107.1
plus-task05-RobotInitialStates-0-init00,plus,515,0,kick,1,0,True,167,0,0.0,93.9
plus-task02-LightConditions-0-init00,plus,2262,0,kick,0,0,True,239,0,0.0,108.0
plus-task03-LightConditions-0-init00,plus,2320,0,kick,0,0,True,217,0,0.0,104.2
plus-task03-LightConditions-0-init00,plus,2320,0,kick,1,0,True,214,0,0.0,104.0
plus-task02-SensorNoise-0-init00,plus,1598,0,kick,1,0,True,247,0,0.0,106.6
plus-task05-RobotInitialStates-0-init00,plus,515,0,kick,0,0,True,164,0,0.0,94.9
plus-task01-SensorNoise-0-init00,plus,1551,0,kick,1,0,True,243,0,0.0,111.0
plus-task02-SensorNoise-0-init00,plus,1598,0,kick,0,0,True,241,0,0.0,107.6
plus-task02-ObjectsLayout-0-init00,plus,1950,0,kick,1,0,True,272,0,0.0,108.6
plus-task02-LightConditions-0-init00,plus,2262,0,kick,1,0,True,240,0,0.0,109.9
plus-task03-ObjectsLayout-0-init00,plus,1971,0,kick,0,0,True,226,0,0.0,106.1
plus-task04-LanguageInstructions-0-init00,plus,1273,0,kick,1,0,True,251,0,0.0,105.7
plus-task02-ObjectsLayout-0-init00,plus,1950,0,kick,0,0,True,299,0,0.0,113.8
plus-task03-ObjectsLayout-0-init00,plus,1971,0,kick,1,0,True,225,0,0.0,109.9
plus-task05-LanguageInstructions-0-init00,plus,1302,0,kick,1,0,True,205,0,0.0,103.5
plus-task04-BackgroundTextures-0-init00,plus,224,0,kick,0,0,True,243,0,0.0,109.5
plus-task04-LightConditions-0-init00,plus,2463,0,kick,0,0,True,236,0,0.0,108.1
plus-task04-BackgroundTextures-0-init00,plus,224,0,kick,1,0,True,261,0,0.0,113.6
plus-task05-LightConditions-0-init00,plus,2499,0,kick,1,0,True,260,0,0.0,112.1
plus-task05-LanguageInstructions-0-init00,plus,1302,0,kick,0,0,True,258,0,0.0,114.3
plus-task05-BackgroundTextures-0-init00,plus,283,0,kick,1,0,True,232,0,0.0,115.4
plus-task04-LightConditions-0-init00,plus,2463,0,kick,1,0,True,244,0,0.0,118.5
plus-task05-BackgroundTextures-0-init00,plus,283,0,kick,0,0,True,263,0,0.0,119.4
plus-task06-BackgroundTextures-0-init00,plus,257,0,kick,0,0,True,238,0,0.0,115.2
plus-task06-BackgroundTextures-0-init00,plus,257,0,kick,1,0,True,258,0,0.0,114.9
plus-task05-CameraViewpoints-0-init00,plus,879,0,kick,0,0,True,271,0,0.0,119.0
plus-task03-CameraViewpoints-0-init00,plus,821,0,kick,0,0,True,351,0,0.0,130.1
