tag,benchmark,task_id,branch_query,strategy,seed,exit_code,success,action_steps,controlled_queries,replay_state_max_abs_diff,wall_seconds
plus-task00-BackgroundTextures-0-init00,plus,155,0,kick_if_open,0,0,True,252,0,0.0,89.6
plus-task00-BackgroundTextures-0-init00,plus,155,0,kick_if_open,1,0,True,267,0,0.0,91.7
plus-task00-SensorNoise-0-init00,plus,1512,0,kick_if_open,0,0,True,261,0,0.0,89.2
plus-task00-LanguageInstructions-0-init00,plus,1108,0,kick_if_open,0,0,True,299,0,0.0,93.0
plus-task01-LightConditions-0-init00,plus,2429,0,kick_if_open,0,0,True,242,0,0.0,89.2
plus-task00-LightConditions-0-init00,plus,2408,0,kick_if_open,1,0,True,263,0,0.0,94.3
plus-task01-BackgroundTextures-0-init00,plus,190,0,kick_if_open,1,0,True,242,0,0.0,93.0
plus-task01-CameraViewpoints-0-init00,plus,717,0,kick_if_open,0,0,True,260,0,0.0,93.8
plus-task00-LightConditions-0-init00,plus,2408,0,kick_if_open,0,0,True,264,0,0.0,98.8
plus-task01-SensorNoise-0-init00,plus,1551,0,kick_if_open,0,0,True,237,0,0.0,93.3
plus-task01-CameraViewpoints-0-init00,plus,717,0,kick_if_open,1,0,True,261,0,0.0,97.6
plus-task01-BackgroundTextures-0-init00,plus,190,0,kick_if_open,0,0,True,242,0,0.0,100.3
plus-task02-BackgroundTextures-0-init00,plus,15,0,kick_if_open,1,0,True,229,0,0.0,96.2
plus-task02-LightConditions-0-init00,plus,2262,0,kick_if_open,0,0,True,239,0,0.0,95.8
plus-task00-SensorNoise-0-init00,plus,1512,0,kick_if_open,1,0,True,261,0,0.0,102.3
plus-task01-LightConditions-0-init00,plus,2429,0,kick_if_open,1,0,True,243,0,0.0,99.9
plus-task01-ObjectsLayout-0-init00,plus,2125,0,kick_if_open,1,0,True,276,0,0.0,102.2
plus-task01-SensorNoise-0-init00,plus,1551,0,kick_if_open,1,0,True,241,0,0.0,101.4
plus-task03-LightConditions-0-init00,plus,2320,0,kick_if_open,1,0,True,214,0,0.0,96.5
plus-task01-RobotInitialStates-0-init00,plus,332,0,kick_if_open,1,0,True,280,0,0.0,103.7
plus-task01-ObjectsLayout-0-init00,plus,2125,0,kick_if_open,0,0,True,264,0,0.0,105.8
plus-task02-LightConditions-0-init00,plus,2262,0,kick_if_open,1,0,True,240,0,0.0,102.1
plus-task03-ObjectsLayout-0-init00,plus,1971,0,kick_if_open,0,0,True,226,0,0.0,98.0
plus-task02-SensorNoise-0-init00,plus,1598,0,kick_if_open,0,0,True,242,0,0.0,102.2
plus-task03-LightConditions-0-init00,plus,2320,0,kick_if_open,0,0,True,221,0,0.0,99.8
plus-task02-SensorNoise-0-init00,plus,1598,0,kick_if_open,1,0,True,245,0,0.0,102.4
plus-task03-CameraViewpoints-0-init00,plus,821,0,kick_if_open,0,0,True,268,0,0.0,101.8
plus-task00-LanguageInstructions-0-init00,plus,1108,0,kick_if_open,1,0,True,332,0,0.0,115.8
plus-task04-BackgroundTextures-0-init00,plus,224,0,kick_if_open,0,0,True,235,0,0.0,104.0
plus-task05-LanguageInstructions-0-init00,plus,1302,0,kick_if_open,1,0,True,207,0,0.0,98.8
plus-task03-ObjectsLayout-0-init00,plus,1971,0,kick_if_open,1,0,True,225,0,0.0,106.3
plus-task02-ObjectsLayout-0-init00,plus,1950,0,kick_if_open,1,0,True,274,1,0.0,111.1
plus-task06-BackgroundTextures-0-init00,plus,257,0,kick_if_open,0,0,True,233,0,0.0,97.6
plus-task05-BackgroundTextures-0-init00,plus,283,0,kick_if_open,1,0,True,233,0,0.0,102.2
plus-task05-LanguageInstructions-0-init00,plus,1302,0,kick_if_open,0,0,True,259,1,0.0,103.1
plus-task04-LanguageInstructions-0-init00,plus,1273,0,kick_if_open,1,0,True,247,0,0.0,107.2
plus-task04-BackgroundTextures-0-init00,plus,224,0,kick_if_open,1,0,True,245,0,0.0,108.8
plus-task04-LightConditions-0-init00,plus,2463,0,kick_if_open,0,0,True,230,0,0.0,107.5
plus-task04-LightConditions-0-init00,plus,2463,0,kick_if_open,1,0,True,244,0,0.0,107.4
plus-task05-LightConditions-0-init00,plus,2499,0,kick_if_open,0,0,True,293,1,0.0,110.5
plus-task05-CameraViewpoints-0-init00,plus,879,0,kick_if_open,0,0,True,277,1,0.0,112.5
plus-task06-BackgroundTextures-0-init00,plus,257,0,kick_if_open,1,0,True,259,0,0.0,108.9
plus-task05-LightConditions-0-init00,plus,2499,0,kick_if_open,1,0,True,268,0,0.0,112.6
plus-task05-SensorNoise-0-init00,plus,1718,0,kick_if_open,0,0,True,192,0,0.0,114.2
plus-task04-SensorNoise-0-init00,plus,1666,0,kick_if_open,0,0,True,234,0,0.0,121.2
plus-task05-BackgroundTextures-0-init00,plus,283,0,kick_if_open,0,0,True,288,1,0.0,121.0
plus-task04-SensorNoise-0-init00,plus,1666,0,kick_if_open,1,0,True,235,0,0.0,122.8
plus-task05-SensorNoise-0-init00,plus,1718,0,kick_if_open,1,0,True,187,0,0.0,119.6
plus-task05-RobotInitialStates-0-init00,plus,515,0,kick_if_open,1,0,True,313,1,0.0,120.3
plus-task05-RobotInitialStates-0-init00,plus,515,0,kick_if_open,0,0,True,323,1,0.0,122.6
plus-task00-CameraViewpoints-0-init00,plus,685,0,kick_if_open,0,0,False,520,0,0.0,146.6
plus-task00-RobotInitialStates-0-init00,plus,298,0,kick_if_open,0,0,False,520,0,0.0,148.5
plus-task02-BackgroundTextures-0-init00,plus,15,0,kick_if_open,0,0,False,520,1,0.0,145.1
plus-task00-ObjectsLayout-0-init00,plus,2069,0,kick_if_open,1,0,False,520,1,0.0,151.6
plus-task00-ObjectsLayout-0-init00,plus,2069,0,kick_if_open,0,0,False,520,1,0.0,153.0
plus-task01-LanguageInstructions-0-init00,plus,1148,0,kick_if_open,0,0,False,520,1,0.0,150.1
plus-task00-CameraViewpoints-0-init00,plus,685,0,kick_if_open,1,0,False,520,1,0.0,156.8
plus-task07-BackgroundTextures-0-init00,plus,141,0,kick_if_open,0,0,True,254,0,0.0,65.4
plus-task02-ObjectsLayout-0-init00,plus,1950,0,kick_if_open,0,0,False,520,1,0.0,148.4
plus-task07-BackgroundTextures-0-init00,plus,141,0,kick_if_open,1,0,True,252,0,0.0,65.8
plus-task00-RobotInitialStates-0-init00,plus,298,0,kick_if_open,1,0,False,520,1,0.0,158.3
plus-task01-RobotInitialStates-0-init00,plus,332,0,kick_if_open,0,0,False,520,1,0.0,156.2
plus-task02-CameraViewpoints-0-init00,plus,736,0,kick_if_open,1,0,False,520,1,0.0,156.4
plus-task01-LanguageInstructions-0-init00,plus,1148,0,kick_if_open,1,0,False,520,1,0.0,160.0
plus-task02-LanguageInstructions-0-init00,plus,1200,0,kick_if_open,0,0,False,520,1,0.0,157.6
plus-task02-LanguageInstructions-0-init00,plus,1200,0,kick_if_open,1,0,False,520,1,0.0,157.9
plus-task03-RobotInitialStates-0-init00,plus,424,0,kick_if_open,0,0,False,520,1,0.0,153.5
plus-task04-LanguageInstructions-0-init00,plus,1273,0,kick_if_open,0,0,False,520,1,0.0,152.8
plus-task02-RobotInitialStates-0-init00,plus,408,0,kick_if_open,1,0,False,520,1,0.0,159.2
plus-task03-BackgroundTextures-0-init00,plus,59,0,kick_if_open,0,0,False,520,1,0.0,159.7
plus-task03-CameraViewpoints-0-init00,plus,821,0,kick_if_open,1,0,False,520,1,0.0,160.9
plus-task07-LanguageInstructions-0-init00,plus,1385,0,kick_if_open,1,0,True,299,0,0.0,75.8
plus-task03-RobotInitialStates-0-init00,plus,424,0,kick_if_open,1,0,False,520,1,0.0,159.3
plus-task07-LanguageInstructions-0-init00,plus,1385,0,kick_if_open,0,0,True,299,0,0.0,77.9
plus-task03-LanguageInstructions-0-init00,plus,1241,0,kick_if_open,1,0,False,520,1,0.0,162.1
plus-task02-CameraViewpoints-0-init00,plus,736,0,kick_if_open,0,0,False,520,1,0.0,168.3
plus-task04-CameraViewpoints-0-init00,plus,843,0,kick_if_open,0,0,False,520,1,0.0,160.0
plus-task06-ObjectsLayout-0-init00,plus,2165,0,kick_if_open,0,0,False,520,1,0.0,151.9
plus-task04-RobotInitialStates-0-init00,plus,488,0,kick_if_open,0,0,False,520,1,0.0,159.9
plus-task03-BackgroundTextures-0-init00,plus,59,0,kick_if_open,1,0,False,520,1,0.0,168.5
plus-task05-CameraViewpoints-0-init00,plus,879,0,kick_if_open,1,0,False,520,1,0.0,161.7
plus-task06-ObjectsLayout-0-init00,plus,2165,0,kick_if_open,1,0,False,520,1,0.0,156.5
plus-task02-RobotInitialStates-0-init00,plus,408,0,kick_if_open,0,0,False,520,1,0.0,173.9
plus-task06-LightConditions-0-init00,plus,2479,0,kick_if_open,0,0,False,520,1,0.0,159.0
plus-task04-CameraViewpoints-0-init00,plus,843,0,kick_if_open,1,0,False,520,1,0.0,169.0
plus-task06-LanguageInstructions-0-init00,plus,1348,0,kick_if_open,0,0,False,520,1,0.0,160.3
plus-task04-ObjectsLayout-0-init00,plus,2146,0,kick_if_open,0,0,False,520,1,0.0,167.8
plus-task03-LanguageInstructions-0-init00,plus,1241,0,kick_if_open,0,0,False,520,1,0.0,174.0
plus-task05-ObjectsLayout-0-init00,plus,2200,0,kick_if_open,1,0,False,520,1,0.0,164.3
plus-task06-LanguageInstructions-0-init00,plus,1348,0,kick_if_open,1,0,False,520,1,0.0,162.9
plus-task04-ObjectsLayout-0-init00,plus,2146,0,kick_if_open,1,0,False,520,1,0.0,170.1
plus-task06-CameraViewpoints-0-init00,plus,952,0,kick_if_open,1,0,False,520,1,0.0,164.4
plus-task06-RobotInitialStates-0-init00,plus,559,0,kick_if_open,1,0,False,520,1,0.0,162.9
plus-task04-RobotInitialStates-0-init00,plus,488,0,kick_if_open,1,0,False,520,1,0.0,171.9
plus-task06-LightConditions-0-init00,plus,2479,0,kick_if_open,1,0,False,520,1,0.0,175.8
plus-task07-CameraViewpoints-0-init00,plus,1012,0,kick_if_open,1,0,True,392,1,0.0,111.0
plus-task09-SensorNoise-0-init00,plus,1884,0,kick_if_open,0,0,True,267,0,0.0,77.4
plus-task05-ObjectsLayout-0-init00,plus,2200,0,kick_if_open,0,0,False,520,1,0.0,189.7
plus-task06-CameraViewpoints-0-init00,plus,952,0,kick_if_open,0,0,False,520,1,0.0,190.1
plus-task06-RobotInitialStates-0-init00,plus,559,0,kick_if_open,0,0,False,520,1,0.0,189.4
pro-task00-init00,pro,0,0,kick_if_open,0,0,True,261,0,0.0,77.1
pro-task00-init00,pro,0,0,kick_if_open,1,0,True,260,0,0.0,81.9
plus-task06-SensorNoise-0-init00,plus,1794,0,kick_if_open,0,0,False,520,1,0.0,147.2
plus-task07-CameraViewpoints-0-init00,plus,1012,0,kick_if_open,0,0,False,520,1,0.0,142.3
pro-task00-init07,pro,0,0,kick_if_open,0,0,True,253,0,0.0,84.4
pro-task00-init05,pro,0,0,kick_if_open,0,0,True,263,0,0.0,88.5
plus-task06-SensorNoise-0-init00,plus,1794,0,kick_if_open,1,0,False,520,1,0.0,153.0
plus-task07-RobotInitialStates-0-init00,plus,605,0,kick_if_open,0,0,False,520,1,0.0,141.1
pro-task00-init05,pro,0,0,kick_if_open,1,0,True,272,0,0.0,91.1
plus-task07-LightConditions-0-init00,plus,2398,0,kick_if_open,1,0,False,520,1,0.0,151.9
pro-task00-init09,pro,0,0,kick_if_open,0,0,True,252,0,0.0,87.3
pro-task01-init00,pro,1,0,kick_if_open,0,0,True,242,0,0.0,85.8
pro-task01-init01,pro,1,0,kick_if_open,1,0,True,247,0,0.0,82.3
pro-task00-init09,pro,0,0,kick_if_open,1,0,True,253,0,0.0,87.1
pro-task01-init00,pro,1,0,kick_if_open,1,0,True,241,0,0.0,85.5
pro-task01-init02,pro,1,0,kick_if_open,0,0,True,232,0,0.0,82.3
plus-task08-RobotInitialStates-0-init00,plus,612,0,kick_if_open,1,0,False,520,1,0.0,136.9
plus-task07-RobotInitialStates-0-init00,plus,605,0,kick_if_open,1,0,False,520,1,0.0,148.2
plus-task07-ObjectsLayout-0-init00,plus,2046,0,kick_if_open,0,0,False,520,1,0.0,151.5
pro-task01-init03,pro,1,0,kick_if_open,0,0,True,248,0,0.0,79.9
plus-task08-RobotInitialStates-0-init00,plus,612,0,kick_if_open,0,0,False,520,1,0.0,139.4
pro-task01-init04,pro,1,0,kick_if_open,0,0,True,243,0,0.0,79.3
pro-task00-init02,pro,0,0,kick_if_open,0,0,True,368,1,0.0,109.7
pro-task00-init04,pro,0,0,kick_if_open,1,0,True,330,0,0.0,100.8
pro-task01-init02,pro,1,0,kick_if_open,1,0,True,248,0,0.0,83.1
plus-task08-BackgroundTextures-0-init00,plus,114,0,kick_if_open,0,0,False,520,1,0.0,146.6
plus-task07-LightConditions-0-init00,plus,2398,0,kick_if_open,0,0,False,520,1,0.0,155.2
pro-task01-init06,pro,1,0,kick_if_open,1,0,True,234,0,0.0,76.2
plus-task08-CameraViewpoints-0-init00,plus,1055,0,kick_if_open,1,0,False,520,1,0.0,144.5
plus-task08-BackgroundTextures-0-init00,plus,114,0,kick_if_open,1,0,False,520,1,0.0,146.5
plus-task08-CameraViewpoints-0-init00,plus,1055,0,kick_if_open,0,0,False,520,1,0.0,144.9
pro-task01-init04,pro,1,0,kick_if_open,1,0,True,246,0,0.0,80.6
pro-task01-init03,pro,1,0,kick_if_open,1,0,True,248,0,0.0,81.5
pro-task01-init06,pro,1,0,kick_if_open,0,0,True,237,0,0.0,78.5
plus-task08-LightConditions-0-init00,plus,2378,0,kick_if_open,1,0,False,520,1,0.0,142.3
plus-task03-SensorNoise-0-init00,plus,1621,0,kick_if_open,1,0,False,520,1,0.0,240.0
plus-task08-ObjectsLayout-0-init00,plus,2021,0,kick_if_open,0,0,False,520,1,0.0,142.0
plus-task08-LightConditions-0-init00,plus,2378,0,kick_if_open,0,0,False,520,1,0.0,143.5
pro-task01-init05,pro,1,0,kick_if_open,0,0,True,246,0,0.0,80.3
plus-task07-ObjectsLayout-0-init00,plus,2046,0,kick_if_open,1,0,False,520,1,0.0,152.1
plus-task09-BackgroundTextures-0-init00,plus,88,0,kick_if_open,1,0,False,520,1,0.0,134.6
pro-task01-init07,pro,1,0,kick_if_open,0,0,True,240,0,0.0,76.9
plus-task08-LanguageInstructions-0-init00,plus,1432,0,kick_if_open,1,0,False,520,1,0.0,144.2
plus-task08-ObjectsLayout-0-init00,plus,2021,0,kick_if_open,1,0,False,520,1,0.0,142.3
plus-task09-LanguageInstructions-0-init00,plus,1458,0,kick_if_open,1,0,False,520,1,0.0,131.6
pro-task01-init05,pro,1,0,kick_if_open,1,0,True,251,0,0.0,80.3
plus-task09-CameraViewpoints-0-init00,plus,1065,0,kick_if_open,0,0,False,520,1,0.0,134.8
plus-task08-SensorNoise-0-init00,plus,1850,0,kick_if_open,0,0,False,520,1,0.0,136.8
pro-task01-init07,pro,1,0,kick_if_open,1,0,True,237,0,0.0,76.2
plus-task08-LanguageInstructions-0-init00,plus,1432,0,kick_if_open,0,0,False,520,1,0.0,145.8
pro-task01-init08,pro,1,0,kick_if_open,1,0,True,252,0,0.0,74.8
pro-task01-init08,pro,1,0,kick_if_open,0,0,True,250,0,0.0,77.1
pro-task02-init01,pro,2,0,kick_if_open,0,0,True,219,0,0.0,76.1
plus-task09-RobotInitialStates-0-init00,plus,655,0,kick_if_open,1,0,False,520,1,0.0,129.9
plus-task09-CameraViewpoints-0-init00,plus,1065,0,kick_if_open,1,0,False,520,1,0.0,144.1
plus-task09-LanguageInstructions-0-init00,plus,1458,0,kick_if_open,0,0,False,520,1,0.0,142.3
plus-task03-SensorNoise-0-init00,plus,1621,0,kick_if_open,0,0,False,520,1,0.0,251.9
plus-task08-SensorNoise-0-init00,plus,1850,0,kick_if_open,1,0,False,520,1,0.0,146.8
pro-task01-init09,pro,1,0,kick_if_open,0,0,True,250,0,0.0,84.2
pro-task00-init01,pro,0,0,kick_if_open,0,0,False,520,1,0.0,127.3
plus-task09-BackgroundTextures-0-init00,plus,88,0,kick_if_open,0,0,False,520,1,0.0,149.1
plus-task09-ObjectsLayout-0-init00,plus,2012,0,kick_if_open,1,0,False,520,1,0.0,137.5
plus-task09-LightConditions-0-init00,plus,2346,0,kick_if_open,0,0,False,520,1,0.0,146.2
pro-task02-init01,pro,2,0,kick_if_open,1,0,True,229,0,0.0,84.3
plus-task09-ObjectsLayout-0-init00,plus,2012,0,kick_if_open,0,0,False,520,1,0.0,146.1
pro-task02-init00,pro,2,0,kick_if_open,1,0,True,246,0,0.0,86.3
pro-task02-init00,pro,2,0,kick_if_open,0,0,True,240,0,0.0,87.6
pro-task01-init09,pro,1,0,kick_if_open,1,0,True,252,0,0.0,88.6
pro-task02-init02,pro,2,0,kick_if_open,0,0,True,239,0,0.0,89.9
plus-task09-RobotInitialStates-0-init00,plus,655,0,kick_if_open,0,0,False,520,1,0.0,146.3
plus-task09-LightConditions-0-init00,plus,2346,0,kick_if_open,1,0,False,520,1,0.0,156.0
pro-task02-init03,pro,2,0,kick_if_open,0,0,True,243,0,0.0,98.3
pro-task00-init02,pro,0,0,kick_if_open,1,0,False,520,1,0.0,144.5
pro-task02-init04,pro,2,0,kick_if_open,0,0,True,235,0,0.0,100.0
pro-task00-init03,pro,0,0,kick_if_open,0,0,False,520,1,0.0,144.2
plus-task09-SensorNoise-0-init00,plus,1884,0,kick_if_open,1,0,False,520,1,0.0,153.0
pro-task00-init04,pro,0,0,kick_if_open,0,0,False,520,0,0.0,139.5
pro-task02-init04,pro,2,0,kick_if_open,1,0,True,233,0,0.0,100.9
pro-task00-init01,pro,0,0,kick_if_open,1,0,False,520,1,0.0,150.6
pro-task00-init03,pro,0,0,kick_if_open,1,0,False,520,1,0.0,144.1
pro-task00-init06,pro,0,0,kick_if_open,1,0,False,520,1,0.0,138.1
pro-task00-init07,pro,0,0,kick_if_open,1,0,False,520,0,0.0,137.5
pro-task00-init08,pro,0,0,kick_if_open,1,0,False,520,1,0.0,139.9
pro-task00-init06,pro,0,0,kick_if_open,0,0,False,520,1,0.0,145.9
pro-task02-init05,pro,2,0,kick_if_open,0,0,True,232,0,0.0,101.8
pro-task01-init01,pro,1,0,kick_if_open,0,0,False,520,1,0.0,140.8
pro-task00-init08,pro,0,0,kick_if_open,0,0,False,520,1,0.0,151.0
pro-task02-init05,pro,2,0,kick_if_open,1,0,True,237,0,0.0,106.9
pro-task02-init08,pro,2,0,kick_if_open,0,0,True,227,0,0.0,101.6
pro-task02-init07,pro,2,0,kick_if_open,0,0,True,254,0,0.0,105.8
pro-task03-init01,pro,3,0,kick_if_open,1,0,True,215,0,0.0,79.7
pro-task03-init01,pro,3,0,kick_if_open,0,0,True,206,0,0.0,83.3
pro-task02-init09,pro,2,0,kick_if_open,1,0,True,232,0,0.0,93.0
pro-task02-init09,pro,2,0,kick_if_open,0,0,True,235,0,0.0,94.0
pro-task03-init04,pro,3,0,kick_if_open,0,0,True,212,0,0.0,78.9
pro-task03-init03,pro,3,0,kick_if_open,1,0,True,211,0,0.0,82.0
pro-task03-init04,pro,3,0,kick_if_open,1,0,True,229,0,0.0,83.4
pro-task03-init03,pro,3,0,kick_if_open,0,0,True,211,0,0.0,85.2
pro-task05-init08,pro,5,0,kick_if_open,1,0,True,148,0,0.0,67.7
pro-task05-init01,pro,5,0,kick_if_open,0,0,True,176,0,0.0,75.0
pro-task03-init09,pro,3,0,kick_if_open,1,0,True,207,0,0.0,82.4
pro-task03-init09,pro,3,0,kick_if_open,0,0,True,208,0,0.0,82.7
pro-task03-init08,pro,3,0,kick_if_open,1,0,True,221,0,0.0,83.2
pro-task05-init00,pro,5,0,kick_if_open,1,0,True,175,0,0.0,78.0
pro-task03-init08,pro,3,0,kick_if_open,0,0,True,223,0,0.0,85.8
pro-task03-init02,pro,3,0,kick_if_open,0,0,True,268,0,0.0,95.7
pro-task05-init03,pro,5,0,kick_if_open,1,0,True,167,0,0.0,77.7
pro-task05-init01,pro,5,0,kick_if_open,1,0,True,179,0,0.0,79.6
pro-task05-init05,pro,5,0,kick_if_open,1,0,True,165,0,0.0,76.8
pro-task02-init02,pro,2,0,kick_if_open,1,0,False,520,1,0.0,156.4
pro-task05-init07,pro,5,0,kick_if_open,1,0,True,172,0,0.0,76.7
pro-task04-init02,pro,4,0,kick_if_open,0,0,True,218,0,0.0,89.2
pro-task04-init00,pro,4,0,kick_if_open,0,0,True,232,0,0.0,92.6
pro-task03-init02,pro,3,0,kick_if_open,1,0,True,272,0,0.0,98.5
pro-task04-init03,pro,4,0,kick_if_open,0,0,True,225,0,0.0,92.6
pro-task04-init02,pro,4,0,kick_if_open,1,0,True,236,0,0.0,93.1
pro-task05-init07,pro,5,0,kick_if_open,0,0,True,181,0,0.0,82.8
pro-task05-init06,pro,5,0,kick_if_open,1,0,True,191,0,0.0,85.4
pro-task04-init00,pro,4,0,kick_if_open,1,0,True,240,0,0.0,96.3
pro-task04-init06,pro,4,0,kick_if_open,1,0,True,240,0,0.0,93.4
pro-task04-init04,pro,4,0,kick_if_open,0,0,True,236,0,0.0,95.0
pro-task04-init06,pro,4,0,kick_if_open,0,0,True,235,0,0.0,95.3
pro-task04-init05,pro,4,0,kick_if_open,0,0,True,238,0,0.0,96.5
pro-task05-init09,pro,5,0,kick_if_open,0,0,True,183,0,0.0,85.7
pro-task04-init03,pro,4,0,kick_if_open,1,0,True,231,0,0.0,98.4
pro-task02-init03,pro,2,0,kick_if_open,1,0,False,520,1,0.0,168.7
pro-task04-init05,pro,4,0,kick_if_open,1,0,True,240,0,0.0,98.9
pro-task04-init04,pro,4,0,kick_if_open,1,0,True,251,0,0.0,99.5
pro-task04-init09,pro,4,0,kick_if_open,0,0,True,238,0,0.0,97.8
pro-task05-init06,pro,5,0,kick_if_open,0,0,True,220,0,0.0,93.8
pro-task05-init02,pro,5,0,kick_if_open,0,0,True,235,0,0.0,97.8
pro-task05-init08,pro,5,0,kick_if_open,0,0,True,217,0,0.0,91.5
pro-task05-init03,pro,5,0,kick_if_open,0,0,True,241,0,0.0,97.7
pro-task05-init09,pro,5,0,kick_if_open,1,0,True,203,0,0.0,90.6
pro-task04-init07,pro,4,0,kick_if_open,1,0,True,246,0,0.0,101.3
pro-task05-init04,pro,5,0,kick_if_open,0,0,True,232,0,0.0,100.3
pro-task04-init07,pro,4,0,kick_if_open,0,0,True,249,0,0.0,104.5
pro-task05-init02,pro,5,0,kick_if_open,1,0,True,233,0,0.0,101.2
pro-task04-init09,pro,4,0,kick_if_open,1,0,True,242,0,0.0,103.7
pro-task05-init00,pro,5,0,kick_if_open,0,0,True,292,1,0.0,110.7
pro-task05-init05,pro,5,0,kick_if_open,0,0,True,263,0,0.0,109.0
pro-task02-init06,pro,2,0,kick_if_open,0,0,False,520,1,0.0,167.3
pro-task04-init08,pro,4,0,kick_if_open,1,0,True,312,0,0.0,118.4
pro-task06-init07,pro,6,0,kick_if_open,1,0,True,230,0,0.0,91.1
pro-task06-init07,pro,6,0,kick_if_open,0,0,True,223,0,0.0,92.7
pro-task06-init02,pro,6,0,kick_if_open,0,0,True,282,0,0.0,112.6
pro-task06-init02,pro,6,0,kick_if_open,1,0,True,278,0,0.0,110.3
pro-task06-init03,pro,6,0,kick_if_open,1,0,True,269,0,0.0,102.5
pro-task02-init06,pro,2,0,kick_if_open,1,0,False,520,1,0.0,183.0
pro-task02-init07,pro,2,0,kick_if_open,1,0,False,520,1,0.0,185.5
pro-task07-init01,pro,7,0,kick_if_open,1,0,True,252,0,0.0,94.5
pro-task07-init00,pro,7,0,kick_if_open,1,0,True,252,0,0.0,102.0
pro-task07-init00,pro,7,0,kick_if_open,0,0,True,252,0,0.0,107.3
pro-task07-init02,pro,7,0,kick_if_open,0,0,True,246,0,0.0,95.2
pro-task07-init02,pro,7,0,kick_if_open,1,0,True,246,0,0.0,94.5
pro-task07-init01,pro,7,0,kick_if_open,0,0,True,253,0,0.0,103.8
pro-task02-init08,pro,2,0,kick_if_open,1,0,False,520,1,0.0,192.7
pro-task07-init03,pro,7,0,kick_if_open,0,0,True,263,0,0.0,94.9
pro-task03-init00,pro,3,0,kick_if_open,0,0,False,520,1,0.0,178.9
