tag,benchmark,task_id,branch_query,strategy,seed,exit_code,success,action_steps,controlled_queries,replay_state_max_abs_diff,wall_seconds
plus-task00-LanguageInstructions-0-init00,plus,1108,0,kick_if_stuck,1,0,True,247,0,0.0,46.2
plus-task00-BackgroundTextures-0-init00,plus,155,0,kick_if_stuck,0,0,True,252,0,0.0,49.0
plus-task00-BackgroundTextures-0-init00,plus,155,0,kick_if_stuck,1,0,True,271,0,0.0,51.3
plus-task00-LightConditions-0-init00,plus,2408,0,kick_if_stuck,0,0,True,264,0,0.0,55.4
plus-task00-LightConditions-0-init00,plus,2408,0,kick_if_stuck,1,0,True,263,0,0.0,55.4
plus-task00-SensorNoise-0-init00,plus,1512,0,kick_if_stuck,0,0,True,261,0,0.0,55.1
plus-task00-SensorNoise-0-init00,plus,1512,0,kick_if_stuck,1,0,True,262,0,0.0,55.9
plus-task01-CameraViewpoints-0-init00,plus,717,0,kick_if_stuck,0,0,True,253,0,0.0,56.5
plus-task01-LightConditions-0-init00,plus,2429,0,kick_if_stuck,0,0,True,242,0,0.0,55.6
plus-task01-LightConditions-0-init00,plus,2429,0,kick_if_stuck,1,0,True,243,0,0.0,55.3
plus-task01-BackgroundTextures-0-init00,plus,190,0,kick_if_stuck,0,0,True,242,0,0.0,57.9
plus-task01-CameraViewpoints-0-init00,plus,717,0,kick_if_stuck,1,0,True,261,0,0.0,57.0
plus-task02-BackgroundTextures-0-init00,plus,15,0,kick_if_stuck,1,0,True,235,0,0.0,55.6
plus-task01-BackgroundTextures-0-init00,plus,190,0,kick_if_stuck,1,0,True,253,0,0.0,60.1
plus-task03-LightConditions-0-init00,plus,2320,0,kick_if_stuck,1,0,True,211,0,0.0,54.8
plus-task02-SensorNoise-0-init00,plus,1598,0,kick_if_stuck,1,0,True,239,0,0.0,57.4
plus-task01-SensorNoise-0-init00,plus,1551,0,kick_if_stuck,1,0,True,241,0,0.0,61.8
plus-task01-SensorNoise-0-init00,plus,1551,0,kick_if_stuck,0,0,True,242,0,0.0,63.0
plus-task02-SensorNoise-0-init00,plus,1598,0,kick_if_stuck,0,0,True,244,0,0.0,59.1
plus-task05-RobotInitialStates-0-init00,plus,515,0,kick_if_stuck,1,0,True,167,0,0.0,47.2
plus-task03-LightConditions-0-init00,plus,2320,0,kick_if_stuck,0,0,True,225,0,0.0,58.8
plus-task02-LightConditions-0-init00,plus,2262,0,kick_if_stuck,0,0,True,242,0,0.0,63.8
plus-task02-LightConditions-0-init00,plus,2262,0,kick_if_stuck,1,0,True,246,0,0.0,63.7
plus-task02-ObjectsLayout-0-init00,plus,1950,0,kick_if_stuck,1,0,True,281,0,0.0,66.1
plus-task03-ObjectsLayout-0-init00,plus,1971,0,kick_if_stuck,0,0,True,223,0,0.0,62.4
plus-task03-ObjectsLayout-0-init00,plus,1971,0,kick_if_stuck,1,0,True,225,0,0.0,62.4
plus-task04-BackgroundTextures-0-init00,plus,224,0,kick_if_stuck,0,0,True,235,0,0.0,61.5
plus-task04-BackgroundTextures-0-init00,plus,224,0,kick_if_stuck,1,0,True,243,0,0.0,61.8
plus-task05-LanguageInstructions-0-init00,plus,1302,0,kick_if_stuck,1,0,True,203,0,0.0,58.0
plus-task04-LanguageInstructions-0-init00,plus,1273,0,kick_if_stuck,1,0,True,248,0,0.0,62.9
plus-task04-LightConditions-0-init00,plus,2463,0,kick_if_stuck,0,0,True,229,0,0.0,63.5
plus-task05-BackgroundTextures-0-init00,plus,283,0,kick_if_stuck,1,0,True,233,0,0.0,63.8
plus-task04-LightConditions-0-init00,plus,2463,0,kick_if_stuck,1,0,True,246,0,0.0,67.6
plus-task01-RobotInitialStates-0-init00,plus,332,0,kick_if_stuck,1,0,True,373,3,0.0,79.5
plus-task06-BackgroundTextures-0-init00,plus,257,0,kick_if_stuck,0,0,True,239,0,0.0,63.0
plus-task05-BackgroundTextures-0-init00,plus,283,0,kick_if_stuck,0,0,True,264,0,0.0,68.5
plus-task05-CameraViewpoints-0-init00,plus,879,0,kick_if_stuck,0,0,True,272,2,0.0,68.0
plus-task05-LanguageInstructions-0-init00,plus,1302,0,kick_if_stuck,0,0,True,256,3,0.0,67.6
plus-task06-BackgroundTextures-0-init00,plus,257,0,kick_if_stuck,1,0,True,241,0,0.0,64.3
plus-task05-LightConditions-0-init00,plus,2499,0,kick_if_stuck,1,0,True,277,1,0.0,68.9
plus-task05-LightConditions-0-init00,plus,2499,0,kick_if_stuck,0,0,True,291,1,0.0,73.6
plus-task00-LanguageInstructions-0-init00,plus,1108,0,kick_if_stuck,0,0,False,520,0,0.0,97.4
plus-task05-SensorNoise-0-init00,plus,1718,0,kick_if_stuck,0,0,True,190,0,0.0,75.9
plus-task05-SensorNoise-0-init00,plus,1718,0,kick_if_stuck,1,0,True,186,0,0.0,75.7
plus-task00-CameraViewpoints-0-init00,plus,685,0,kick_if_stuck,0,0,False,520,3,0.0,101.1
plus-task05-RobotInitialStates-0-init00,plus,515,0,kick_if_stuck,0,0,True,325,3,0.0,78.0
plus-task00-ObjectsLayout-0-init00,plus,2069,0,kick_if_stuck,1,0,False,520,3,0.0,100.4
plus-task04-SensorNoise-0-init00,plus,1666,0,kick_if_stuck,0,0,True,230,0,0.0,82.7
plus-task00-CameraViewpoints-0-init00,plus,685,0,kick_if_stuck,1,0,False,520,3,0.0,102.3
plus-task00-ObjectsLayout-0-init00,plus,2069,0,kick_if_stuck,0,0,False,520,3,0.0,102.9
plus-task04-SensorNoise-0-init00,plus,1666,0,kick_if_stuck,1,0,True,237,0,0.0,85.0
plus-task00-RobotInitialStates-0-init00,plus,298,0,kick_if_stuck,0,0,False,520,0,0.0,105.6
plus-task07-BackgroundTextures-0-init00,plus,141,0,kick_if_stuck,0,0,True,253,0,0.0,57.3
plus-task00-RobotInitialStates-0-init00,plus,298,0,kick_if_stuck,1,0,False,520,2,0.0,106.8
plus-task01-LanguageInstructions-0-init00,plus,1148,0,kick_if_stuck,0,0,False,520,3,0.0,109.5
plus-task02-LanguageInstructions-0-init00,plus,1200,0,kick_if_stuck,1,0,False,520,3,0.0,105.2
plus-task01-LanguageInstructions-0-init00,plus,1148,0,kick_if_stuck,1,0,False,520,3,0.0,110.4
plus-task02-BackgroundTextures-0-init00,plus,15,0,kick_if_stuck,0,0,False,520,3,0.0,108.0
plus-task01-RobotInitialStates-0-init00,plus,332,0,kick_if_stuck,0,0,False,520,3,0.0,109.5
plus-task07-BackgroundTextures-0-init00,plus,141,0,kick_if_stuck,1,0,True,252,0,0.0,62.1
plus-task01-ObjectsLayout-0-init00,plus,2125,0,kick_if_stuck,0,0,False,520,3,0.0,113.8
plus-task02-LanguageInstructions-0-init00,plus,1200,0,kick_if_stuck,0,0,False,520,3,0.0,111.1
plus-task01-ObjectsLayout-0-init00,plus,2125,0,kick_if_stuck,1,0,False,520,0,0.0,114.0
plus-task02-ObjectsLayout-0-init00,plus,1950,0,kick_if_stuck,0,0,False,520,3,0.0,111.5
plus-task02-CameraViewpoints-0-init00,plus,736,0,kick_if_stuck,0,0,False,520,3,0.0,114.3
plus-task02-CameraViewpoints-0-init00,plus,736,0,kick_if_stuck,1,0,False,520,3,0.0,115.3
plus-task03-CameraViewpoints-0-init00,plus,821,0,kick_if_stuck,1,0,False,520,3,0.0,113.6
plus-task02-RobotInitialStates-0-init00,plus,408,0,kick_if_stuck,0,0,False,520,3,0.0,115.7
plus-task03-CameraViewpoints-0-init00,plus,821,0,kick_if_stuck,0,0,False,520,3,0.0,114.1
plus-task02-RobotInitialStates-0-init00,plus,408,0,kick_if_stuck,1,0,False,520,3,0.0,116.9
plus-task03-RobotInitialStates-0-init00,plus,424,0,kick_if_stuck,1,0,False,520,3,0.0,113.0
plus-task07-LanguageInstructions-0-init00,plus,1385,0,kick_if_stuck,0,0,True,299,0,0.0,69.2
plus-task03-RobotInitialStates-0-init00,plus,424,0,kick_if_stuck,0,0,False,520,3,0.0,113.5
plus-task03-LanguageInstructions-0-init00,plus,1241,0,kick_if_stuck,0,0,False,520,3,0.0,117.2
plus-task07-LanguageInstructions-0-init00,plus,1385,0,kick_if_stuck,1,0,True,298,0,0.0,69.7
plus-task03-BackgroundTextures-0-init00,plus,59,0,kick_if_stuck,0,0,False,520,3,0.0,118.7
plus-task03-BackgroundTextures-0-init00,plus,59,0,kick_if_stuck,1,0,False,520,3,0.0,118.7
plus-task05-CameraViewpoints-0-init00,plus,879,0,kick_if_stuck,1,0,False,520,3,0.0,111.9
plus-task03-LanguageInstructions-0-init00,plus,1241,0,kick_if_stuck,1,0,False,520,3,0.0,119.7
plus-task04-LanguageInstructions-0-init00,plus,1273,0,kick_if_stuck,0,0,False,520,3,0.0,115.9
plus-task06-LanguageInstructions-0-init00,plus,1348,0,kick_if_stuck,1,0,False,520,3,0.0,110.5
plus-task04-CameraViewpoints-0-init00,plus,843,0,kick_if_stuck,0,0,False,520,3,0.0,120.0
plus-task04-CameraViewpoints-0-init00,plus,843,0,kick_if_stuck,1,0,False,520,3,0.0,120.0
plus-task04-ObjectsLayout-0-init00,plus,2146,0,kick_if_stuck,1,0,False,520,3,0.0,118.7
plus-task04-RobotInitialStates-0-init00,plus,488,0,kick_if_stuck,1,0,False,520,3,0.0,120.5
plus-task04-RobotInitialStates-0-init00,plus,488,0,kick_if_stuck,0,0,False,520,3,0.0,120.8
plus-task06-ObjectsLayout-0-init00,plus,2165,0,kick_if_stuck,0,0,False,520,3,0.0,116.2
plus-task05-ObjectsLayout-0-init00,plus,2200,0,kick_if_stuck,0,0,False,520,3,0.0,120.4
plus-task06-ObjectsLayout-0-init00,plus,2165,0,kick_if_stuck,1,0,False,520,3,0.0,116.0
plus-task04-ObjectsLayout-0-init00,plus,2146,0,kick_if_stuck,0,0,False,520,3,0.0,125.2
plus-task06-LanguageInstructions-0-init00,plus,1348,0,kick_if_stuck,0,0,False,520,3,0.0,118.0
plus-task05-ObjectsLayout-0-init00,plus,2200,0,kick_if_stuck,1,0,False,520,3,0.0,120.8
plus-task06-CameraViewpoints-0-init00,plus,952,0,kick_if_stuck,0,0,False,520,3,0.0,119.8
plus-task06-RobotInitialStates-0-init00,plus,559,0,kick_if_stuck,0,0,False,520,3,0.0,118.5
plus-task06-CameraViewpoints-0-init00,plus,952,0,kick_if_stuck,1,0,False,520,3,0.0,121.6
plus-task06-LightConditions-0-init00,plus,2479,0,kick_if_stuck,1,0,False,520,3,0.0,121.1
plus-task06-RobotInitialStates-0-init00,plus,559,0,kick_if_stuck,1,0,False,520,3,0.0,120.0
plus-task06-LightConditions-0-init00,plus,2479,0,kick_if_stuck,0,0,False,520,3,0.0,122.4
plus-task06-SensorNoise-0-init00,plus,1794,0,kick_if_stuck,0,0,False,520,3,0.0,112.4
pro-task00-init00,pro,0,0,kick_if_stuck,1,0,True,261,0,0.0,60.3
plus-task06-SensorNoise-0-init00,plus,1794,0,kick_if_stuck,1,0,False,520,3,0.0,113.7
plus-task09-BackgroundTextures-0-init00,plus,88,0,kick_if_stuck,1,0,True,333,3,0.0,78.3
pro-task00-init00,pro,0,0,kick_if_stuck,0,0,True,264,0,0.0,61.9
plus-task07-ObjectsLayout-0-init00,plus,2046,0,kick_if_stuck,1,0,False,520,3,0.0,106.9
pro-task00-init02,pro,0,0,kick_if_stuck,1,0,True,287,0,0.0,64.4
pro-task00-init05,pro,0,0,kick_if_stuck,1,0,True,264,0,0.0,54.8
plus-task07-CameraViewpoints-0-init00,plus,1012,0,kick_if_stuck,1,0,False,520,3,0.0,111.8
plus-task07-CameraViewpoints-0-init00,plus,1012,0,kick_if_stuck,0,0,False,520,3,0.0,114.0
plus-task09-SensorNoise-0-init00,plus,1884,0,kick_if_stuck,0,0,True,278,0,0.0,71.1
plus-task07-LightConditions-0-init00,plus,2398,0,kick_if_stuck,0,0,False,520,3,0.0,112.9
pro-task01-init00,pro,1,0,kick_if_stuck,0,0,True,235,0,0.0,51.4
pro-task00-init07,pro,0,0,kick_if_stuck,0,0,True,251,0,0.0,58.2
plus-task07-LightConditions-0-init00,plus,2398,0,kick_if_stuck,1,0,False,520,3,0.0,113.9
plus-task08-CameraViewpoints-0-init00,plus,1055,0,kick_if_stuck,1,0,False,520,3,0.0,105.2
plus-task07-ObjectsLayout-0-init00,plus,2046,0,kick_if_stuck,0,0,False,520,3,0.0,114.8
pro-task00-init05,pro,0,0,kick_if_stuck,0,0,True,262,0,0.0,62.3
pro-task00-init09,pro,0,0,kick_if_stuck,0,0,True,252,0,0.0,56.6
plus-task07-RobotInitialStates-0-init00,plus,605,0,kick_if_stuck,0,0,False,520,3,0.0,113.4
pro-task00-init09,pro,0,0,kick_if_stuck,1,0,True,253,0,0.0,56.2
pro-task01-init02,pro,1,0,kick_if_stuck,0,0,True,230,0,0.0,51.0
pro-task01-init00,pro,1,0,kick_if_stuck,1,0,True,241,0,0.0,55.0
plus-task07-RobotInitialStates-0-init00,plus,605,0,kick_if_stuck,1,0,False,520,3,0.0,115.1
pro-task01-init06,pro,1,0,kick_if_stuck,1,0,True,236,0,0.0,49.1
pro-task01-init01,pro,1,0,kick_if_stuck,1,0,True,252,0,0.0,56.0
pro-task01-init02,pro,1,0,kick_if_stuck,1,0,True,247,0,0.0,54.9
pro-task01-init04,pro,1,0,kick_if_stuck,0,0,True,243,0,0.0,54.2
plus-task08-RobotInitialStates-0-init00,plus,612,0,kick_if_stuck,1,0,False,520,3,0.0,105.2
pro-task01-init03,pro,1,0,kick_if_stuck,0,0,True,247,0,0.0,55.5
pro-task01-init03,pro,1,0,kick_if_stuck,1,0,True,248,0,0.0,55.2
pro-task01-init04,pro,1,0,kick_if_stuck,1,0,True,243,0,0.0,54.3
plus-task03-SensorNoise-0-init00,plus,1621,0,kick_if_stuck,0,0,False,520,3,0.0,169.6
plus-task08-BackgroundTextures-0-init00,plus,114,0,kick_if_stuck,0,0,False,520,3,0.0,116.0
plus-task08-CameraViewpoints-0-init00,plus,1055,0,kick_if_stuck,0,0,False,520,3,0.0,115.7
pro-task01-init06,pro,1,0,kick_if_stuck,0,0,True,237,0,0.0,55.4
pro-task01-init08,pro,1,0,kick_if_stuck,0,0,True,249,0,0.0,50.3
pro-task01-init07,pro,1,0,kick_if_stuck,1,0,True,241,0,0.0,53.9
pro-task01-init07,pro,1,0,kick_if_stuck,0,0,True,242,0,0.0,54.5
plus-task08-BackgroundTextures-0-init00,plus,114,0,kick_if_stuck,1,0,False,520,3,0.0,118.5
pro-task01-init05,pro,1,0,kick_if_stuck,0,0,True,249,0,0.0,57.9
pro-task02-init01,pro,2,0,kick_if_stuck,0,0,True,220,0,0.0,46.0
plus-task03-SensorNoise-0-init00,plus,1621,0,kick_if_stuck,1,0,False,520,3,0.0,173.8
plus-task08-LanguageInstructions-0-init00,plus,1432,0,kick_if_stuck,0,0,False,520,3,0.0,117.3
