tag,benchmark,task_id,branch_query,strategy,seed,exit_code,success,action_steps,controlled_queries,replay_state_max_abs_diff,wall_seconds
plus-task00-BackgroundTextures-0-init00,plus,155,0,obs_perturb,0,0,True,252,0,0.0,80.9
plus-task00-BackgroundTextures-0-init00,plus,155,0,obs_perturb,1,0,True,265,0,0.0,84.7
plus-task01-BackgroundTextures-0-init00,plus,190,0,obs_perturb,0,0,True,240,0,0.0,82.3
plus-task01-CameraViewpoints-0-init00,plus,717,0,obs_perturb,0,0,True,242,0,0.0,84.2
plus-task01-LightConditions-0-init00,plus,2429,0,obs_perturb,0,0,True,242,0,0.0,83.9
plus-task01-CameraViewpoints-0-init00,plus,717,0,obs_perturb,1,0,True,251,0,0.0,85.3
plus-task01-BackgroundTextures-0-init00,plus,190,0,obs_perturb,1,0,True,243,0,0.0,86.0
plus-task00-SensorNoise-0-init00,plus,1512,0,obs_perturb,0,0,True,262,0,0.0,87.7
plus-task00-LightConditions-0-init00,plus,2408,0,obs_perturb,0,0,True,263,0,0.0,90.4
plus-task00-LightConditions-0-init00,plus,2408,0,obs_perturb,1,0,True,263,0,0.0,90.2
plus-task01-LightConditions-0-init00,plus,2429,0,obs_perturb,1,0,True,243,0,0.0,86.6
plus-task00-SensorNoise-0-init00,plus,1512,0,obs_perturb,1,0,True,262,0,0.0,89.1
plus-task01-SensorNoise-0-init00,plus,1551,0,obs_perturb,0,0,True,242,0,0.0,88.6
plus-task03-LightConditions-0-init00,plus,2320,0,obs_perturb,0,0,True,217,0,0.0,82.9
plus-task01-SensorNoise-0-init00,plus,1551,0,obs_perturb,1,0,True,242,0,0.0,89.2
plus-task02-LightConditions-0-init00,plus,2262,0,obs_perturb,0,0,True,238,0,0.0,88.7
plus-task02-SensorNoise-0-init00,plus,1598,0,obs_perturb,1,0,True,244,0,0.0,86.7
plus-task02-LightConditions-0-init00,plus,2262,0,obs_perturb,1,0,True,245,0,0.0,88.5
plus-task02-SensorNoise-0-init00,plus,1598,0,obs_perturb,0,0,True,242,0,0.0,87.9
plus-task00-ObjectsLayout-0-init00,plus,2069,0,obs_perturb,1,0,True,311,0,0.0,98.7
plus-task03-ObjectsLayout-0-init00,plus,1971,0,obs_perturb,0,0,True,226,0,0.0,89.5
plus-task03-ObjectsLayout-0-init00,plus,1971,0,obs_perturb,1,0,True,224,0,0.0,89.5
plus-task02-ObjectsLayout-0-init00,plus,1950,0,obs_perturb,1,0,True,263,0,0.0,94.3
plus-task00-LanguageInstructions-0-init00,plus,1108,0,obs_perturb,1,0,True,327,0,0.0,103.9
plus-task03-LightConditions-0-init00,plus,2320,0,obs_perturb,1,0,True,254,0,0.0,93.7
plus-task04-BackgroundTextures-0-init00,plus,224,0,obs_perturb,0,0,True,235,0,0.0,91.8
plus-task05-LanguageInstructions-0-init00,plus,1302,0,obs_perturb,1,0,True,210,0,0.0,86.5
plus-task04-BackgroundTextures-0-init00,plus,224,0,obs_perturb,1,0,True,244,0,0.0,93.8
plus-task04-LightConditions-0-init00,plus,2463,0,obs_perturb,0,0,True,231,0,0.0,94.2
plus-task02-ObjectsLayout-0-init00,plus,1950,0,obs_perturb,0,0,True,295,0,0.0,103.2
plus-task04-LanguageInstructions-0-init00,plus,1273,0,obs_perturb,1,0,True,251,0,0.0,98.2
plus-task04-LightConditions-0-init00,plus,2463,0,obs_perturb,1,0,True,243,0,0.0,98.9
plus-task05-BackgroundTextures-0-init00,plus,283,0,obs_perturb,1,0,True,233,0,0.0,97.6
plus-task04-SensorNoise-0-init00,plus,1666,0,obs_perturb,0,0,True,229,0,0.0,100.5
plus-task05-LightConditions-0-init00,plus,2499,0,obs_perturb,1,0,True,269,0,0.0,101.9
plus-task05-BackgroundTextures-0-init00,plus,283,0,obs_perturb,0,0,True,268,0,0.0,104.2
plus-task04-SensorNoise-0-init00,plus,1666,0,obs_perturb,1,0,True,238,0,0.0,106.3
plus-task05-LanguageInstructions-0-init00,plus,1302,0,obs_perturb,0,0,True,282,0,0.0,108.7
plus-task05-LightConditions-0-init00,plus,2499,0,obs_perturb,0,0,True,294,0,0.0,111.9
plus-task05-RobotInitialStates-0-init00,plus,515,0,obs_perturb,0,0,True,168,0,0.0,59.5
plus-task05-RobotInitialStates-0-init00,plus,515,0,obs_perturb,1,0,True,167,0,0.0,58.6
plus-task01-RobotInitialStates-0-init00,plus,332,0,obs_perturb,0,0,True,311,3,0.0,137.2
plus-task00-CameraViewpoints-0-init00,plus,685,0,obs_perturb,0,0,False,520,0,0.0,155.7
plus-task00-LanguageInstructions-0-init00,plus,1108,0,obs_perturb,0,0,False,520,0,0.0,158.5
plus-task00-RobotInitialStates-0-init00,plus,298,0,obs_perturb,0,0,False,520,0,0.0,158.6
plus-task00-RobotInitialStates-0-init00,plus,298,0,obs_perturb,1,0,False,520,0,0.0,159.4
plus-task06-BackgroundTextures-0-init00,plus,257,0,obs_perturb,0,0,True,240,0,0.0,81.0
plus-task01-ObjectsLayout-0-init00,plus,2125,0,obs_perturb,1,0,False,520,0,0.0,168.6
plus-task05-SensorNoise-0-init00,plus,1718,0,obs_perturb,0,0,True,195,0,0.0,95.6
plus-task05-SensorNoise-0-init00,plus,1718,0,obs_perturb,1,0,True,186,0,0.0,94.3
plus-task06-BackgroundTextures-0-init00,plus,257,0,obs_perturb,1,0,True,273,0,0.0,93.7
plus-task04-ObjectsLayout-0-init00,plus,2146,0,obs_perturb,1,0,True,367,3,0.0,168.8
plus-task00-CameraViewpoints-0-init00,plus,685,0,obs_perturb,1,0,False,520,3,0.0,189.9
plus-task07-BackgroundTextures-0-init00,plus,141,0,obs_perturb,1,0,True,252,0,0.0,89.5
plus-task04-RobotInitialStates-0-init00,plus,488,0,obs_perturb,0,0,False,520,0,0.0,171.6
plus-task00-ObjectsLayout-0-init00,plus,2069,0,obs_perturb,0,0,False,520,3,0.0,191.1
plus-task05-CameraViewpoints-0-init00,plus,879,0,obs_perturb,1,0,False,520,0,0.0,173.1
plus-task01-LanguageInstructions-0-init00,plus,1148,0,obs_perturb,0,0,False,520,3,0.0,190.1
plus-task04-RobotInitialStates-0-init00,plus,488,0,obs_perturb,1,0,False,520,0,0.0,176.5
plus-task07-BackgroundTextures-0-init00,plus,141,0,obs_perturb,0,0,True,300,0,0.0,99.3
plus-task01-LanguageInstructions-0-init00,plus,1148,0,obs_perturb,1,0,False,520,3,0.0,193.6
plus-task01-RobotInitialStates-0-init00,plus,332,0,obs_perturb,1,0,False,520,3,0.0,191.8
plus-task01-ObjectsLayout-0-init00,plus,2125,0,obs_perturb,0,0,False,520,3,0.0,193.5
plus-task02-CameraViewpoints-0-init00,plus,736,0,obs_perturb,0,0,False,520,3,0.0,191.2
plus-task02-LanguageInstructions-0-init00,plus,1200,0,obs_perturb,1,0,False,520,3,0.0,191.1
plus-task02-BackgroundTextures-0-init00,plus,15,0,obs_perturb,0,0,False,520,3,0.0,192.7
plus-task02-BackgroundTextures-0-init00,plus,15,0,obs_perturb,1,0,False,520,3,0.0,193.7
plus-task02-LanguageInstructions-0-init00,plus,1200,0,obs_perturb,0,0,False,520,3,0.0,195.4
plus-task02-CameraViewpoints-0-init00,plus,736,0,obs_perturb,1,0,False,520,3,0.0,198.1
plus-task02-RobotInitialStates-0-init00,plus,408,0,obs_perturb,0,0,False,520,3,0.0,196.2
plus-task07-LanguageInstructions-0-init00,plus,1385,0,obs_perturb,0,0,True,296,0,0.0,102.6
plus-task07-LanguageInstructions-0-init00,plus,1385,0,obs_perturb,1,0,True,296,0,0.0,102.4
plus-task03-BackgroundTextures-0-init00,plus,59,0,obs_perturb,0,0,False,520,3,0.0,195.6
plus-task03-CameraViewpoints-0-init00,plus,821,0,obs_perturb,0,0,True,507,3,0.0,195.2
plus-task02-RobotInitialStates-0-init00,plus,408,0,obs_perturb,1,0,False,520,3,0.0,198.4
plus-task03-LanguageInstructions-0-init00,plus,1241,0,obs_perturb,0,0,False,520,3,0.0,196.8
plus-task03-BackgroundTextures-0-init00,plus,59,0,obs_perturb,1,0,False,520,3,0.0,199.4
plus-task03-CameraViewpoints-0-init00,plus,821,0,obs_perturb,1,0,False,520,3,0.0,200.5
plus-task03-LanguageInstructions-0-init00,plus,1241,0,obs_perturb,1,0,False,520,3,0.0,200.8
plus-task03-RobotInitialStates-0-init00,plus,424,0,obs_perturb,1,0,False,520,3,0.0,199.7
plus-task03-RobotInitialStates-0-init00,plus,424,0,obs_perturb,0,0,False,520,3,0.0,202.6
plus-task04-CameraViewpoints-0-init00,plus,843,0,obs_perturb,0,0,False,520,3,0.0,201.6
plus-task04-LanguageInstructions-0-init00,plus,1273,0,obs_perturb,0,0,False,520,3,0.0,203.5
plus-task04-CameraViewpoints-0-init00,plus,843,0,obs_perturb,1,0,False,520,3,0.0,204.8
plus-task05-ObjectsLayout-0-init00,plus,2200,0,obs_perturb,0,0,False,520,3,0.0,203.9
plus-task05-CameraViewpoints-0-init00,plus,879,0,obs_perturb,0,0,False,520,3,0.0,206.1
plus-task05-ObjectsLayout-0-init00,plus,2200,0,obs_perturb,1,0,False,520,3,0.0,205.9
plus-task04-ObjectsLayout-0-init00,plus,2146,0,obs_perturb,0,0,False,520,3,0.0,213.5
plus-task07-LightConditions-0-init00,plus,2398,0,obs_perturb,0,0,True,391,0,0.0,128.5
plus-task06-RobotInitialStates-0-init00,plus,559,0,obs_perturb,1,0,False,520,0,0.0,159.4
