tag,benchmark,task_id,branch_query,strategy,seed,exit_code,success,action_steps,controlled_queries,replay_state_max_abs_diff,wall_seconds
plus-task05-ObjectsLayout-0-init00,plus,2200,24,idle_hold,0,0,True,274,4,0.0,30.3
plus-task05-ObjectsLayout-0-init00,plus,2200,24,idle_hold,1,0,True,274,4,0.0,30.6
plus-task00-LightConditions-0-init00,plus,2408,39,idle_hold,1,0,False,520,6,0.0,42.0
plus-task00-LightConditions-0-init00,plus,2408,39,idle_hold,0,0,False,520,6,0.0,42.4
plus-task01-ObjectsLayout-0-init00,plus,2125,34,idle_hold,1,0,False,520,6,0.0,43.4
plus-task01-ObjectsLayout-0-init00,plus,2125,34,idle_hold,0,0,False,520,6,0.0,44.5
plus-task00-RobotInitialStates-0-init00,plus,298,25,idle_hold,0,0,False,520,6,0.0,47.0
plus-task00-RobotInitialStates-0-init00,plus,298,25,idle_hold,1,0,False,520,6,0.0,49.9
plus-task00-ObjectsLayout-0-init00,plus,2069,5,idle_hold,0,0,True,363,6,0.0,51.4
plus-task02-SensorNoise-0-init00,plus,1598,30,idle_hold,1,0,False,520,6,0.0,46.8
plus-task02-SensorNoise-0-init00,plus,1598,30,idle_hold,0,0,False,520,6,0.0,47.6
plus-task02-BackgroundTextures-0-init00,plus,15,26,idle_hold,1,0,False,520,6,0.0,50.0
plus-task02-CameraViewpoints-0-init00,plus,736,23,idle_hold,1,0,False,520,6,0.0,49.9
plus-task02-CameraViewpoints-0-init00,plus,736,23,idle_hold,0,0,False,520,6,0.0,50.4
plus-task02-BackgroundTextures-0-init00,plus,15,26,idle_hold,0,0,False,520,6,0.0,51.7
plus-task01-LanguageInstructions-0-init00,plus,1148,24,idle_hold,0,0,False,520,6,0.0,54.9
plus-task03-LanguageInstructions-0-init00,plus,1241,29,idle_hold,1,0,False,520,6,0.0,50.1
plus-task01-LanguageInstructions-0-init00,plus,1148,24,idle_hold,1,0,False,520,6,0.0,55.6
plus-task03-LanguageInstructions-0-init00,plus,1241,29,idle_hold,0,0,False,520,6,0.0,52.3
pro-task00-init02,pro,0,21,idle_hold,0,0,True,362,6,0.0,36.7
pro-task00-init02,pro,0,21,idle_hold,1,0,True,361,6,0.0,37.0
plus-task03-CameraViewpoints-0-init00,plus,821,23,idle_hold,0,0,False,520,6,0.0,55.8
plus-task03-CameraViewpoints-0-init00,plus,821,23,idle_hold,1,0,False,520,6,0.0,55.6
plus-task03-RobotInitialStates-0-init00,plus,424,23,idle_hold,1,0,False,520,6,0.0,57.4
plus-task02-ObjectsLayout-0-init00,plus,1950,17,idle_hold,0,0,False,520,6,0.0,61.4
plus-task02-ObjectsLayout-0-init00,plus,1950,17,idle_hold,1,0,False,520,6,0.0,62.1
