rule,split,episodes,alarmed,successes,failures,success_rate,wilson_low,wilson_high
freeze_back_quarter,all_natural,32000,23,0,23,0.0,0.0,0.14311661845042686
freeze_back_quarter,test_unseen_init,6400,2,0,2,0.0,0.0,0.6576197724933469
freeze_back_quarter,test_new_noise_seen_init,12800,12,0,12,0.0,2.7755575615628914e-17,0.24249400665524085
freeze_back_half,all_natural,32000,1451,767,684,0.5286009648518263,0.5028746718718554,0.5541762181043489
freeze_back_half,test_unseen_init,6400,283,154,129,0.5441696113074205,0.4859387687894086,0.6012173909330518
freeze_back_half,test_new_noise_seen_init,12800,581,312,269,0.5370051635111877,0.4963497431885318,0.5771744561503925
freeze_back_eighth,all_natural,32000,0,0,0,,,
freeze_back_eighth,test_unseen_init,6400,0,0,0,,,
freeze_back_eighth,test_new_noise_seen_init,12800,0,0,0,,,
freeze_all_half,all_natural,32000,476,143,333,0.3004201680672269,0.26096808742374905,0.343067794621619
freeze_all_half,test_unseen_init,6400,77,18,59,0.23376623376623376,0.15329620091049498,0.339538285278853
freeze_all_half,test_new_noise_seen_init,12800,197,71,126,0.3604060913705584,0.2966221832927091,0.42952997511646424
freeze_all_quarter,all_natural,32000,0,0,0,,,
freeze_all_quarter,test_unseen_init,6400,0,0,0,,,
freeze_all_quarter,test_new_noise_seen_init,12800,0,0,0,,,
freeze_all_eighth,all_natural,32000,0,0,0,,,
freeze_all_eighth,test_unseen_init,6400,0,0,0,,,
freeze_all_eighth,test_new_noise_seen_init,12800,0,0,0,,,
freeze_front_half,all_natural,32000,88,49,39,0.5568181818181818,0.4528179063718238,0.6560653815071655
freeze_front_half,test_unseen_init,6400,15,6,9,0.4,0.1982449614134158,0.6425316987937539
freeze_front_half,test_new_noise_seen_init,12800,34,22,12,0.6470588235294118,0.47913963119781733,0.785120794051205
freeze_front_quarter,all_natural,32000,0,0,0,,,
freeze_front_quarter,test_unseen_init,6400,0,0,0,,,
freeze_front_quarter,test_new_noise_seen_init,12800,0,0,0,,,
freeze_front_eighth,all_natural,32000,0,0,0,,,
freeze_front_eighth,test_unseen_init,6400,0,0,0,,,
freeze_front_eighth,test_new_noise_seen_init,12800,0,0,0,,,
freeze_back_quarter_k1,all_natural,32000,31,1,30,0.03225806451612903,0.005717221525416816,0.16194105164724906
freeze_back_quarter_k1,test_unseen_init,6400,3,0,3,0.0,5.551115123125783e-17,0.5614970317550454
freeze_back_quarter_k1,test_new_noise_seen_init,12800,17,1,16,0.058823529411764705,0.010460400984997592,0.26982030637575405
freeze_back_quarter_k4,all_natural,32000,11,0,11,0.0,0.0,0.2588329669680317
freeze_back_quarter_k4,test_unseen_init,6400,0,0,0,,,
freeze_back_quarter_k4,test_new_noise_seen_init,12800,5,0,5,0.0,0.0,0.43448246478317476
freeze_back_quarter_b2,all_natural,32000,23,1,22,0.043478260869565216,0.007716666143453149,0.20991155070258877
freeze_back_quarter_b2,test_unseen_init,6400,5,0,5,0.0,0.0,0.43448246478317476
freeze_back_quarter_b2,test_new_noise_seen_init,12800,11,1,10,0.09090909090909091,0.016232172885884855,0.37735843645159567
freeze_back_quarter_b8,all_natural,32000,24,0,24,0.0,1.3877787807814457e-17,0.13797620467498017
freeze_back_quarter_b8,test_unseen_init,6400,2,0,2,0.0,0.0,0.6576197724933469
freeze_back_quarter_b8,test_new_noise_seen_init,12800,14,0,14,0.0,1.3877787807814457e-17,0.2153108027376358
recurrence_back_015,all_natural,32000,22,0,22,0.0,0.0,0.14865487460862087
recurrence_back_015,test_unseen_init,6400,9,0,9,0.0,0.0,0.2991450484195441
recurrence_back_015,test_new_noise_seen_init,12800,7,0,7,0.0,5.551115123125783e-17,0.35433043506668743
recurrence_back_025,all_natural,32000,20696,20061,635,0.9693177425589485,0.9668797177371982,0.9715815762125735
recurrence_back_025,test_unseen_init,6400,4120,4011,109,0.9735436893203884,0.9681845158137848,0.9780206278523992
recurrence_back_025,test_new_noise_seen_init,12800,8281,8010,271,0.9672744837580003,0.9632205940038387,0.9708950482165024
recurrence_back_035,all_natural,32000,32000,30904,1096,0.96575,0.9637007593002525,0.9676874316565713
