left,right,metric,difference,low,high
moe,prior,brier,-0.08627383450061703,-0.09349808640905054,-0.07898354099102618
moe,prior,log_loss,-0.2138116994582277,-0.2321202019924418,-0.19545916849583103
moe,task_clock,brier,0.018298992976243614,0.010071229006720578,0.025566590964037902
moe,task_clock,log_loss,0.04392846094443781,0.02061960024409359,0.0648271396903231
physical_moe,physical,brier,-0.044111359410888604,-0.050159471875790944,-0.038912064239929
physical_moe,physical,log_loss,-0.12547894172113605,-0.14190975422031113,-0.11121918877107448
physical_task_clock_moe,physical_task_clock,brier,-0.008466921705995712,-0.012581574026639482,-0.00514520272982046
physical_task_clock_moe,physical_task_clock,log_loss,-0.02892975268890627,-0.039583375216204274,-0.019744927415613896
moe_unseen_task,prior_unseen_task,brier,-0.025666890773809053,-0.03359471347467122,-0.019049511759880747
moe_unseen_task,prior_unseen_task,log_loss,-0.035155813921845226,-0.056088469590047936,-0.016381644230175487
physical_moe_unseen_task,physical_unseen_task,brier,-0.0507475594588467,-0.060200949741971446,-0.04268181285484263
physical_moe_unseen_task,physical_unseen_task,log_loss,-0.1508519662759756,-0.18255089318885828,-0.1250267450597918
