task,model,pairs,matched_auroc
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,prior,1605,0.5
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,support_current,1605,0.30218068535825543
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,support_window4,1605,0.24797507788161993
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,support_prefix_mean,1605,0.1912772585669782
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,support_prefix_max,1605,0.6504672897196262
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,freeze,1605,0.6965732087227414
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,supervised_moe,1605,0.5046728971962616
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,clock_cap,1605,0.5
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,prior_unseen_task,1605,0.5
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,support_current_unseen_task,1605,0.4274143302180685
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,support_window4_unseen_task,1605,0.48161993769470407
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,support_prefix_mean_unseen_task,1605,0.5526479750778817
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,support_prefix_max_unseen_task,1605,0.6479750778816199
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,freeze_unseen_task,1605,0.6965732087227414
KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,supervised_moe_unseen_task,1605,0.5348909657320873
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,prior,4150,0.5
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,support_current,4150,0.6826506024096386
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,support_window4,4150,0.6804819277108434
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,support_prefix_mean,4150,0.6224096385542168
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,support_prefix_max,4150,0.6546987951807229
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,freeze,4150,0.3775903614457831
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,supervised_moe,4150,0.42096385542168674
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,clock_cap,4150,0.5
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,prior_unseen_task,4150,0.5
