query,episodes,failures,successes,tp,fp,recall,fpr,precision,recall_ci_low,recall_ci_high,fpr_ci_low,fpr_ci_high,first_query_median,phase_median,lead_median,recall_by_half,recall_by_065,recall_lead3
0,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
1,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
2,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
3,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
4,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
5,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
6,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
7,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
8,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
9,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
10,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
11,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
12,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
13,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
14,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
15,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
16,34560,1403,33157,0,0,0.0,0.0,,0.0,0.0027305555978667803,0.0,0.00011584322507208563,,,,0.0,0.0,0.0
17,34560,1403,33157,1,0,0.0007127583749109052,0.0,1.0,0.00012583043701341152,0.004026349457934101,0.0,0.00011584322507208563,17.0,0.6,12.0,0.0,0.0007127583749109052,0.0007127583749109052
18,34560,1403,33157,2,0,0.0014255167498218105,0.0,1.0,0.0003910151944000939,0.005182788997628149,0.0,0.00011584322507208563,17.5,0.6166666666666667,11.5,0.0,0.0014255167498218105,0.0014255167498218105
19,34560,1403,33157,4,0,0.002851033499643621,0.0,1.0,0.0011092527021138495,0.007307800084075857,0.0,0.00011584322507208563,18.5,0.6499999999999999,10.5,0.0,0.0014255167498218105,0.002851033499643621
