row,source_run,run_id,suite,task,episode,sequence,subtask,init_state,seed,success,length,regime,replan_steps,primary_failure_reason,freeze_back_quarter,freeze_back_half,freeze_back_eighth,freeze_all_half,freeze_all_quarter,freeze_all_eighth,freeze_front_half,freeze_front_quarter,freeze_front_eighth,freeze_back_quarter_k1,freeze_back_quarter_k4,freeze_back_quarter_b2,freeze_back_quarter_b8,recurrence_back_015,recurrence_back_025,recurrence_back_035,collapse_back_half,joint_back_half,collapse_back_quarter,joint_back_quarter,freeze_back_half_k1,freeze_back_half_k4,freeze_back_half_k8,primary_previous_query_only,primary_observation_onset_q,primary_actions_executed_before_alarm
559,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,47,-1,-1,3,1015,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,25,28,-1,-1,-1,-1
581,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,69,-1,-1,7,1005,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,21,28,-1,-1,-1,-1
589,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,77,-1,-1,7,1013,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,22,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,-1,-1,-1,-1,21,-1,-1,-1,-1,-1
593,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,81,-1,-1,7,1017,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,20,29,-1,-1,-1,-1
603,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,91,-1,-1,7,1027,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,20,29,-1,-1,-1,-1
656,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,144,-1,-1,13,1016,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,23,-1,-1,-1,-1,-1
674,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,162,-1,-1,16,1002,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,22,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,21,24,28,-1,-1,-1
675,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,163,-1,-1,16,1003,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,22,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,21,-1,-1,-1,-1,-1
676,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,164,-1,-1,16,1004,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,23,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,22,25,29,-1,-1,-1
677,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,165,-1,-1,16,1005,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,23,-1,-1,-1,-1,-1
678,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,166,-1,-1,16,1006,False,30,libero_natural,10,object_released_outside_goal,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,22,25,-1,-1,-1,-1
679,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,167,-1,-1,16,1007,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,21,-1,-1,-1,-1,-1
680,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,168,-1,-1,16,1008,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,23,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,22,25,29,-1,-1,-1
681,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,169,-1,-1,16,1009,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,23,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,22,25,29,-1,-1,-1
682,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,170,-1,-1,16,1010,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,21,-1,-1,-1,-1,-1
683,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,171,-1,-1,16,1011,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,23,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,22,25,29,-1,-1,-1
684,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,172,-1,-1,16,1012,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
685,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,173,-1,-1,16,1013,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,21,-1,-1,-1,-1,-1
686,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,174,-1,-1,16,1014,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,23,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,22,25,-1,-1,-1,-1
688,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,176,-1,-1,16,1016,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,23,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,22,25,29,-1,-1,-1
689,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,177,-1,-1,16,1017,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,21,-1,-1,-1,-1,-1
690,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,178,-1,-1,16,1018,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,24,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,23,26,-1,-1,-1,-1
691,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,179,-1,-1,16,1019,False,30,libero_natural,10,object_released_outside_goal,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
692,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,180,-1,-1,16,1020,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,22,-1,24,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,9,5,-1,-1,-1,-1,21,24,28,-1,-1,-1
693,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,181,-1,-1,16,1021,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,21,29,-1,-1,-1,-1
694,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,182,-1,-1,16,1022,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,24,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,23,26,-1,-1,-1,-1
695,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,183,-1,-1,16,1023,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,23,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,22,25,29,-1,-1,-1
696,cache/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-16x32,right-16x32,libero_goal,open_the_top_drawer_and_put_the_bowl_inside,184,-1,-1,16,1024,False,30,libero_natural,10,object_released_or_dropped_before_goal,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
