section,corpus,method,W,rule,dens,whiten,tstd,phi,peak_auc,alpha_nominal,pop,bound_med,n_succ,fa,n_fa,n_pop,det,n_det,phase_mean,phase_p10,phase_p25,phase_p50,phase_p75,phase_p90,t_mean,t_p10,t_p25,t_p50,t_p75,t_p90,t_nmodes,t_dip,hist_8_12,hist_12_16,hist_16_20,hist_20_24,hist_24_28,hist_28_32,hist_32_35,n_delay,delay_mean,frac_early,frac_late,delay_p10,delay_p25,delay_p50,delay_p75,delay_p90,arl0,arl0_expo,arl1,arl1_expo,arl0_mean_alarm_t,arl1_mean_alarm_t
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.01,all_fail,5.598401852281327,117,0.05128205128205128,6,235,0.26382978723404255,62,0.5496793279108803,0.35475,0.46589486858573215,0.5939952904238619,0.6326530612244898,0.6666666666666666,27.080645161290324,17.1,23.25,29.0,31.0,33.0,3,0.22073942108253308,0,4,6,6,9,22,15,33,6.606060606060606,0.18181818181818182,0.8181818181818182,-5.0,7.0,9.0,11.0,12.0,510.0,3060.0,95.41935483870968,5916.0,19.0,27.080645161290324
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.01,cls_stagnation,5.598401852281327,117,0.05128205128205128,6,49,0.5102040816326531,25,0.5774125581492826,0.45098039215686275,0.5416666666666666,0.5918367346938775,0.6274509803921569,0.6791666666666667,28.36,23.0,26.0,29.0,32.0,33.6,2,0.40896708956991457,0,1,0,3,4,9,8,11,9.818181818181818,0.0,1.0,8.0,8.5,10.0,11.0,12.0,510.0,3060.0,47.28,1182.0,19.0,28.36
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.01,cls_loop,5.598401852281327,117,0.05128205128205128,6,150,0.14,21,0.543257367868042,0.38,0.5106382978723404,0.5882352941176471,0.6326530612244898,0.6595744680851063,27.0,19.0,24.0,30.0,31.0,33.0,3,0.06883027218060678,0,2,1,2,5,8,3,21,5.857142857142857,0.23809523809523808,0.7619047619047619,-5.0,5.0,8.0,11.0,13.0,510.0,3060.0,185.85714285714286,3903.0,19.0,27.0
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.01,cls_other,5.598401852281327,117,0.05128205128205128,6,36,0.4444444444444444,16,0.514774978219602,0.33,0.35854166666666665,0.6041666666666666,0.6355360065466449,0.6737500000000001,25.1875,16.5,17.75,29.0,31.5,33.0,3,0.9847002656879932,0,1,5,1,0,5,4,1,-13.0,1.0,0.0,-13.0,-13.0,-13.0,-13.0,-13.0,510.0,3060.0,51.9375,831.0,19.0,25.1875
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.02,all_fail,4.940559356220523,117,0.09401709401709402,11,235,0.33191489361702126,78,0.5138113412514277,0.3,0.3998161764705882,0.56125,0.6078431372549019,0.6666666666666666,25.384615384615383,15.0,20.0,28.0,30.75,33.0,2,0.4717927541859188,2,8,9,5,14,24,16,40,3.35,0.3,0.7,-12.0,-5.0,8.0,9.0,10.0,269.1818181818182,2961.0,72.73076923076923,5673.0,16.818181818181817,25.384615384615383
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.02,cls_stagnation,4.940559356220523,117,0.09401709401709402,11,49,0.6326530612244898,31,0.5715423332101439,0.4166666666666667,0.5263741134751774,0.5882352941176471,0.65625,0.6875,28.129032258064516,21.0,25.0,29.0,32.5,34.0,3,0.010293080077272587,0,1,1,3,7,9,10,12,8.25,0.08333333333333333,0.9166666666666666,7.0,7.75,9.0,10.0,10.9,269.1818181818182,2961.0,36.806451612903224,1141.0,16.818181818181817,28.129032258064516
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.02,cls_loop,4.940559356220523,117,0.09401709401709402,11,150,0.18,27,0.4686305644886311,0.27450980392156865,0.33,0.5306122448979592,0.5784615384615384,0.6056372549019607,23.333333333333332,14.0,16.5,26.0,29.0,29.400000000000002,2,0.9202001188222598,0,6,4,0,5,11,1,27,1.8148148148148149,0.37037037037037035,0.6296296296296297,-12.0,-6.0,7.0,9.0,10.0,269.1818181818182,2961.0,139.33333333333334,3762.0,16.818181818181817,23.333333333333332
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.02,cls_other,4.940559356220523,117,0.09401709401709402,11,36,0.5555555555555556,20,0.4853223523451934,0.292,0.375,0.5165441176470589,0.6157937806873978,0.6544217687074829,23.9,14.600000000000001,18.75,25.5,29.75,32.0,5,0.04851418530726803,2,1,4,2,2,4,5,1,-14.0,1.0,0.0,-14.0,-14.0,-14.0,-14.0,-14.0,269.1818181818182,2961.0,38.5,770.0,16.818181818181817,23.9
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.03,all_fail,4.761824379048865,117,0.1111111111111111,13,235,0.3617021276595745,85,0.4839798508986727,0.27450980392156865,0.35294117647058826,0.5294117647058824,0.5882352941176471,0.6666666666666666,23.905882352941177,14.0,18.0,26.0,30.0,32.0,3,0.029714095319471,6,11,9,8,20,15,16,46,0.8043478260869565,0.43478260869565216,0.5652173913043478,-12.5,-6.5,6.0,8.0,9.0,223.07692307692307,2900.0,64.55294117647058,5487.0,14.76923076923077,23.905882352941177
seq_sweep,A,sequential,1,cusum,gauss,none,True,0.0,0.6604159563586771,0.03,cls_stagnation,4.761824379048865,117,0.1111111111111111,13,49,0.6530612244897959,32,0.5574308150019418,0.4122549019607843,0.5,0.5714285714285714,0.6666666666666666,0.6793469387755102,27.40625,20.1,24.0,28.0,32.0,34.0,3,0.05726927539166282,1,1,1,3,9,6,11,12,6.25,0.16666666666666666,0.8333333333333334,-3.799999999999999,7.0,8.0,9.25,10.0,223.07692307692307,2900.0,34.75,1112.0,14.76923076923077,27.40625
