corpus,bits_per_chunk,calibration_lo,calibration_hi,auc_success,det_auc,rho_full,npairs
A,1,0.01969181663542986,0.06761388606578111,0.7609955676781451,0.7609955676781451,0.9216680174656106,2933
A,2,0.01969181663542986,0.06761388606578111,0.7938970337538357,0.7938970337538357,0.9668434799537697,2933
A,3,0.01969181663542986,0.06761388606578111,0.7976474599386294,0.7976474599386294,0.9899322182292564,2933
A,4,0.01969181663542986,0.06761388606578111,0.8031026252983293,0.8031026252983293,0.9978654629622364,2933
A,5,0.01969181663542986,0.06761388606578111,0.7983293556085919,0.7983293556085919,0.99930151073921,2933
A,6,0.01969181663542986,0.06761388606578111,0.8007159904534606,0.8007159904534606,0.999761856293239,2933
A,7,0.01969181663542986,0.06761388606578111,0.7990112512785542,0.7990112512785542,0.9998742589151187,2933
A,8,0.01969181663542986,0.06761388606578111,0.8003750426184794,0.8003750426184794,0.9998997790787636,2933
B,1,0.02241050432063639,0.06894064389914274,0.7435258964143426,0.7435258964143426,0.9243196301520592,2008
B,2,0.02241050432063639,0.06894064389914274,0.7385458167330677,0.7385458167330677,0.9549394111676018,2008
B,3,0.02241050432063639,0.06894064389914274,0.7435258964143426,0.7435258964143426,0.989185681151585,2008
B,4,0.02241050432063639,0.06894064389914274,0.7532370517928287,0.7532370517928287,0.9971900145261804,2008
B,5,0.02241050432063639,0.06894064389914274,0.7457669322709163,0.7457669322709163,0.9988602488488889,2008
B,6,0.02241050432063639,0.06894064389914274,0.7457669322709163,0.7457669322709163,0.9994730443176455,2008
B,7,0.02241050432063639,0.06894064389914274,0.7465139442231076,0.7465139442231076,0.9996238377054056,2008
B,8,0.02241050432063639,0.06894064389914274,0.7472609561752988,0.7472609561752988,0.9996548419349794,2008
