unit,outcome,event_class,quadrant,n
grid50x8/libero_goal,fail,loop_and_static,switching,1
grid50x8/libero_goal,fail,loop_and_static,uncovered_or_nothr,14
grid50x8/libero_goal,fail,loop_only,other,1
grid50x8/libero_goal,fail,loop_only,switching,22
grid50x8/libero_goal,fail,loop_only,uncovered_or_nothr,34
grid50x8/libero_goal,fail,no_event,other,1
grid50x8/libero_goal,fail,no_event,switching,5
grid50x8/libero_goal,fail,no_event,uncovered_or_nothr,18
grid50x8/libero_goal,fail,static_only,other,2
grid50x8/libero_goal,fail,static_only,switching,1
grid50x8/libero_goal,fail,static_only,uncovered_or_nothr,3
grid50x8/libero_goal,succ,loop_only,lockin,2
grid50x8/libero_goal,succ,loop_only,other,7
grid50x8/libero_goal,succ,loop_only,switching,1
grid50x8/libero_goal,succ,loop_only,uncovered_or_nothr,2
grid50x8/libero_goal,succ,no_event,lockin,67
grid50x8/libero_goal,succ,no_event,other,542
grid50x8/libero_goal,succ,no_event,switching,395
grid50x8/libero_goal,succ,no_event,uncovered_or_nothr,2482
grid50x8/libero_long,fail,loop_and_static,lockin,2
grid50x8/libero_long,fail,loop_and_static,other,7
grid50x8/libero_long,fail,loop_and_static,switching,5
grid50x8/libero_long,fail,loop_and_static,uncovered_or_nothr,14
grid50x8/libero_long,fail,loop_only,lockin,1
grid50x8/libero_long,fail,loop_only,other,9
grid50x8/libero_long,fail,loop_only,switching,24
grid50x8/libero_long,fail,loop_only,uncovered_or_nothr,56
grid50x8/libero_long,fail,no_event,other,6
grid50x8/libero_long,fail,no_event,switching,4
grid50x8/libero_long,fail,no_event,uncovered_or_nothr,34
grid50x8/libero_long,fail,static_only,lockin,3
grid50x8/libero_long,fail,static_only,other,22
grid50x8/libero_long,fail,static_only,switching,3
grid50x8/libero_long,fail,static_only,uncovered_or_nothr,71
grid50x8/libero_long,succ,loop_and_static,switching,2
grid50x8/libero_long,succ,loop_only,lockin,1
grid50x8/libero_long,succ,loop_only,other,11
grid50x8/libero_long,succ,loop_only,switching,17
grid50x8/libero_long,succ,loop_only,uncovered_or_nothr,7
grid50x8/libero_long,succ,no_event,lockin,64
grid50x8/libero_long,succ,no_event,other,465
grid50x8/libero_long,succ,no_event,switching,346
grid50x8/libero_long,succ,no_event,uncovered_or_nothr,2410
grid50x8/libero_long,succ,static_only,lockin,1
grid50x8/libero_long,succ,static_only,other,7
grid50x8/libero_long,succ,static_only,switching,3
grid50x8/libero_long,succ,static_only,uncovered_or_nothr,5
grid50x8/libero_object,fail,loop_and_static,other,2
grid50x8/libero_object,fail,loop_only,other,1
grid50x8/libero_object,fail,loop_only,switching,25
grid50x8/libero_object,fail,loop_only,uncovered_or_nothr,1
grid50x8/libero_object,fail,no_event,other,1
grid50x8/libero_object,fail,no_event,switching,5
grid50x8/libero_object,fail,static_only,switching,2
grid50x8/libero_object,succ,loop_only,lockin,3
grid50x8/libero_object,succ,loop_only,other,111
grid50x8/libero_object,succ,loop_only,switching,40
grid50x8/libero_object,succ,no_event,lockin,241
grid50x8/libero_object,succ,no_event,other,1589
grid50x8/libero_object,succ,no_event,switching,1347
grid50x8/libero_object,succ,no_event,uncovered_or_nothr,632
grid50x8/libero_spatial,fail,loop_and_static,uncovered_or_nothr,3
grid50x8/libero_spatial,fail,loop_only,lockin,1
grid50x8/libero_spatial,fail,loop_only,other,2
grid50x8/libero_spatial,fail,loop_only,switching,8
grid50x8/libero_spatial,fail,loop_only,uncovered_or_nothr,54
grid50x8/libero_spatial,fail,no_event,other,2
grid50x8/libero_spatial,fail,no_event,switching,8
grid50x8/libero_spatial,fail,no_event,uncovered_or_nothr,47
grid50x8/libero_spatial,fail,static_only,uncovered_or_nothr,1
grid50x8/libero_spatial,succ,loop_only,lockin,1
grid50x8/libero_spatial,succ,loop_only,other,8
grid50x8/libero_spatial,succ,loop_only,switching,3
grid50x8/libero_spatial,succ,loop_only,uncovered_or_nothr,23
grid50x8/libero_spatial,succ,no_event,lockin,41
grid50x8/libero_spatial,succ,no_event,other,291
grid50x8/libero_spatial,succ,no_event,switching,236
grid50x8/libero_spatial,succ,no_event,uncovered_or_nothr,3271
main16x32/ALL,fail,loop_and_static,lockin,2
main16x32/ALL,fail,loop_and_static,other,8
main16x32/ALL,fail,loop_and_static,switching,2
main16x32/ALL,fail,loop_only,other,24
main16x32/ALL,fail,loop_only,switching,52
main16x32/ALL,fail,loop_only,uncovered_or_nothr,14
main16x32/ALL,fail,no_event,lockin,2
main16x32/ALL,fail,no_event,other,16
main16x32/ALL,fail,no_event,switching,29
main16x32/ALL,fail,no_event,uncovered_or_nothr,15
main16x32/ALL,fail,static_only,lockin,11
main16x32/ALL,fail,static_only,other,81
main16x32/ALL,fail,static_only,switching,19
main16x32/ALL,fail,static_only,uncovered_or_nothr,32
main16x32/ALL,succ,loop_only,other,9
main16x32/ALL,succ,loop_only,switching,3
main16x32/ALL,succ,loop_only,uncovered_or_nothr,6
main16x32/ALL,succ,no_event,lockin,80
main16x32/ALL,succ,no_event,other,505
main16x32/ALL,succ,no_event,switching,416
main16x32/ALL,succ,no_event,uncovered_or_nothr,719
main16x32/ALL,succ,static_only,other,3
