corpus,signal,t,leg,auc,n_pairs,p_maxT
main_S8,d_healthy,20,raw,0.6917,2008,0.0005
main_S8,d_healthy,25,raw,0.7356,2008,0.0005
main_S8,d_healthy,30,raw,0.5842,2008,0.1214
main_S8,vhat,20,raw,0.4226,2008,0.1979
main_S8,vhat,25,raw,0.4435,2008,0.6142
main_S8,vhat,30,raw,0.3103,2008,0.0005
main_S8,stall,20,raw,0.5261,2008,0.9985
main_S8,stall,25,raw,0.5812,2008,0.1514
main_S8,stall,30,raw,0.698,2008,0.0005
main_S8,regress,20,raw,0.5306,2008,0.9875
main_S8,regress,25,raw,0.5438,2008,0.8666
main_S8,regress,30,raw,0.6175,2008,0.01
main_S8,osc,20,raw,0.5279,2008,0.997
main_S8,osc,25,raw,0.5369,2008,0.956
main_S8,osc,30,raw,0.5857,2008,0.1094
main_S8,d_healthy,20,resid_mob1w8,0.6335,2008,0.001
main_S8,d_healthy,25,resid_mob1w8,0.7084,2008,0.0005
main_S8,d_healthy,30,resid_mob1w8,0.6001,2008,0.0355
main_S8,vhat,20,resid_mob1w8,0.4487,2008,0.6432
main_S8,vhat,25,resid_mob1w8,0.4502,2008,0.6747
main_S8,vhat,30,resid_mob1w8,0.4358,2008,0.3898
grid_S8,d_healthy,20,raw,0.5548,292,0.953
grid_S8,d_healthy,25,raw,0.6541,292,0.0135
grid_S8,d_healthy,30,raw,0.524,292,1.0
grid_S8,vhat,20,raw,0.3733,292,0.077
grid_S8,vhat,25,raw,0.4486,292,0.968
grid_S8,vhat,30,raw,0.2175,292,0.0005
grid_S8,stall,20,raw,0.5634,292,0.8786
grid_S8,stall,25,raw,0.5342,292,0.998
grid_S8,stall,30,raw,0.6524,292,0.0165
grid_S8,regress,20,raw,0.5428,292,0.9905
grid_S8,regress,25,raw,0.5856,292,0.5247
grid_S8,regress,30,raw,0.7911,292,0.0005
grid_S8,osc,20,raw,0.5394,292,0.9955
grid_S8,osc,25,raw,0.5942,292,0.3898
grid_S8,osc,30,raw,0.6935,292,0.001
grid_S8,d_healthy,20,resid_mob1w8,0.524,292,0.997
grid_S8,d_healthy,25,resid_mob1w8,0.5788,292,0.5392
grid_S8,d_healthy,30,resid_mob1w8,0.5582,292,0.8326
grid_S8,vhat,20,resid_mob1w8,0.3596,292,0.0335
grid_S8,vhat,25,resid_mob1w8,0.4264,292,0.6107
grid_S8,vhat,30,resid_mob1w8,0.3425,292,0.011
grid_LR6,d_healthy,20,raw,0.7514,177,0.3618
grid_LR6,d_healthy,25,raw,0.6545,55,0.8806
grid_LR6,d_healthy,30,raw,0.5714,14,1.0
grid_LR6,vhat,20,raw,0.4068,177,0.997
grid_LR6,vhat,25,raw,0.2909,55,0.6107
grid_LR6,vhat,30,raw,0.2143,14,0.2464
grid_LR6,stall,20,raw,0.565,177,1.0
grid_LR6,stall,25,raw,0.4455,55,1.0
grid_LR6,stall,30,raw,0.5357,14,1.0
grid_LR6,regress,20,raw,0.6102,177,0.987
grid_LR6,regress,25,raw,0.7455,55,0.4168
grid_LR6,regress,30,raw,0.5357,14,1.0
grid_LR6,osc,20,raw,0.5791,177,1.0
grid_LR6,osc,25,raw,0.7,55,0.6657
grid_LR6,osc,30,raw,0.3929,14,0.99
grid_LR6,d_healthy,20,resid_mob1w8,0.7203,177,0.4638
grid_LR6,d_healthy,25,resid_mob1w8,0.5556,54,0.9985
grid_LR6,d_healthy,30,resid_mob1w8,0.6538,13,0.7451
grid_LR6,vhat,20,resid_mob1w8,0.4068,177,0.9615
grid_LR6,vhat,25,resid_mob1w8,0.4722,54,1.0
grid_LR6,vhat,30,resid_mob1w8,0.3077,13,0.5752
