episode_id,scene,repeat,success,n_queries,loop_onset_q,static_onset_q,trap_onset_q,proxy_grade
0,0,0,1,9,-1,-1,-1,objaware
1,0,1,1,9,-1,-1,-1,objaware
2,0,2,1,11,-1,-1,-1,objaware
3,0,3,1,10,-1,-1,-1,objaware
4,0,4,1,10,-1,-1,-1,objaware
5,0,5,1,9,-1,-1,-1,objaware
6,0,6,1,9,-1,-1,-1,objaware
7,0,7,1,11,-1,-1,-1,objaware
8,0,8,1,10,-1,-1,-1,objaware
9,0,9,1,11,-1,-1,-1,objaware
10,0,10,1,9,-1,-1,-1,objaware
11,0,11,1,9,-1,-1,-1,objaware
12,0,12,1,10,-1,-1,-1,objaware
13,0,13,1,9,-1,-1,-1,objaware
14,0,14,1,10,-1,-1,-1,objaware
15,0,15,1,9,-1,-1,-1,objaware
16,0,16,1,11,-1,-1,-1,objaware
17,0,17,1,9,-1,-1,-1,objaware
18,0,18,1,10,-1,-1,-1,objaware
19,0,19,1,10,-1,-1,-1,objaware
20,0,20,1,11,-1,-1,-1,objaware
21,0,21,1,9,-1,-1,-1,objaware
22,0,22,1,9,-1,-1,-1,objaware
23,0,23,1,9,-1,-1,-1,objaware
24,0,24,1,10,-1,-1,-1,objaware
25,0,25,1,11,-1,-1,-1,objaware
26,0,26,1,11,-1,-1,-1,objaware
27,0,27,1,11,-1,-1,-1,objaware
28,0,28,1,9,-1,-1,-1,objaware
29,0,29,1,10,-1,-1,-1,objaware
30,0,30,1,9,-1,-1,-1,objaware
31,0,31,1,9,-1,-1,-1,objaware
32,3,0,1,9,-1,-1,-1,objaware
33,3,1,1,10,-1,-1,-1,objaware
34,3,2,1,9,-1,-1,-1,objaware
35,3,3,1,9,-1,-1,-1,objaware
36,3,4,1,9,-1,-1,-1,objaware
37,3,5,1,9,-1,-1,-1,objaware
38,3,6,1,10,-1,-1,-1,objaware
39,3,7,1,9,-1,-1,-1,objaware
40,3,8,1,10,-1,-1,-1,objaware
41,3,9,1,9,-1,-1,-1,objaware
42,3,10,1,9,-1,-1,-1,objaware
43,3,11,1,9,-1,-1,-1,objaware
44,3,12,1,10,-1,-1,-1,objaware
45,3,13,1,10,-1,-1,-1,objaware
46,3,14,1,10,-1,-1,-1,objaware
47,3,15,1,13,-1,-1,-1,objaware
48,3,16,1,9,-1,-1,-1,objaware
49,3,17,1,10,-1,-1,-1,objaware
50,3,18,1,9,-1,-1,-1,objaware
51,3,19,1,9,-1,-1,-1,objaware
52,3,20,1,9,-1,-1,-1,objaware
53,3,21,1,10,-1,-1,-1,objaware
54,3,22,1,9,-1,-1,-1,objaware
55,3,23,1,9,-1,-1,-1,objaware
56,3,24,1,9,-1,-1,-1,objaware
57,3,25,1,9,-1,-1,-1,objaware
58,3,26,1,9,-1,-1,-1,objaware
59,3,27,1,9,-1,-1,-1,objaware
60,3,28,1,9,-1,-1,-1,objaware
61,3,29,1,10,-1,-1,-1,objaware
62,3,30,1,9,-1,-1,-1,objaware
