distance_a,distance_b,spearman
hellinger,wjaccard,0.9962
hellinger,tv,0.9962
hellinger,js,0.9999
hellinger,cos,0.9954
hellinger,l2,0.9949
hellinger,top4_jac,0.7714
hellinger,top4_mass,0.5838
wjaccard,tv,1.0
wjaccard,js,0.9963
wjaccard,cos,0.9912
wjaccard,l2,0.9911
wjaccard,top4_jac,0.7709
wjaccard,top4_mass,0.5779
tv,js,0.9963
tv,cos,0.9912
tv,l2,0.9911
tv,top4_jac,0.7707
tv,top4_mass,0.5776
js,cos,0.9954
js,l2,0.9949
js,top4_jac,0.7714
js,top4_mass,0.5837
cos,l2,0.9988
cos,top4_jac,0.7687
cos,top4_mass,0.5752
l2,top4_jac,0.7604
l2,top4_mass,0.5514
top4_jac,top4_mass,0.7869
