channel,distance,median_value,median_t30_success,median_t30_failure,failure_over_success,self_collapse_failure,self_collapse_success
st,hellinger,0.06655,0.07511,0.05792,0.7712,0.9107,1.1343
st,wjaccard,0.13986,0.15516,0.12278,0.7913,0.9242,1.1275
st,tv,0.07528,0.08443,0.06575,0.7788,0.917,1.1363
st,js,0.06647,0.07497,0.05792,0.7726,0.9115,1.1344
st,cos,0.01789,0.02352,0.01451,0.6168,0.779,1.2366
st,l2,0.03473,0.0387,0.03019,0.7801,0.893,1.1255
st,top4_jac,0.58095,0.61766,0.54008,0.8744,1.033,1.1176
st,top4_mass,0.82214,0.82612,0.82113,0.994,1.0024,1.0071
ac,hellinger,0.04045,0.04188,0.03342,0.7981,0.8303,1.0347
ac,wjaccard,0.08658,0.0892,0.07254,0.8132,0.8456,1.0346
ac,tv,0.04531,0.04677,0.03771,0.8062,0.8372,1.0355
ac,js,0.04043,0.04181,0.03345,0.7999,0.8305,1.0344
ac,cos,0.00661,0.00719,0.00459,0.639,0.6753,1.0444
ac,l2,0.02017,0.0208,0.01671,0.8034,0.8298,1.0332
ac,top4_jac,0.80976,0.81885,0.75421,0.9211,0.9609,1.0301
ac,top4_mass,0.86552,0.86627,0.86333,0.9966,0.9983,1.0012
