token_a,token_b,spearman
0,1,0.7763
0,2,0.7654
0,3,0.7694
0,4,0.7744
0,5,0.7727
0,6,0.768
0,7,0.7581
0,8,0.7441
0,9,0.7358
0,10,0.7373
1,2,0.9496
1,3,0.9175
1,4,0.8891
1,5,0.8593
1,6,0.838
1,7,0.82
1,8,0.799
1,9,0.782
1,10,0.7471
2,3,0.949
2,4,0.9228
2,5,0.8868
2,6,0.8587
2,7,0.8323
2,8,0.8075
2,9,0.7829
2,10,0.7462
3,4,0.9498
3,5,0.9162
3,6,0.8834
3,7,0.8547
3,8,0.8239
3,9,0.7947
3,10,0.76
4,5,0.9457
4,6,0.9149
4,7,0.8799
4,8,0.845
4,9,0.8109
4,10,0.7749
5,6,0.9449
5,7,0.912
5,8,0.8701
5,9,0.8316
5,10,0.7932
6,7,0.9431
6,8,0.9047
6,9,0.8616
6,10,0.8193
7,8,0.943
7,9,0.8992
7,10,0.8512
8,9,0.9392
8,10,0.8891
9,10,0.9311
