channel,distance,W,q,stop,fa_observed,recall,recall_loop,chances_failure_median,chances_success_median,chance_ratio
ac,top4_mass,8,0.2,35,0.1216,0.5694,0.317,27.0,27.0,1.0
ac,top4_mass,8,0.2,40,0.1182,0.8843,0.829,32.0,31.0,1.032
ac,top4_mass,8,0.2,52,0.1149,1.0,1.0,44.0,31.0,1.419
ac,top4_mass,4,0.3,35,0.125,0.75,0.488,31.0,31.0,1.0
ac,top4_mass,4,0.3,40,0.1419,0.8935,0.878,36.0,35.0,1.029
ac,top4_mass,4,0.3,52,0.1554,0.9907,0.951,48.0,35.0,1.371
st,l2,6,0.25,35,0.0642,0.7361,0.488,29.0,29.0,1.0
st,l2,6,0.25,40,0.0608,0.8889,0.902,34.0,33.0,1.03
st,l2,6,0.25,52,0.0608,0.9815,0.951,46.0,33.0,1.394
ac,l2,6,0.25,35,0.0912,0.7593,0.561,29.0,29.0,1.0
ac,l2,6,0.25,40,0.0845,0.8148,0.61,34.0,33.0,1.03
ac,l2,6,0.25,52,0.0845,0.8843,0.61,46.0,33.0,1.394
st,hellinger,6,0.25,35,0.0676,0.7361,0.488,29.0,29.0,1.0
st,hellinger,6,0.25,40,0.0709,0.8704,0.829,34.0,33.0,1.03
st,hellinger,6,0.25,52,0.0709,0.963,0.854,46.0,33.0,1.394
