stage,corpus,contrast,block,denoise,channel,bins,variant,group,auc,n_pos,n_neg,p_marg,p_fwer,note
grid,A,stagnation_vs_loop,back,9,state,3,main,,0.992609437180216,49,150,,,
grid,A,stagnation_vs_loop,back,9,state,5,main,,0.9937464468447982,49,150,,,
grid,A,stagnation_vs_loop,back,9,state,8,main,,0.9914724275156339,49,150,,,
grid,A,stagnation_vs_loop,back,9,state,10,main,,0.9943149516770893,49,150,,,
grid,A,stagnation_vs_loop,back,9,action,3,main,,0.992609437180216,49,150,,,
grid,A,stagnation_vs_loop,back,9,action,5,main,,0.992609437180216,49,150,,,
grid,A,stagnation_vs_loop,back,9,action,8,main,,0.9931779420125071,49,150,,,
grid,A,stagnation_vs_loop,back,9,action,10,main,,0.9931779420125071,49,150,,,
grid,A,stagnation_vs_loop,back,9,both,3,main,,0.9914724275156339,49,150,,,
grid,A,stagnation_vs_loop,back,9,both,5,main,,0.992609437180216,49,150,,,
grid,A,stagnation_vs_loop,back,9,both,8,main,,0.992040932347925,49,150,,,
grid,A,stagnation_vs_loop,back,9,both,10,main,,0.9931779420125071,49,150,,,
grid,A,stagnation_vs_loop,back,0,state,3,main,,0.992609437180216,49,150,,,
grid,A,stagnation_vs_loop,back,0,state,5,main,,0.9937464468447982,49,150,,,
grid,A,stagnation_vs_loop,back,0,state,8,main,,0.9914724275156339,49,150,,,
grid,A,stagnation_vs_loop,back,0,state,10,main,,0.9943149516770893,49,150,,,
grid,A,stagnation_vs_loop,back,0,action,3,main,,0.9954519613416714,49,150,,,
grid,A,stagnation_vs_loop,back,0,action,5,main,,0.9960204661739624,49,150,,,
grid,A,stagnation_vs_loop,back,0,action,8,main,,0.9965889710062535,49,150,,,
grid,A,stagnation_vs_loop,back,0,action,10,main,,0.9954519613416714,49,150,,,
grid,A,stagnation_vs_loop,back,0,both,3,main,,0.992040932347925,49,150,,,
grid,A,stagnation_vs_loop,back,0,both,5,main,,0.9960204661739624,49,150,,,
grid,A,stagnation_vs_loop,back,0,both,8,main,,0.9931779420125071,49,150,,,
grid,A,stagnation_vs_loop,back,0,both,10,main,,0.9943149516770893,49,150,,,
grid,A,stagnation_vs_loop,front,9,state,3,main,,0.9914724275156339,49,150,,,
