stage,corpus,contrast,block,denoise,channel,bins,variant,group,auc,n_pos,n_neg,p_marg,p_fwer,note
sentinel_length,A,stagnation_vs_loop,,,length,,,,0.44314951677089254,49,150,0.6987640666955446,,n_unique_lengths=6
sentinel_length,A,stagnation_vs_other,,,length,,,,0.4486447931526391,49,36,0.3439763854626754,,n_unique_lengths=6
sentinel_length,A,loop_vs_other,,,length,,,,0.4515201314708299,150,36,0.3786720597097384,,n_unique_lengths=6
sentinel_length,B,stagnation_vs_loop,,,length,,,,0.5,128,41,1.0,,n_unique_lengths=1
sentinel_length,B,stagnation_vs_other,,,length,,,,0.5,128,47,1.0,,n_unique_lengths=1
sentinel_length,B,loop_vs_other,,,length,,,,0.5,41,47,1.0,,n_unique_lengths=1
sentinel_phaseshuffle,A,stagnation_vs_loop,back,9,state,5,shuffled,,0.9960488914155772,49,150,,,true=0.9937 min=0.9892 max=0.9994
sentinel_phaseshuffle,A,stagnation_vs_loop,back,9,action,5,shuffled,,0.993888573052871,49,150,,,true=0.9926 min=0.9903 max=0.9972
sentinel_phaseshuffle,A,stagnation_vs_loop,back,9,both,5,shuffled,,0.9944855031267767,49,150,,,true=0.9926 min=0.9858 max=0.9989
sentinel_phaseshuffle,A,stagnation_vs_other,back,9,state,5,shuffled,,0.8727532097004278,49,36,,,true=0.8959 min=0.7846 max=0.9301
sentinel_phaseshuffle,A,stagnation_vs_other,back,9,action,5,shuffled,,0.8756776034236804,49,36,,,true=0.8787 min=0.8317 max=0.9344
sentinel_phaseshuffle,A,stagnation_vs_other,back,9,both,5,shuffled,,0.8584878744650499,49,36,,,true=0.8887 min=0.7646 max=0.9272
sentinel_phaseshuffle,A,loop_vs_other,back,9,state,5,shuffled,,0.6880443714050946,150,36,,,true=0.5892 min=0.5908 max=0.7486
sentinel_phaseshuffle,A,loop_vs_other,back,9,action,5,shuffled,,0.7480690221857025,150,36,,,true=0.6639 min=0.6738 max=0.8143
sentinel_phaseshuffle,A,loop_vs_other,back,9,both,5,shuffled,,0.7049301561216106,150,36,,,true=0.6409 min=0.6311 max=0.7831
sentinel_phaseshuffle,B,stagnation_vs_loop,back,9,state,5,shuffled,,0.9938953488372094,128,41,,,true=0.9942 min=0.9884 max=1.0000
sentinel_phaseshuffle,B,stagnation_vs_loop,back,9,action,5,shuffled,,0.9954941860465116,128,41,,,true=0.9913 min=0.9913 max=1.0000
sentinel_phaseshuffle,B,stagnation_vs_loop,back,9,both,5,shuffled,,0.9931686046511627,128,41,,,true=0.9942 min=0.9855 max=1.0000
sentinel_phaseshuffle,B,stagnation_vs_other,back,9,state,5,shuffled,,0.996091644204852,128,47,,,true=0.9973 min=0.9892 max=1.0000
sentinel_phaseshuffle,B,stagnation_vs_other,back,9,action,5,shuffled,,0.9954177897574125,128,47,,,true=0.9946 min=0.9919 max=1.0000
sentinel_phaseshuffle,B,stagnation_vs_other,back,9,both,5,shuffled,,0.9938005390835581,128,47,,,true=0.9973 min=0.9865 max=0.9973
sentinel_phaseshuffle,B,loop_vs_other,back,9,state,5,shuffled,,0.7638728323699422,41,47,,,true=0.7341 min=0.6301 max=0.8613
sentinel_phaseshuffle,B,loop_vs_other,back,9,action,5,shuffled,,0.7528901734104045,41,47,,,true=0.7919 min=0.6012 max=0.8555
sentinel_phaseshuffle,B,loop_vs_other,back,9,both,5,shuffled,,0.7320809248554914,41,47,,,true=0.7168 min=0.5029 max=0.8786
grid,A,stagnation_vs_loop,back,9,state,3,main,,0.992609437180216,49,150,,,
