run,comparison,relative_query,signal,raw_auc,raw_auc_ci_low,raw_auc_ci_high,mixed_cells,positive_events_in_cells,control_events_in_cells,direction_frozen_from_A,oriented_auc
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,-1,layer5_state_action_gap,0.4253484320557492,0.3013567073170732,0.554163037166086,41,78,173,low,0.5746515679442508
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,-1,front_state_action_gap,0.49676248548199764,0.3747949332171893,0.6139870063879209,41,78,173,low,0.5032375145180024
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,-1,back_state_action_gap,0.5456736353077817,0.42511324041811843,0.662429587688734,41,78,173,high,0.5456736353077817
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,-1,front_chunk_jump,0.3636324041811847,0.26810286004645767,0.4673566347270614,41,78,173,low,0.6363675958188153
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,-1,back_chunk_jump,0.29346689895470385,0.18614692218350756,0.4051771196283391,41,78,173,low,0.7065331010452962
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,-1,front_action_distance_to_healthy,0.6493145743145743,0.5210155122655123,0.7694782647907646,33,58,165,high,0.6493145743145743
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,0,layer5_state_action_gap,0.7126887340301974,0.6037587108013938,0.8112681475029034,41,78,173,high,0.7126887340301974
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,0,front_state_action_gap,0.6860627177700349,0.5645172764227643,0.7964118757259,41,78,173,high,0.6860627177700349
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,0,back_state_action_gap,0.34698025551684086,0.24508638211382117,0.45706881533101035,41,78,173,low,0.6530197444831591
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,0,front_chunk_jump,0.46689895470383275,0.3669599303135888,0.569430168408827,41,78,173,low,0.5331010452961673
seed1000_1007,belief_mismatch_vs_successful_coupled_grasp,0,back_chunk_jump,0.5653019744483159,0.4523809523809524,0.6809545586527292,41,78,173,high,0.5653019744483159
