feature,t,auc,pairs,n_alive,n_fail
A|wc_back3frac|level,15,0.46334810773951585,2933,352,235
A|wc_back3frac|delta,15,0.5755199454483464,2933,352,235
A|wc_backminusfront|level,15,0.4589157858847596,2933,352,235
A|wc_backminusfront|delta,15,0.6041595635867713,2933,352,235
A|wc_centroid|level,15,0.45584725536992843,2933,352,235
A|wc_centroid|delta,15,0.5867712240027276,2933,352,235
A|wc_disp|level,15,0.5918854415274463,2933,352,235
A|wc_disp|delta,15,0.5455165359699966,2933,352,235
A|wc_earlylate_hell|level,15,0.5963177633822025,2933,352,235
A|wc_earlylate_hell|delta,15,0.5700647800886465,2933,352,235
A|wc_eff|level,15,0.4626662120695534,2933,352,235
A|wc_eff|delta,15,0.45755199454483464,2933,352,235
A|wc_ent_d0|level,15,0.3537333787930447,2933,352,235
A|wc_ent_d0|delta,15,0.5054551653596999,2933,352,235
A|wc_ent_d9|level,15,0.4050460279577225,2933,352,235
A|wc_ent_d9|delta,15,0.4935219911353563,2933,352,235
A|wc_ent_d9_minus_d0|level,15,0.44561882032049094,2933,352,235
A|wc_ent_d9_minus_d0|delta,15,0.5098874872144562,2933,352,235
A|wc_ent_early02|level,15,0.3474258438458916,2933,352,235
A|wc_ent_early02|delta,15,0.522673031026253,2933,352,235
A|wc_ent_late79|level,15,0.3851005796113195,2933,352,235
A|wc_ent_late79|delta,15,0.5173883395840436,2933,352,235
A|wc_ent_late_minus_early|level,15,0.43044664166382546,2933,352,235
A|wc_ent_late_minus_early|delta,15,0.530855779065803,2933,352,235
A|wc_ent_mean|level,15,0.3467439481759291,2933,352,235
A|wc_ent_mean|delta,15,0.5022161609273781,2933,352,235
A|wc_ent_range|level,15,0.5518240709171497,2933,352,235
A|wc_ent_range|delta,15,0.5109103307194,2933,352,235
A|wc_ent_std|level,15,0.5499488578247528,2933,352,235
A|wc_ent_std|delta,15,0.5236958745311967,2933,352,235
A|wc_front3frac|level,15,0.5346062052505967,2933,352,235
A|wc_front3frac|delta,15,0.5799522673031027,2933,352,235
A|wc_net|level,15,0.5710876235935902,2933,352,235
A|wc_net|delta,15,0.5813160586430275,2933,352,235
A|wc_path|level,15,0.5826798499829526,2933,352,235
A|wc_path|delta,15,0.5366518922604842,2933,352,235
A|wc_step0to1|level,15,0.607909989771565,2933,352,235
A|wc_step0to1|delta,15,0.44220934197067846,2933,352,235
A|wc_step1to2|level,15,0.6191612683259461,2933,352,235
A|wc_step1to2|delta,15,0.49198772587794065,2933,352,235
A|wc_step2to3|level,15,0.647800886464371,2933,352,235
A|wc_step2to3|delta,15,0.5485850664848279,2933,352,235
A|wc_step3to4|level,15,0.5973406068871463,2933,352,235
A|wc_step3to4|delta,15,0.6099556767814525,2933,352,235
A|wc_step4to5|level,15,0.6164336856460961,2933,352,235
A|wc_step4to5|delta,15,0.5782475281281964,2933,352,235
A|wc_step5to6|level,15,0.588816911012615,2933,352,235
A|wc_step5to6|delta,15,0.519945448346403,2933,352,235
A|wc_step6to7|level,15,0.5509717013296965,2933,352,235
A|wc_step6to7|delta,15,0.5121036481418343,2933,352,235
A|wc_step7to8|level,15,0.5881350153426526,2933,352,235
A|wc_step7to8|delta,15,0.5451755881350153,2933,352,235
A|wc_step8to9|level,15,0.5574497101943403,2933,352,235
A|wc_step8to9|delta,15,0.5407432662802591,2933,352,235
A|wc_stepargmax|level,15,0.568871462666212,2933,352,235
A|wc_stepargmax|delta,15,0.40692124105011934,2933,352,235
A|wc_stepmax|level,15,0.5349471530855779,2933,352,235
A|wc_stepmax|delta,15,0.5342652574156154,2933,352,235
A|wc_varsum|level,15,0.5683600409137401,2933,352,235
A|wc_varsum|delta,15,0.5516535969996591,2933,352,235
A|xchunk_hell_d0|level,15,0.5918854415274463,2933,352,235
A|xchunk_hell_d1|level,15,0.596999659052165,2933,352,235
A|xchunk_hell_d2|level,15,0.5973406068871463,2933,352,235
A|xchunk_hell_d3|level,15,0.6000681895669963,2933,352,235
A|xchunk_hell_d4|level,15,0.6027957722468462,2933,352,235
A|xchunk_hell_d5|level,15,0.6085918854415274,2933,352,235
A|xchunk_hell_d6|level,15,0.6099556767814525,2933,352,235
A|xchunk_hell_d7|level,15,0.6109785202863962,2933,352,235
A|xchunk_hell_d8|level,15,0.6058643027616775,2933,352,235
A|xchunk_hell_d9|level,15,0.5850664848278213,2933,352,235
A|xchunk_hell_dmean|level,15,0.6014319809069213,2933,352,235
A|xchunk_hell_early02|level,15,0.5966587112171837,2933,352,235
A|xchunk_hell_late79|level,15,0.599727241732015,2933,352,235
A|xchunk_hell_late_minus_early|level,15,0.5697238322536652,2933,352,235
A|xchunk_hell_late_over_early|level,15,0.521309239686328,2933,352,235
F|wc_back3frac|level,15,0.4930105693828844,2933,352,235
F|wc_back3frac|delta,15,0.5192635526764405,2933,352,235
F|wc_backminusfront|level,15,0.5063075349471531,2933,352,235
F|wc_backminusfront|delta,15,0.5301738833958405,2933,352,235
F|wc_centroid|level,15,0.5005114217524719,2933,352,235
F|wc_centroid|delta,15,0.526764405046028,2933,352,235
F|wc_disp|level,15,0.5605182407091714,2933,352,235
F|wc_disp|delta,15,0.5973406068871463,2933,352,235
F|wc_earlylate_hell|level,15,0.5847255369928401,2933,352,235
F|wc_earlylate_hell|delta,15,0.5390385271053528,2933,352,235
F|wc_eff|level,15,0.5277872485509717,2933,352,235
F|wc_eff|delta,15,0.49812478690760315,2933,352,235
F|wc_ent_d0|level,15,0.4466416638254347,2933,352,235
F|wc_ent_d0|delta,15,0.45669962495738153,2933,352,235
F|wc_ent_d9|level,15,0.39498806682577564,2933,352,235
F|wc_ent_d9|delta,15,0.5625639277190589,2933,352,235
F|wc_ent_d9_minus_d0|level,15,0.3854415274463007,2933,352,235
F|wc_ent_d9_minus_d0|delta,15,0.5407432662802591,2933,352,235
F|wc_ent_early02|level,15,0.44544834640300035,2933,352,235
F|wc_ent_early02|delta,15,0.4667575860893283,2933,352,235
F|wc_ent_late79|level,15,0.3924309580634163,2933,352,235
F|wc_ent_late79|delta,15,0.5393794749403341,2933,352,235
F|wc_ent_late_minus_early|level,15,0.377599727241732,2933,352,235
F|wc_ent_late_minus_early|delta,15,0.535799522673031,2933,352,235
F|wc_ent_mean|level,15,0.4001022843504944,2933,352,235
F|wc_ent_mean|delta,15,0.4942038868053188,2933,352,235
F|wc_ent_range|level,15,0.6125127855438118,2933,352,235
F|wc_ent_range|delta,15,0.5475622229798841,2933,352,235
F|wc_ent_std|level,15,0.6116604159563587,2933,352,235
F|wc_ent_std|delta,15,0.5400613706102966,2933,352,235
F|wc_front3frac|level,15,0.4609614728946471,2933,352,235
F|wc_front3frac|delta,15,0.5107398568019093,2933,352,235
F|wc_net|level,15,0.5615410842141152,2933,352,235
F|wc_net|delta,15,0.5547221275144902,2933,352,235
F|wc_path|level,15,0.5513126491646778,2933,352,235
F|wc_path|delta,15,0.6317763382202523,2933,352,235
F|wc_step0to1|level,15,0.5448346403000341,2933,352,235
F|wc_step0to1|delta,15,0.4435731333106035,2933,352,235
F|wc_step1to2|level,15,0.5264234572110467,2933,352,235
F|wc_step1to2|delta,15,0.4817592908285032,2933,352,235
F|wc_step2to3|level,15,0.5404023184452779,2933,352,235
F|wc_step2to3|delta,15,0.4664166382543471,2933,352,235
