method,baseline,metric,delta,ci95_low,ci95_high,bootstrap_p_two_sided,n_groups,n_bootstrap,n_bootstrap_effective
double_shared_max,single,false_alarm_rate,0.009404388714733536,0.0,0.020161290322580627,0.06819659017049147,16,20000,20000
double_shared_max,single,precision_trap,-0.020251716247139506,-0.04892169633810961,-0.004023488927082283,0.0058997050147492625,16,20000,20000
double_shared_max,single,recall_trap,-0.04663212435233155,-0.10001141552511424,0.004465291184041082,0.08749562521873906,16,20000,20000
double_shared_max,single,recall_loop,-0.07017543859649122,-0.16216216216216217,0.07407407407407407,0.35658217089145544,16,20000,20000
double_shared_max,single,recall_static,-0.03424657534246578,-0.09677419354838701,0.0,0.22778861056947153,16,20000,20000
double_shared_max,single,macro_type_recall,-0.05221100696947856,-0.10063879919199072,0.021082230415327353,0.1503924803759812,16,20000,20000
double_shared_max,single,recall_onset_by_q34,0.05555555555555558,0.0,0.16666666666666666,0.695312108297819,16,20000,19944
double_shared_noisy_or,single,false_alarm_rate,0.0,-0.01966315159329527,0.01915739414637726,1.0,16,20000,20000
double_shared_noisy_or,single,precision_trap,-0.015042042977265635,-0.05599195631852941,0.02157095320593934,0.3727813609319534,16,20000,20000
double_shared_noisy_or,single,recall_trap,-0.10880829015544036,-0.17901464897733557,-0.047007829977628646,0.0008999550022498875,16,20000,20000
double_shared_noisy_or,single,recall_loop,-0.08771929824561397,-0.23076923076923073,0.011768207282912927,0.12439378031098446,16,20000,20000
double_shared_noisy_or,single,recall_static,-0.11643835616438358,-0.19354838709677424,-0.04210305174701481,0.004499775011249437,16,20000,20000
double_shared_noisy_or,single,macro_type_recall,-0.10207882720499883,-0.19032771478566296,-0.03706199281608608,0.001799910004499775,16,20000,20000
double_shared_noisy_or,single,recall_onset_by_q34,0.05555555555555558,0.0,0.16666666666666666,0.695312108297819,16,20000,19944
double_typed_max,single,false_alarm_rate,0.0,-0.06737688262012909,0.04878205530127267,1.0,16,20000,20000
double_typed_max,single,precision_trap,-0.09390063944909,-0.24293446735424762,0.0029311896299534486,0.06019699015049248,16,20000,20000
double_typed_max,single,recall_trap,-0.43005181347150256,-0.5652212321401138,-0.27142857142857146,9.99950002499875e-05,16,20000,20000
double_typed_max,single,recall_loop,-0.24561403508771928,-0.5833333333333334,0.0,0.07219639018049097,16,20000,20000
double_typed_max,single,recall_static,-0.5068493150684932,-0.6068965517241379,-0.375,9.99950002499875e-05,16,20000,20000
double_typed_max,single,macro_type_recall,-0.37623167507810623,-0.5591312315046665,-0.23591407028026762,9.99950002499875e-05,16,20000,20000
double_typed_max,single,recall_onset_by_q34,0.1111111111111111,-0.24999999999999994,0.25,0.4272750062672349,16,20000,19944
double_typed_noisy_or,single,false_alarm_rate,0.006269592476489033,-0.05323342908566456,0.0616251295038563,0.8903554822258887,16,20000,20000
double_typed_noisy_or,single,precision_trap,-0.08728070175438596,-0.22711618023979394,0.00443391248250175,0.06589670516474176,16,20000,20000
double_typed_noisy_or,single,recall_trap,-0.37305699481865284,-0.4867732625797142,-0.23728541938287728,9.99950002499875e-05,16,20000,20000
double_typed_noisy_or,single,recall_loop,-0.15789473684210525,-0.3125,-0.03999999999999998,0.01879906004699765,16,20000,20000
double_typed_noisy_or,single,recall_static,-0.4452054794520548,-0.5402322024471635,-0.2972924010967493,9.99950002499875e-05,16,20000,20000
double_typed_noisy_or,single,macro_type_recall,-0.30155010814708005,-0.40364992988232423,-0.2095602555422042,9.99950002499875e-05,16,20000,20000
double_typed_noisy_or,single,recall_onset_by_q34,0.0,-0.2857142857142857,0.15789473684210525,1.0,16,20000,19944
