method,init_state_id,n,control_n,false_alarm,selected_n,positive_trap,positive_loop,positive_static,positive_onset_by_stop,selected_trap,selected_loop,selected_static,selected_onset_by_stop
double_shared_max,0,32,15,1,14,17,4,13,3,13,1,12,0
double_shared_max,3,32,7,3,26,25,10,18,0,23,8,17,0
double_shared_max,7,32,29,2,3,3,3,1,0,1,1,1,0
double_shared_max,10,32,10,0,12,22,17,7,7,12,7,7,2
double_shared_max,13,32,9,2,24,23,0,23,0,22,0,22,0
double_shared_max,16,32,29,2,5,3,1,3,0,3,1,3,0
double_shared_max,20,32,30,0,0,2,2,0,1,0,0,0,0
double_shared_max,23,32,31,6,7,1,1,1,0,1,1,1,0
double_shared_max,26,32,11,2,17,21,6,17,0,15,4,13,0
double_shared_max,29,32,30,0,2,2,0,2,0,2,0,2,0
double_shared_max,33,32,32,1,1,0,0,0,0,0,0,0,0
double_shared_max,36,32,32,0,0,0,0,0,0,0,0,0,0
double_shared_max,39,32,6,6,31,26,5,21,0,25,4,21,0
double_shared_max,42,32,16,0,9,16,8,8,5,9,3,6,1
double_shared_max,46,32,32,1,1,0,0,0,0,0,0,0,0
double_shared_max,49,32,0,0,32,32,0,32,2,32,0,32,2
double_shared_noisy_or,0,32,15,1,11,17,4,13,3,10,1,9,0
double_shared_noisy_or,3,32,7,3,27,25,10,18,0,24,9,17,0
double_shared_noisy_or,7,32,29,0,1,3,3,1,0,1,1,1,0
double_shared_noisy_or,10,32,10,0,14,22,17,7,7,14,9,7,2
double_shared_noisy_or,13,32,9,2,23,23,0,23,0,21,0,21,0
double_shared_noisy_or,16,32,29,2,3,3,1,3,0,1,1,1,0
double_shared_noisy_or,20,32,30,0,0,2,2,0,1,0,0,0,0
double_shared_noisy_or,23,32,31,6,7,1,1,1,0,1,1,1,0
double_shared_noisy_or,26,32,11,1,14,21,6,17,0,13,2,12,0
double_shared_noisy_or,29,32,30,0,2,2,0,2,0,2,0,2,0
double_shared_noisy_or,33,32,32,2,2,0,0,0,0,0,0,0,0
double_shared_noisy_or,36,32,32,0,0,0,0,0,0,0,0,0,0
double_shared_noisy_or,39,32,6,6,30,26,5,21,0,24,3,21,0
double_shared_noisy_or,42,32,16,0,8,16,8,8,5,8,2,6,1
double_shared_noisy_or,46,32,32,0,0,0,0,0,0,0,0,0,0
double_shared_noisy_or,49,32,0,0,27,32,0,32,2,27,0,27,2
double_typed_max,0,32,15,3,8,17,4,13,3,5,2,3,1
double_typed_max,3,32,7,1,16,25,10,18,0,15,2,13,0
double_typed_max,7,32,29,2,2,3,3,1,0,0,0,0,0
double_typed_max,10,32,10,1,15,22,17,7,7,14,10,6,3
double_typed_max,13,32,9,0,11,23,0,23,0,11,0,11,0
double_typed_max,16,32,29,4,5,3,1,3,0,1,1,1,0
double_typed_max,20,32,30,3,3,2,2,0,1,0,0,0,0
double_typed_max,23,32,31,2,3,1,1,1,0,1,1,1,0
double_typed_max,26,32,11,0,9,21,6,17,0,9,2,7,0
double_typed_max,29,32,30,3,5,2,0,2,0,2,0,2,0
double_typed_max,33,32,32,3,3,0,0,0,0,0,0,0,0
double_typed_max,36,32,32,0,0,0,0,0,0,0,0,0,0
double_typed_max,39,32,6,1,7,26,5,21,0,6,0,6,0
double_typed_max,42,32,16,0,5,16,8,8,5,5,2,3,1
double_typed_max,46,32,32,0,0,0,0,0,0,0,0,0,0
double_typed_max,49,32,0,0,15,32,0,32,2,15,0,15,1
double_typed_noisy_or,0,32,15,1,5,17,4,13,3,4,0,4,0
double_typed_noisy_or,3,32,7,1,20,25,10,18,0,19,6,15,0
double_typed_noisy_or,7,32,29,2,2,3,3,1,0,0,0,0,0
double_typed_noisy_or,10,32,10,1,12,22,17,7,7,11,8,5,2
double_typed_noisy_or,13,32,9,1,11,23,0,23,0,10,0,10,0
double_typed_noisy_or,16,32,29,2,4,3,1,3,0,2,1,2,0
double_typed_noisy_or,20,32,30,0,0,2,2,0,1,0,0,0,0
double_typed_noisy_or,23,32,31,2,2,1,1,1,0,0,0,0,0
double_typed_noisy_or,26,32,11,4,16,21,6,17,0,12,4,10,0
double_typed_noisy_or,29,32,30,2,4,2,0,2,0,2,0,2,0
double_typed_noisy_or,33,32,32,6,6,0,0,0,0,0,0,0,0
double_typed_noisy_or,36,32,32,1,1,0,0,0,0,0,0,0,0
double_typed_noisy_or,39,32,6,2,16,26,5,21,0,14,4,10,0
double_typed_noisy_or,42,32,16,0,7,16,8,8,5,7,2,5,1
double_typed_noisy_or,46,32,32,0,0,0,0,0,0,0,0,0,0
double_typed_noisy_or,49,32,0,0,14,32,0,32,2,14,0,14,1
single,0,32,15,1,14,17,4,13,3,13,1,12,0
single,3,32,7,3,27,25,10,18,0,24,9,17,0
single,7,32,29,2,4,3,3,1,0,2,2,1,0
single,10,32,10,0,15,22,17,7,7,15,10,7,2
single,13,32,9,2,25,23,0,23,0,23,0,23,0
single,16,32,29,2,5,3,1,3,0,3,1,3,0
single,20,32,30,0,0,2,2,0,1,0,0,0,0
single,23,32,31,5,6,1,1,1,0,1,1,1,0
single,26,32,11,1,20,21,6,17,0,19,4,17,0
single,29,32,30,0,2,2,0,2,0,2,0,2,0
single,33,32,32,0,0,0,0,0,0,0,0,0,0
single,36,32,32,0,0,0,0,0,0,0,0,0,0
single,39,32,6,6,32,26,5,21,0,26,5,21,0
single,42,32,16,0,7,16,8,8,5,7,1,6,0
single,46,32,32,1,1,0,0,0,0,0,0,0,0
single,49,32,0,0,32,32,0,32,2,32,0,32,2
