left,right,metric,delta,ci_low,ci_high,p_two_sided,bootstrap_draws,query,budget_per_head,family
loop_soft_topk,single_soft_mean_topk,loop_recall,0.10526315789473684,-0.015396825396825386,0.19696969696969696,0.1123,20000,30,4,soft
static_soft_topk,single_soft_mean_topk,static_recall,0.0684931506849315,0.031746031746031744,0.13816139417693138,0.0,20000,30,4,soft
double_soft_union,single_soft_mean_matched,trap_precision,-0.007936507936507964,-0.07200000000000001,0.06349206349206349,0.8893,20000,30,4,soft
double_soft_union,single_soft_mean_matched,trap_recall,-0.005181347150259086,-0.05699481865284972,0.03910888377697425,0.8997,20000,30,4,soft
double_soft_union,single_soft_mean_matched,loop_recall,0.0,-0.10000000000000003,0.07273835920177289,1.0,20000,30,4,soft
double_soft_union,single_soft_mean_matched,static_recall,-0.006849315068493178,-0.07031525088028169,0.06451612903225806,0.9285,20000,30,4,soft
double_soft_union,single_soft_mean_matched,macro_subtype_recall,-0.003424657534246589,-0.0670206575388392,0.04226212042788124,0.9609,20000,30,4,soft
double_soft_max_topk,single_soft_mean_topk,trap_precision,-0.078125,-0.21875,0.0625,0.3395,20000,30,4,soft
double_soft_max_topk,single_soft_mean_topk,trap_recall,-0.02590673575129533,-0.07971014492753623,0.019685524223265145,0.3395,20000,30,4,soft
double_soft_max_topk,single_soft_mean_topk,macro_subtype_recall,0.011535688536409502,-0.06075652644778841,0.0686585484706593,0.7784,20000,30,4,soft
loop_soft_topk,single_mobility_topk_soft,loop_recall,0.05263157894736842,-0.17647058823529413,0.23076923076923078,0.6588,20000,30,4,soft
static_soft_topk,single_mobility_topk_soft,static_recall,0.00684931506849315,-0.07207207207207206,0.06451612903225806,0.9082,20000,30,4,soft
double_soft_union,single_mobility_matched_soft,trap_precision,-0.1031746031746032,-0.19685039370078744,-0.015873015873015872,0.024,20000,30,4,soft
double_soft_union,single_mobility_matched_soft,trap_recall,-0.06735751295336789,-0.140625,-0.009754913568553273,0.0261,20000,30,4,soft
double_soft_union,single_mobility_matched_soft,loop_recall,-0.03508771929824561,-0.2777777777777778,0.14894410924102822,0.8562,20000,30,4,soft
double_soft_union,single_mobility_matched_soft,static_recall,-0.10273972602739728,-0.2527504105090312,-0.015036654135338428,0.0236,20000,30,4,soft
double_soft_union,single_mobility_matched_soft,macro_subtype_recall,-0.06891372266282142,-0.16818128236850713,0.023538570291976882,0.1312,20000,30,4,soft
double_soft_max_topk,single_mobility_topk_soft,trap_precision,-0.21875,-0.390625,-0.046875,0.0116,20000,30,4,soft
double_soft_max_topk,single_mobility_topk_soft,trap_recall,-0.07253886010362694,-0.14881268996960487,-0.015384615384615385,0.0156,20000,30,4,soft
double_soft_max_topk,single_mobility_topk_soft,macro_subtype_recall,-0.04560201874549388,-0.1669103626370405,0.051111747305137165,0.3079,20000,30,4,soft
loop_hard_diagnostic_topk,single_hard_diagnostic_mean_topk,loop_recall,0.05263157894736842,-0.027777777777777776,0.2,0.3229,20000,30,4,hard_diagnostic
static_hard_diagnostic_topk,single_hard_diagnostic_mean_topk,static_recall,0.0410958904109589,-0.00602409638554216,0.1346153846153846,0.1292,20000,30,4,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,trap_precision,-0.008474576271186474,-0.10002100840336141,0.0714285714285714,0.9633,20000,30,4,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,trap_recall,-0.00518134715025903,-0.05803643433179722,0.05333495145631055,0.9663,20000,30,4,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,loop_recall,0.03508771929824561,-0.0684931506849315,0.20833333333333331,0.6486,20000,30,4,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,static_recall,-0.02054794520547948,-0.07777944111776447,0.052173913043478265,0.6402,20000,30,4,hard_diagnostic
double_hard_diagnostic_union,single_hard_diagnostic_mean_matched,macro_subtype_recall,0.007269887046383039,-0.06243482050140928,0.10589278698063964,0.7638,20000,30,4,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,trap_precision,-0.171875,-0.3125,-0.03125,0.0114,20000,30,4,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,trap_recall,-0.056994818652849735,-0.0991751309065674,-0.016129032258064516,0.0124,20000,30,4,hard_diagnostic
double_hard_diagnostic_max_topk,single_hard_diagnostic_mean_topk,macro_subtype_recall,-0.028478731074260993,-0.09042211260961261,0.056304876434499274,0.4122,20000,30,4,hard_diagnostic
loop_soft_topk,single_soft_mean_topk,loop_recall,0.10526315789473684,-0.040000000000000036,0.20512820512820512,0.1534,20000,30,8,soft
