task,init_state_id,candidate_pairs,action_route_action_distance_rho,hidden_action_distance_rho
libero_goal/open_the_middle_drawer_of_the_cabinet,0,496,0.27699953386005177,0.15801446017257012
libero_goal/open_the_middle_drawer_of_the_cabinet,3,496,0.22018395809854238,0.13939049743229662
libero_goal/open_the_middle_drawer_of_the_cabinet,7,496,0.2800074149687961,0.24363109251796208
libero_goal/open_the_middle_drawer_of_the_cabinet,10,496,0.27313332585935945,0.16518485300856947
libero_goal/open_the_middle_drawer_of_the_cabinet,13,496,0.2473275626387848,0.2390190606001601
libero_goal/open_the_middle_drawer_of_the_cabinet,16,496,0.2951089725056104,0.1791694448214212
libero_goal/open_the_middle_drawer_of_the_cabinet,20,496,0.25556063654655203,0.22692518748856774
libero_goal/open_the_middle_drawer_of_the_cabinet,23,496,0.24051837909175483,0.2660439666346073
libero_goal/open_the_middle_drawer_of_the_cabinet,26,496,0.3063055753878107,0.20061453766587795
libero_goal/open_the_middle_drawer_of_the_cabinet,29,496,0.2743026094002923,0.30617930456640136
libero_goal/open_the_middle_drawer_of_the_cabinet,33,496,0.23982300449815214,0.29290572368718665
libero_goal/open_the_middle_drawer_of_the_cabinet,36,496,0.24507032419345007,0.28925635926998944
libero_goal/open_the_middle_drawer_of_the_cabinet,39,496,0.20579970536808334,0.2436814434997079
libero_goal/open_the_middle_drawer_of_the_cabinet,42,496,0.22817422619785183,0.2989469564208319
libero_goal/open_the_middle_drawer_of_the_cabinet,46,496,0.19807269816356593,0.21146664935851667
libero_goal/open_the_middle_drawer_of_the_cabinet,49,496,0.2550186751004561,0.29941112953380106
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,496,0.11912845597534374,0.3155379982731187
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,3,496,0.1251947658581007,0.29273490404794356
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,7,496,0.08463341141669174,0.23743634829504887
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,496,0.21591671239558563,0.42040503037777
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,496,0.16993446505032145,0.32942533008412156
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16,496,0.15594574288349844,0.3261367815888488
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,496,0.12067792876516184,0.3815752776679628
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,23,496,0.16486720911982156,0.345769829141024
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,26,496,0.19253468022209502,0.33030902915046484
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,29,496,0.14921415098607282,0.3079532915970899
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,33,496,0.1430420253682407,0.3035959648408535
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,36,496,0.1788038101531968,0.3440391124852733
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,39,496,0.11164130432644744,0.3511655465540063
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,42,496,0.120573588156505,0.31324516011022147
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,46,496,0.190846742232476,0.39553508735698645
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,49,496,0.23975750888517813,0.31666706003371153
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,0,496,0.07921094504465699,0.20596619796983265
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,3,496,0.16429161479138762,0.14163308295520924
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,7,496,0.1706892380677024,0.0699540350608047
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,10,496,0.17440183623736552,0.2042352846305595
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,13,496,0.19246121892646198,-0.003693814893269686
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,496,0.15295339977302722,0.2532990710637235
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,20,496,0.17277123149453907,0.08002491980229372
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,23,496,0.18337532526537523,0.08339833723750126
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,26,496,0.14000178982005423,0.066901310108943
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,29,496,0.1402679026259217,0.18536114044973653
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,33,496,0.22730940874966318,0.09307496985825019
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,36,496,0.12977021464072805,0.1542171897464946
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,39,496,0.2105853104944427,0.07294126439969238
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,42,496,0.12536647057319478,0.13043441489602325
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,46,496,0.2316062553227478,-0.0027464887074155585
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,49,496,0.0941039197059188,0.2831144245728525
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,496,0.11972716061766493,0.3455347923317028
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,3,496,0.18975023159484766,0.38389329132173294
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,7,496,0.20042778666131683,0.3188562459802805
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,10,496,0.15563213100696063,0.3158486598968198
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,13,496,0.14301222781459036,0.4259783530115197
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,16,496,0.17042892742574706,0.28501242056444237
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,20,496,0.2062719425054727,0.3423255072959752
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,23,496,0.11652918488447793,0.38335083816683085
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,26,496,0.15348749387822536,0.319173693185506
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,29,496,0.14950170229588675,0.3801974112514776
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,33,496,0.1659359873807852,0.2950785849013927
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,36,496,0.146305595056163,0.37233056206250204
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,39,496,0.12841634361398102,0.3215377307835281
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,42,496,0.1539173457165279,0.2760800383926236
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,46,496,0.12037493779883601,0.30978343177343626
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,49,496,0.13280868003721252,0.3189371812497664
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,496,0.14544087594973554,0.44298439709616444
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,3,496,0.1253183814519571,0.3911003656346682
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,7,496,0.09714671213989705,0.3244703804449375
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,10,496,0.16982451896127498,0.3412543688327423
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,13,496,0.1981912983276,0.5146336474369186
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,16,496,0.17736359506009663,0.3184113478525109
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,20,496,0.15888901345511977,0.39928967745869154
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,23,496,0.13963477836717272,0.3922462438364301
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,26,496,0.19767480739766063,0.2691304228105682
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,29,496,0.17405488650377335,0.23435205563783484
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,33,496,0.10209585961516902,0.3775914529208486
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,36,496,0.11996436094573304,0.4142067458514528
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,39,496,0.1474763537235141,0.358762152583143
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,42,496,0.1286317120710578,0.31589222529704125
