dataset,key,family,query,layer_group,metric,denoise_step,feature_kind,failure_mean,success_mean,adjusted_difference,residual_sd,effect_sigma,effect_ci95_low,effect_ci95_high,permutation_p_raw,permutation_p_max_family,permutation_p_max_global
right16x32_pooled,q0|action|front_2_5|entropy|d0,q0_level,0,front_2_5,entropy,0,level,0.9985775351524353,0.9981263875961304,1.6699378997520537e-06,0.0001372893054374992,0.012163641548265323,,,0.8915542228885557,1.0,1.0
right16x32_pooled,q0|action|front_2_5|entropy|d1,q0_level,0,front_2_5,entropy,1,level,0.9985467791557312,0.9981027841567993,-1.8762943766706056e-06,0.00012301387560501395,-0.015252705172018249,,,0.862568715642179,1.0,1.0
right16x32_pooled,q0|action|front_2_5|entropy|d2,q0_level,0,front_2_5,entropy,2,level,0.9984948635101318,0.9980265498161316,-2.77033255311268e-06,0.00011489098665448208,-0.024112705737692478,,,0.7936031984007996,1.0,1.0
right16x32_pooled,q0|action|front_2_5|entropy|d3,q0_level,0,front_2_5,entropy,3,level,0.9984281659126282,0.9979603886604309,-3.243358793472834e-06,0.00010826065898677338,-0.029958794116236517,,,0.7436281859070465,1.0,1.0
right16x32_pooled,q0|action|front_2_5|entropy|d4,q0_level,0,front_2_5,entropy,4,level,0.9983384013175964,0.9978562593460083,-3.392299541236545e-06,0.00010553760851636494,-0.032143039708072654,,,0.7151424287856072,1.0,1.0
right16x32_pooled,q0|action|front_2_5|entropy|d5,q0_level,0,front_2_5,entropy,5,level,0.9982490539550781,0.997736930847168,-2.34254915144201e-06,0.0001030588698359898,-0.02273020415583826,,,0.7926036981509246,1.0,1.0
right16x32_pooled,q0|action|front_2_5|entropy|d6,q0_level,0,front_2_5,entropy,6,level,0.9982203245162964,0.997665286064148,-1.371505238420897e-06,9.897649053339373e-05,-0.013856878851025378,,,0.8690654672663668,1.0,1.0
right16x32_pooled,q0|action|front_2_5|entropy|d7,q0_level,0,front_2_5,entropy,7,level,0.9981732964515686,0.9975364804267883,-1.7763286474673878e-06,9.51287949181025e-05,-0.018672880792788872,,,0.8095952023988006,1.0,1.0
right16x32_pooled,q0|action|front_2_5|entropy|d8,q0_level,0,front_2_5,entropy,8,level,0.9980404376983643,0.9972929954528809,-8.788260002589761e-07,9.515813295648001e-05,-0.009235427103859864,,,0.9145427286356822,1.0,1.0
right16x32_pooled,q0|action|front_2_5|entropy|d9,q0_level,0,front_2_5,entropy,9,level,0.9976295232772827,0.9966933727264404,6.446277764545879e-07,8.846718445254169e-05,0.007286631539634892,,,0.9315342328835582,1.0,1.0
right16x32_pooled,q0|action|front_2_5|top1|d0,q0_level,0,front_2_5,top1,0,level,0.03711842745542526,0.03803900256752968,-2.9627045756759543e-05,0.000379863902158161,-0.07799384355406311,,,0.39580209895052476,1.0,1.0
right16x32_pooled,q0|action|front_2_5|top1|d1,q0_level,0,front_2_5,top1,1,level,0.037106163799762726,0.03805025666952133,-2.443321255900586e-05,0.00034112870885394625,-0.07162461535732809,,,0.4237881059470265,1.0,1.0
right16x32_pooled,q0|action|front_2_5|top1|d2,q0_level,0,front_2_5,top1,2,level,0.037259168922901154,0.03824836015701294,-1.1299310382480193e-05,0.00033483313261639056,-0.033746094044478904,,,0.7131434282858571,1.0,1.0
right16x32_pooled,q0|action|front_2_5|top1|d3,q0_level,0,front_2_5,top1,3,level,0.03747905045747757,0.03850528970360756,-5.18707255863608e-06,0.00033726274985628325,-0.015379915394885535,,,0.8680659670164917,1.0,1.0
