dataset,key,family,query,layer_group,metric,denoise_step,feature_kind,failure_mean,success_mean,adjusted_difference,residual_sd,effect_sigma,effect_ci95_low,effect_ci95_high,permutation_p_raw,permutation_p_max_family,permutation_p_max_global
rolling_star,q0|action|front_2_5|entropy|d0,q0_level,0,front_2_5,entropy,0,level,0.9985302090644836,0.9985657334327698,-1.7514780575049657e-05,0.00011840528713671176,-0.14792228454145753,,,0.4272863568215892,1.0,1.0
rolling_star,q0|action|front_2_5|entropy|d1,q0_level,0,front_2_5,entropy,1,level,0.998473584651947,0.9985085129737854,-1.782267463181935e-05,0.00011291237704133186,-0.157845181359483,,,0.3938030984507746,1.0,1.0
rolling_star,q0|action|front_2_5|entropy|d2,q0_level,0,front_2_5,entropy,2,level,0.9984406232833862,0.9984642267227173,-1.6175637579267953e-05,0.00011166865473981949,-0.14485387700743874,,,0.424287856071964,1.0,1.0
rolling_star,q0|action|front_2_5|entropy|d3,q0_level,0,front_2_5,entropy,3,level,0.9983804821968079,0.9983997344970703,-9.909810027752206e-06,0.00010958221367163084,-0.09043265047964352,,,0.6111944027986007,1.0,1.0
rolling_star,q0|action|front_2_5|entropy|d4,q0_level,0,front_2_5,entropy,4,level,0.9983648657798767,0.998361349105835,-3.5413511239798963e-06,0.00011017102139669461,-0.03214412537057722,,,0.8555722138930535,1.0,1.0
rolling_star,q0|action|front_2_5|entropy|d5,q0_level,0,front_2_5,entropy,5,level,0.9983581900596619,0.9983323812484741,2.1204573839839604e-06,0.00010507473230377481,0.020180469057524148,,,0.9010494752623688,1.0,1.0
rolling_star,q0|action|front_2_5|entropy|d6,q0_level,0,front_2_5,entropy,6,level,0.9984610676765442,0.9984127879142761,7.896160117633277e-06,8.894919560414575e-05,0.08877157420033209,,,0.6346826586706646,1.0,1.0
rolling_star,q0|action|front_2_5|entropy|d7,q0_level,0,front_2_5,entropy,7,level,0.9985201954841614,0.9984669089317322,9.875768309186218e-06,6.99116151552373e-05,0.14126076600086093,,,0.44227886056971516,1.0,1.0
rolling_star,q0|action|front_2_5|entropy|d8,q0_level,0,front_2_5,entropy,8,level,0.9985019564628601,0.9984325170516968,2.5012437451923477e-06,5.3791051616311527e-05,0.0464992535010019,,,0.7996001999000499,1.0,1.0
rolling_star,q0|action|front_2_5|entropy|d9,q0_level,0,front_2_5,entropy,9,level,0.9982876777648926,0.9981728196144104,6.33631542230108e-07,5.028633505899691e-05,0.012600471708401876,,,0.9430284857571214,1.0,1.0
rolling_star,q0|action|front_2_5|top1|d0,q0_level,0,front_2_5,top1,0,level,0.037406593561172485,0.037344206124544144,5.776517393735817e-06,0.0003613171185507282,0.015987389185726626,,,0.9390304847576212,1.0,1.0
rolling_star,q0|action|front_2_5|top1|d1,q0_level,0,front_2_5,top1,1,level,0.037428341805934906,0.03736139088869095,7.088729150735649e-06,0.0003445927165470529,0.020571326120201697,,,0.9180409795102449,1.0,1.0
rolling_star,q0|action|front_2_5|top1|d2,q0_level,0,front_2_5,top1,2,level,0.037574756890535355,0.037534911185503006,3.737681041097945e-05,0.00034278182946697564,0.10903964912346795,,,0.55872063968016,1.0,1.0
rolling_star,q0|action|front_2_5|top1|d3,q0_level,0,front_2_5,top1,3,level,0.037777211517095566,0.037726469337940216,5.4613214516082896e-05,0.00035654331640433043,0.15317413622234313,,,0.4052973513243378,1.0,1.0
rolling_star,q0|action|front_2_5|top1|d4,q0_level,0,front_2_5,top1,4,level,0.037930551916360855,0.037911247462034225,6.0413064407441775e-05,0.00037574713676235655,0.1607811703583263,,,0.3828085957021489,1.0,1.0
rolling_star,q0|action|front_2_5|top1|d5,q0_level,0,front_2_5,top1,5,level,0.03792133927345276,0.037938158959150314,5.0551991617097467e-05,0.0003676738739123256,0.13749138898335742,,,0.4572713643178411,1.0,1.0
rolling_star,q0|action|front_2_5|top1|d6,q0_level,0,front_2_5,top1,6,level,0.03773609176278114,0.03777264431118965,5.792502131937922e-05,0.00033458183776040947,0.17312661591887937,,,0.37681159420289856,1.0,1.0
rolling_star,q0|action|front_2_5|top1|d7,q0_level,0,front_2_5,top1,7,level,0.03768867626786232,0.03771614655852318,5.046748051977461e-06,0.00027981797567259563,0.018035825038926267,,,0.9240379810094953,1.0,1.0
rolling_star,q0|action|front_2_5|top1|d8,q0_level,0,front_2_5,top1,8,level,0.037645913660526276,0.03770002722740173,-2.405729200176879e-05,0.00022369880673076846,-0.10754322901115346,,,0.5677161419290355,1.0,1.0
rolling_star,q0|action|front_2_5|top1|d9,q0_level,0,front_2_5,top1,9,level,0.03805968537926674,0.0381418876349926,-3.630421154058663e-05,0.00019656108112791102,-0.18469684503292833,,,0.3488255872063968,1.0,1.0
rolling_star,q0|action|front_2_5|top4|d0,q0_level,0,front_2_5,top4,0,level,0.14344045519828796,0.14323215186595917,1.3638833525833811e-05,0.0008585658883511049,0.01588559912626799,,,0.9330334832583708,1.0,1.0
rolling_star,q0|action|front_2_5|top4|d1,q0_level,0,front_2_5,top4,1,level,0.14350555837154388,0.14330828189849854,2.5547613763505485e-05,0.0008223029500428169,0.031068371774873524,,,0.8690654672663668,1.0,1.0
