signal,suite,denoise_step,task_mean,task_sd,tasks
back_top1,goal,0,0.035066649317741394,0.0002648646477609873,10
back_top1,object,0,0.03758084401488304,0.00026716888532973826,10
back_top1,spatial,0,0.0387909859418869,0.0006117805023677647,10
back_top1,long,0,0.03590548411011696,,1
back_top1,goal,1,0.03513576462864876,0.0002678721211850643,10
back_top1,object,1,0.037729039788246155,0.00026232615346089005,10
back_top1,spatial,1,0.03892325609922409,0.0006269975565373898,10
back_top1,long,1,0.03602931275963783,,1
back_top1,goal,2,0.03530983254313469,0.0002756176982074976,10
back_top1,object,2,0.03801465407013893,0.0002702305209822953,10
back_top1,spatial,2,0.039254192262887955,0.0006859918357804418,10
back_top1,long,2,0.03636281564831734,,1
back_top1,goal,3,0.03551847115159035,0.00030422970303334296,10
back_top1,object,3,0.038351383060216904,0.00027058497653342783,10
back_top1,spatial,3,0.03963296860456467,0.0007109857979230583,10
back_top1,long,3,0.03660707548260689,,1
back_top1,goal,4,0.03575897589325905,0.000331797928083688,10
back_top1,object,4,0.03876901790499687,0.0002673779090400785,10
back_top1,spatial,4,0.040088534355163574,0.0007107892306521535,10
back_top1,long,4,0.036819059401750565,,1
back_top1,goal,5,0.0360906682908535,0.0003572354034986347,10
back_top1,object,5,0.03922176733613014,0.0002764236705843359,10
back_top1,spatial,5,0.0406094565987587,0.0007267565233632922,10
back_top1,long,5,0.037116434425115585,,1
back_top1,goal,6,0.036437395960092545,0.00039822651888243854,10
back_top1,object,6,0.03976330906152725,0.00030755437910556793,10
back_top1,spatial,6,0.041225314140319824,0.0007565646665170789,10
back_top1,long,6,0.03749806061387062,,1
back_top1,goal,7,0.03689071908593178,0.0004677576362155378,10
back_top1,object,7,0.04048670083284378,0.00032661663135513663,10
back_top1,spatial,7,0.04213342443108559,0.0008152670343406498,10
back_top1,long,7,0.037947867065668106,,1
back_top1,goal,8,0.03757517784833908,0.0005507602472789586,10
back_top1,object,8,0.04144240543246269,0.0003553815186023712,10
back_top1,spatial,8,0.04328020662069321,0.0008946981397457421,10
back_top1,long,8,0.03878416493535042,,1
back_top1,goal,9,0.038931313902139664,0.00062001240439713,10
back_top1,object,9,0.04277641326189041,0.0003650940489023924,10
back_top1,spatial,9,0.04468018189072609,0.0011120529379695654,10
back_top1,long,9,0.040097128599882126,,1
front_token_dispersion,goal,0,0.022492239251732826,0.00011484988499432802,10
front_token_dispersion,object,0,0.03373201936483383,0.00045168789802119136,10
front_token_dispersion,spatial,0,0.03653434291481972,0.0004129910084884614,10
front_token_dispersion,long,0,0.026239855214953423,,1
front_token_dispersion,goal,1,0.022941909730434418,0.00017413918976671994,10
front_token_dispersion,object,1,0.034331731498241425,0.00044232618529349566,10
front_token_dispersion,spatial,1,0.037228889763355255,0.00044734112452715635,10
front_token_dispersion,long,1,0.026398155838251114,,1
front_token_dispersion,goal,2,0.02359463833272457,0.00025049332180060446,10
front_token_dispersion,object,2,0.03516286611557007,0.0004341374442446977,10
front_token_dispersion,spatial,2,0.038203489035367966,0.00046174501767382026,10
front_token_dispersion,long,2,0.02697775699198246,,1
front_token_dispersion,goal,3,0.02433871477842331,0.00032133463537320495,10
front_token_dispersion,object,3,0.035904645919799805,0.0004397577722556889,10
front_token_dispersion,spatial,3,0.039045244455337524,0.0005118217668496072,10
front_token_dispersion,long,3,0.027573976665735245,,1
front_token_dispersion,goal,4,0.02482641115784645,0.00042187891085632145,10
front_token_dispersion,object,4,0.03669046610593796,0.00046757288509979844,10
front_token_dispersion,spatial,4,0.0395839661359787,0.000550091324839741,10
front_token_dispersion,long,4,0.027708260342478752,,1
front_token_dispersion,goal,5,0.02537095919251442,0.0005496564554050565,10
front_token_dispersion,object,5,0.03743533045053482,0.0004997687065042555,10
front_token_dispersion,spatial,5,0.04015567898750305,0.000659763696603477,10
front_token_dispersion,long,5,0.027521301060914993,,1
front_token_dispersion,goal,6,0.02568700909614563,0.0007009340915828943,10
front_token_dispersion,object,6,0.0378606840968132,0.0005623245961032808,10
front_token_dispersion,spatial,6,0.04049467667937279,0.0008861382957547903,10
front_token_dispersion,long,6,0.02674911357462406,,1
front_token_dispersion,goal,7,0.025852706283330917,0.0007551675080321729,10
front_token_dispersion,object,7,0.038368500769138336,0.0006954131531529129,10
front_token_dispersion,spatial,7,0.041018661111593246,0.001271551358513534,10
front_token_dispersion,long,7,0.025815870612859726,,1
front_token_dispersion,goal,8,0.026139918714761734,0.0006983827915973961,10
front_token_dispersion,object,8,0.038853053003549576,0.0010879741748794913,10
front_token_dispersion,spatial,8,0.04101349785923958,0.0017655283445492387,10
front_token_dispersion,long,8,0.025088554248213768,,1
front_token_dispersion,goal,9,0.02773200534284115,0.0008620343869552016,10
front_token_dispersion,object,9,0.040609125047922134,0.0014574227388948202,10
front_token_dispersion,spatial,9,0.041589345782995224,0.002581316977739334,10
front_token_dispersion,long,9,0.02461705543100834,,1
