rule_id,family,signal,aggregation,save_pct,coverage_pct,mean_stop,median_stop,q25_stop,q75_stop,modal_stop,modal_fraction,stop_entropy_bits,scene_save_sd_pp,scene_save_min_pct,scene_save_max_pct,seed_save_sd_pp,seed_save_min_pct,seed_save_max_pct,stop_histogram,direction,threshold,threshold_2,consecutive,calibration
expert_mass__absolute_layer_mean__le_0.12877__k1,level,expert_mass,absolute_layer_mean,5.87890625,19.3359375,9.412109375,10.0,10.0,10.0,10,0.806640625,0.9526960853319131,4.817492780932415,0.0,15.0,7.268328420101897,0.0,27.5,"{""10"": 413, ""5"": 1, ""6"": 16, ""7"": 68, ""8"": 14}",le,0.12877032104879618,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.129876__k1,level,expert_mass,absolute_layer_mean,10.15625,31.0546875,8.984375,10.0,7.0,10.0,10,0.689453125,1.4029320190169436,6.955319176267182,0.0,21.875,10.364452469860625,0.0,33.125,"{""10"": 353, ""5"": 5, ""6"": 56, ""7"": 77, ""8"": 19, ""9"": 2}",le,0.12987570390105246,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.130908__k1,level,expert_mass,absolute_layer_mean,14.1796875,41.40625,8.58203125,10.0,7.0,10.0,10,0.5859375,1.7110599004894538,8.56377941513522,0.0,28.75,12.192944997614143,0.0,36.25,"{""10"": 300, ""5"": 14, ""6"": 93, ""7"": 79, ""8"": 21, ""9"": 5}",le,0.13090843483805656,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.131834__k1,level,expert_mass,absolute_layer_mean,18.0859375,50.5859375,8.19140625,9.0,6.0,10.0,10,0.494140625,1.8722929463829114,9.484950945239188,0.9375,32.1875,12.912091501131556,0.0,43.75,"{""10"": 253, ""4"": 1, ""5"": 20, ""6"": 138, ""7"": 72, ""8"": 24, ""9"": 4}",le,0.1318341251462698,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.132775__k1,level,expert_mass,absolute_layer_mean,21.7578125,58.59375,7.82421875,7.0,6.0,10.0,10,0.4140625,2.055267547440788,10.169987704139261,1.5625,35.9375,13.569876216360404,1.25,48.125,"{""10"": 212, ""4"": 2, ""5"": 45, ""6"": 153, ""7"": 69, ""8"": 27, ""9"": 4}",le,0.13277527317404747,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.133549__k1,level,expert_mass,absolute_layer_mean,25.3515625,65.625,7.46484375,7.0,6.0,10.0,10,0.34375,2.1677660631516162,10.04498852331817,5.625,40.625,14.138628571084741,2.5,50.0,"{""10"": 176, ""4"": 5, ""5"": 73, ""6"": 159, ""7"": 72, ""8"": 24, ""9"": 3}",le,0.13354927096515895,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.134367__k1,level,expert_mass,absolute_layer_mean,28.80859375,72.0703125,7.119140625,6.0,6.0,10.0,6,0.283203125,2.2636225553157283,9.764824185915277,7.8125,42.5,14.273041417431358,3.125,51.875,"{""10"": 143, ""4"": 9, ""5"": 112, ""6"": 145, ""7"": 78, ""8"": 22, ""9"": 3}",le,0.13436732366681098,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.135262__k1,level,expert_mass,absolute_layer_mean,32.12890625,78.3203125,6.787109375,6.0,5.0,8.0,6,0.318359375,2.259033290986995,9.162446408811128,10.3125,44.0625,13.925425135699124,6.25,52.5,"{""10"": 111, ""4"": 12, ""5"": 138, ""6"": 163, ""7"": 57, ""8"": 29, ""9"": 2}",le,0.13526225090026855,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.136063__k1,level,expert_mass,absolute_layer_mean,35.6640625,84.5703125,6.43359375,6.0,5.0,7.0,5,0.31640625,2.2999283223083395,8.63122157286231,13.75,47.5,13.007225962752155,13.125,55.0,"{""10"": 79, ""4"": 26, ""5"": 162, ""6"": 155, ""7"": 62, ""8"": 26, ""9"": 2}",le,0.13606269313022495,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.136844__k1,level,expert_mass,absolute_layer_mean,38.80859375,88.28125,6.119140625,6.0,5.0,7.0,5,0.3515625,2.272656902327273,8.52759962969275,16.25,49.375,12.321339798443631,15.625,56.875,"{""10"": 60, ""4"": 49, ""5"": 180, ""6"": 148, ""7"": 51, ""8"": 24}",le,0.13684362918138504,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.137717__k1,level,expert_mass,absolute_layer_mean,41.6796875,91.015625,5.83203125,5.0,5.0,6.0,5,0.337890625,2.2626417289606504,8.14291519488529,20.3125,51.5625,11.725453811680115,17.5,60.0,"{""10"": 46, ""3"": 1, ""4"": 85, ""5"": 173, ""6"": 150, ""7"": 38, ""8"": 19}",le,0.13771736389026046,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.138583__k1,level,expert_mass,absolute_layer_mean,44.74609375,93.5546875,5.525390625,5.0,5.0,6.0,5,0.365234375,2.2220092987454936,7.525362998343398,24.375,53.75,10.959642068628927,23.75,60.625,"{""10"": 33, ""3"": 5, ""4"": 115, ""5"": 187, ""6"": 127, ""7"": 34, ""8"": 10, ""9"": 1}",le,0.13858302012085916,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.139568__k1,level,expert_mass,absolute_layer_mean,47.8515625,95.703125,5.21484375,5.0,4.0,6.0,5,0.3671875,2.0755407965893005,6.629010983630495,28.75,55.3125,9.870916753705998,28.125,62.5,"{""10"": 22, ""3"": 7, ""4"": 157, ""5"": 188, ""6"": 114, ""7"": 17, ""8"": 5, ""9"": 2}",le,0.1395678397268057,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.140614__k1,level,expert_mass,absolute_layer_mean,50.9375,97.8515625,4.90625,5.0,4.0,5.0,4,0.37890625,2.0589460119982093,5.67791947206457,33.125,57.5,8.9581819270151,32.5,66.25,"{""10"": 11, ""3"": 24, ""4"": 194, ""5"": 173, ""6"": 89, ""7"": 14, ""8"": 6, ""9"": 1}",le,0.14061414804309608,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.141729__k1,level,expert_mass,absolute_layer_mean,53.8671875,99.0234375,4.61328125,4.0,4.0,5.0,4,0.416015625,2.0098731836091885,5.078575701153203,37.5,60.0,8.410601655936617,37.5,68.125,"{""10"": 5, ""3"": 55, ""4"": 213, ""5"": 162, ""6"": 62, ""7"": 7, ""8"": 8}",le,0.14172869035974145,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.142978__k1,level,expert_mass,absolute_layer_mean,56.81640625,99.4140625,4.318359375,4.0,4.0,5.0,4,0.42578125,1.9305585300391475,4.6327779167132475,41.25,62.8125,7.769191483269732,41.875,69.375,"{""10"": 3, ""3"": 101, ""4"": 218, ""5"": 145, ""6"": 36, ""7"": 7, ""8"": 2}",le,0.14297834038734436,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.144264__k1,level,expert_mass,absolute_layer_mean,59.98046875,99.8046875,4.001953125,4.0,3.0,5.0,4,0.390625,1.8357523718275133,4.604033915589506,44.0625,64.6875,7.364472715274559,45.0,69.375,"{""10"": 1, ""3"": 177, ""4"": 200, ""5"": 107, ""6"": 19, ""7"": 6, ""8"": 1, ""9"": 1}",le,0.14426448438316583,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.145928__k1,level,expert_mass,absolute_layer_mean,63.1640625,100.0,3.68359375,4.0,3.0,4.0,3,0.482421875,1.5380232123388122,3.5611205525569827,50.9375,66.875,5.994662135691531,52.5,70.0,"{""3"": 247, ""4"": 197, ""5"": 56, ""6"": 9, ""7"": 1, ""8"": 2}",le,0.14592785071581602,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.148235__k1,level,expert_mass,absolute_layer_mean,66.50390625,100.0,3.349609375,3.0,3.0,4.0,3,0.703125,1.0789327060947822,3.160383180974411,55.3125,70.0,3.8712790066670393,58.75,70.0,"{""3"": 360, ""4"": 134, ""5"": 11, ""6"": 5, ""7"": 2}",le,0.14823529301211238,,1,pooled_q05_to_q95
expert_mass__absolute_layer_mean__le_0.12877__k2,level,expert_mass,absolute_layer_mean,2.7734375,12.3046875,9.72265625,10.0,10.0,10.0,10,0.876953125,0.662824466969677,2.8488857299554415,0.0,9.375,4.169087024888513,0.0,18.125,"{""10"": 449, ""6"": 1, ""7"": 15, ""8"": 46, ""9"": 1}",le,0.12877032104879618,,2,pooled_q05_to_q95
