left,right,exact_agreement,within_one_round,mean_absolute_round_difference,stop_correlation
routed_level_085_k2,routed_layer_median_085_k2,0.6953125,0.9296875,0.384765625,0.8143910216618254
routed_level_085_k2,routed_all4_090_k2,0.30859375,0.58203125,1.298828125,0.4051359881238958
routed_level_085_k2,routed_flat_0015_level_0925,0.23046875,0.53125,1.548828125,-0.2770823712709372
routed_level_085_k2,routed_curvature_001_level_085,0.60546875,0.939453125,0.466796875,0.8016265866343828
routed_level_085_k2,routed_rebound_level_090,0.064453125,0.41796875,1.67578125,-0.11653412947762488
routed_level_085_k2,mass_rebound_level_090,0.248046875,0.62890625,1.2109375,-0.008468448821538119
routed_layer_median_085_k2,routed_all4_090_k2,0.3125,0.57421875,1.34375,0.3092494542112584
routed_layer_median_085_k2,routed_flat_0015_level_0925,0.201171875,0.51953125,1.625,-0.25081492675436523
routed_layer_median_085_k2,routed_curvature_001_level_085,0.55859375,0.861328125,0.625,0.6763761996113296
routed_layer_median_085_k2,routed_rebound_level_090,0.080078125,0.423828125,1.677734375,-0.12066009154403741
routed_layer_median_085_k2,mass_rebound_level_090,0.224609375,0.61328125,1.271484375,0.0058639315757576796
routed_all4_090_k2,routed_flat_0015_level_0925,0.2265625,0.48046875,1.7109375,-0.1416791581482267
routed_all4_090_k2,routed_curvature_001_level_085,0.353515625,0.599609375,1.3125,0.32384308433967973
routed_all4_090_k2,routed_rebound_level_090,0.224609375,0.66015625,1.173828125,0.05334329681188189
routed_all4_090_k2,mass_rebound_level_090,0.212890625,0.619140625,1.267578125,0.08804239711847242
routed_flat_0015_level_0925,routed_curvature_001_level_085,0.314453125,0.544921875,1.48046875,-0.14204581363176869
routed_flat_0015_level_0925,routed_rebound_level_090,0.244140625,0.66796875,1.298828125,0.24039632178791087
routed_flat_0015_level_0925,mass_rebound_level_090,0.591796875,0.8203125,0.728515625,0.39182771115671744
routed_curvature_001_level_085,routed_rebound_level_090,0.154296875,0.478515625,1.583984375,0.0025707318479690866
routed_curvature_001_level_085,mass_rebound_level_090,0.3359375,0.609375,1.177734375,0.08657622965445552
routed_rebound_level_090,mass_rebound_level_090,0.392578125,0.84375,0.796875,0.36930769357936094
