task,primary_physical_pattern,n,route_speed_norm_early,route_speed_norm_middle,route_speed_norm_late,hard_expert_overlap_early,hard_expert_overlap_middle,hard_expert_overlap_late,hard_expert_entropy_early,hard_expert_entropy_middle,hard_expert_entropy_late,action_speed_norm_early,action_speed_norm_middle,action_speed_norm_late
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,bowl_transport_loss_proxy,22,1.4655231347970736,0.9866633387824497,0.7864554943363986,0.6204337279001872,0.684272512793541,0.751208208501339,0.885940308976294,0.8584849383986275,0.8487668752634636,1.3670640131529401,1.1728085494996667,0.2568074708413213
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,drawer_subgoal_regression,17,1.6393237046158882,1.0011962327012796,0.6949908001293131,0.6316945056120554,0.7142009486754736,0.7847155531247457,0.8738326357650944,0.8506676963138596,0.8465066104727642,1.230834978963867,1.1421564370189394,0.13021305142227835
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,ongoing_bowl_placement_failure,3,1.4971894481672665,0.9232410010012351,0.7682505356549,0.6304968396822611,0.6900528073310852,0.7499911586443583,0.8937764834845445,0.8576429915985736,0.8496986772658383,1.364765564309763,1.1560386350113419,0.2445705909443148
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,stalled_at_unfinished_pot1,109,1.7575361832488612,0.9322984713766244,0.9385475195484604,0.6852912902832031,0.7958818773428599,0.7984359115362167,0.8742695920861415,0.8687112217326011,0.8645351160733302,2.1162576935370736,1.6776934231952145,0.20753564305873115
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,active_at_unfinished_pot1,45,1.0140860340384446,0.9933593469282268,1.0120532169605247,0.582259843746821,0.5870252648989359,0.5645035107930502,0.870423630056222,0.8724115775175453,0.8649215037622687,1.153467782897546,1.1466809326394216,0.960395912413507
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,return_to_completed_pot2_proxy,39,0.8120838676789183,1.011185890729087,1.0752740881319247,0.6342265208562216,0.6146476964155833,0.6013230284055074,0.8783474211259544,0.8720588067040954,0.860653903332739,1.453813620490499,1.196255766154106,0.765715742848406
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,other_long_incomplete,14,1.0673058301315468,1.0054498500635245,0.8466627056260038,0.5787502874930699,0.5869987954696019,0.6385162969430287,0.874596264532323,0.8735610178318318,0.8441800406374023,1.0531477344395863,1.1167209343269775,0.513661409161192
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,placed_object_goal_loss,9,1.0198251075442843,1.0598201283443736,0.8962895591920269,0.5494824647903442,0.5658304889996847,0.6413002014160156,0.8742214713404302,0.8719235824784771,0.8438958221085864,1.0140033238141501,1.2517872252433668,0.5598842788390068
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,ramekin_displacement_interference_proxy,10,1.534305929127044,1.0197811332271924,0.7852986266778637,0.6523256599903107,0.7522471075256665,0.7944581309954325,0.8529957079371114,0.8232773724411271,0.8116870259101001,1.3828125717080488,1.2765340273591645,0.22139553227931452
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_transport_loss_proxy,1,0.9936550952623794,1.0520448879075714,0.8810338015317324,0.6831871171792349,0.676249623298645,0.7209371427694956,0.8336940348368507,0.8527383215682077,0.8106063786561588,2.0528473640701943,1.3392728324020489,0.7827570941724789
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,transported_bowl_not_placed,1,1.2265602433494294,1.0097670994978858,0.7576460764954628,0.6590191821257273,0.7178863634665807,0.7738148967425028,0.8641856989215724,0.8419608338382187,0.8260617944896159,1.5168609754754057,1.2390205329331465,0.6534554541786074
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_never_transported,27,1.6895854521151012,1.1611883598596122,0.7115063886053457,0.6554954449335734,0.6948899229367574,0.7907264629999796,0.8483127321428403,0.8131008379552931,0.7941339720805994,1.4003403209649041,1.1248514994073702,0.10099671251497362
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_transport_loss_proxy,6,1.4888594364531913,1.0817817737015525,0.7813141849978777,0.6631731291611989,0.6911366110046705,0.7751002808411915,0.8480545603864975,0.8352576839002301,0.8062244785568653,1.719497943242311,1.1317482965561938,0.15147420389743838
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,empty_goal_side_close_proxy,2,1.0797930244127192,0.876338488982249,0.9665691029239134,0.6371410091718037,0.7119934856891632,0.6752349237600963,0.8427642364598369,0.8429192702204572,0.8472581173294844,1.0770559863888056,1.2744099393410018,0.5622275087130686
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,transported_bowl_not_placed,2,1.6697860510113949,1.0237377770504512,0.8212908491009048,0.6281899611155193,0.7192255978782971,0.7770349582036336,0.8601669545214634,0.8199167167881671,0.822612831478193,1.6312754085840253,1.140833910193363,0.10766915596549526
