target,task,split,fold,window,c_value,model
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0,0.03,task_router
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0,0.03,task_init_router
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0,0.1,task_router
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0,0.1,task_init_router
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0,0.1,task_hidden
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0,0.1,task_init_hidden
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0,0.1,task_router_hidden
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0,0.1,task_init_router_hidden
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0,0.3,task_router
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0,0.3,task_init_router
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0_to_q2,0.03,task_router
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0_to_q2,0.03,task_init_router
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0_to_q2,0.1,task_router
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0_to_q2,0.1,task_init_router
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0_to_q2,0.1,task_hidden
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0_to_q2,0.1,task_init_hidden
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0_to_q2,0.1,task_router_hidden
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0_to_q2,0.1,task_init_router_hidden
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0_to_q2,0.3,task_router
stagnation,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,heldout_init,5,q0_to_q2,0.3,task_init_router
