comparison,target,split,window,baseline,candidate,metric,episodes,clusters,baseline_loss,improvement,relative_improvement,ci_low,ci_high,bootstrap_opposite_tail_2x
initial_prior,active_return,heldout_seed,q0,task_only,task_init,brier,512,16,0.07049060551534961,0.007965712702120833,0.11300389099915262,0.0023772328342001807,0.01670324514411298,0.0003999200159968006
initial_prior,active_return,heldout_seed,q0,task_only,task_init,log_loss,512,16,0.27017146220201854,0.050466999295242516,0.18679618818328866,0.020057369869264666,0.08849427423093151,0.0007998400319936012
initial_prior,active_return,heldout_seed,q0_to_q2,task_only,task_init,brier,512,16,0.07049060551534961,0.007965712702120833,0.11300389099915262,0.0023781981459182634,0.016625167671282408,0.0003999200159968006
initial_prior,active_return,heldout_seed,q0_to_q2,task_only,task_init,log_loss,512,16,0.27017146220201854,0.050466999295242516,0.18679618818328866,0.020721713826518946,0.08829256313484879,0.0003999200159968006
initial_prior,any_failure,heldout_seed,q0,task_only,task_init,brier,2048,64,0.10251479872371663,0.03929664167504586,0.383326526162848,0.02296265814586837,0.0614061708866136,0.0003999200159968006
initial_prior,any_failure,heldout_seed,q0,task_only,task_init,log_loss,2048,64,0.3348291109932477,0.10500039098624718,0.3135939723842132,0.058113351678231,0.1719010515642945,0.0003999200159968006
initial_prior,any_failure,heldout_seed,q0_to_q2,task_only,task_init,brier,2048,64,0.10251479872371663,0.03929664167504586,0.383326526162848,0.02307531650129513,0.06138946001833679,0.0003999200159968006
initial_prior,any_failure,heldout_seed,q0_to_q2,task_only,task_init,log_loss,2048,64,0.3348291109932477,0.10500039098624718,0.3135939723842132,0.058127259547897325,0.16710682696061127,0.0003999200159968006
initial_prior,goal_regression,heldout_seed,q0,task_only,task_init,brier,1024,32,0.044976506037916475,0.013893610433563238,0.30890817578961177,0.001002725309578012,0.03859205289303679,0.0003999200159968006
initial_prior,goal_regression,heldout_seed,q0,task_only,task_init,log_loss,1024,32,0.18583437414295084,0.06165972254854006,0.3317993392390854,0.013369058595552973,0.14428930210304483,0.0003999200159968006
initial_prior,goal_regression,heldout_seed,q0_to_q2,task_only,task_init,brier,1024,32,0.044976506037916475,0.013893610433563238,0.30890817578961177,0.0009837171269568234,0.0385664949562895,0.0003999200159968006
initial_prior,goal_regression,heldout_seed,q0_to_q2,task_only,task_init,log_loss,1024,32,0.18583437414295084,0.06165972254854006,0.3317993392390854,0.013633768360927834,0.14264588427628455,0.0007998400319936012
initial_prior,regrasp_or_drop,heldout_seed,q0,task_only,task_init,brier,2048,64,0.031080284354988313,0.00785483070739362,0.2527271185063317,0.0001925084234290406,0.02261992147985673,0.009998000399920015
initial_prior,regrasp_or_drop,heldout_seed,q0,task_only,task_init,log_loss,2048,64,0.13801856408973204,0.02504172250587025,0.18143734990308627,-0.003911545761684227,0.07362772382469054,0.17876424715056988
initial_prior,regrasp_or_drop,heldout_seed,q0_to_q2,task_only,task_init,brier,2048,64,0.031080284354988313,0.00785483070739362,0.2527271185063317,0.00019017586648021367,0.022580479047798564,0.013197360527894421
initial_prior,regrasp_or_drop,heldout_seed,q0_to_q2,task_only,task_init,log_loss,2048,64,0.13801856408973204,0.02504172250587025,0.18143734990308627,-0.0039589998276198385,0.07298129771250203,0.17956408718256348
initial_prior,residual_none,heldout_seed,q0,task_only,task_init,brier,1536,48,0.05089560154298176,0.005607320590672696,0.11017298981990158,0.002150340067646847,0.010366186529040533,0.0003999200159968006
initial_prior,residual_none,heldout_seed,q0,task_only,task_init,log_loss,1536,48,0.19820111837840557,0.027919845647580637,0.14086623665904885,0.010074282242985294,0.04824893881293973,0.0023995200959808036
