dataset,key,family,query,layer_group,metric,denoise_step,feature_kind,task_macro_effect_sigma,task_bootstrap_ci95_low,task_bootstrap_ci95_high,permutation_p_raw,permutation_p_max_118,tasks_positive,tasks_negative,mixed_tasks
goal,q0|action|back_12_15|top1|d0,level_back_12_15,0,back_12_15,top1,0,level,0.5725448863247509,0.28699031654551743,0.8580994561039843,0.1511848815118488,0.9978002199780022,4,0,4
goal,q0|action|back_12_15|top1|d1,level_back_12_15,0,back_12_15,top1,1,level,0.5269848691382067,0.1806410367561021,0.8733287015203115,0.18868113188681132,0.9992000799920008,4,0,4
goal,q0|action|back_12_15|top1|d2,level_back_12_15,0,back_12_15,top1,2,level,0.45122078851504316,0.028812531188685,0.9399908055233813,0.2582741725827417,0.9999000099990001,3,1,4
goal,q0|action|back_12_15|top1|d3,level_back_12_15,0,back_12_15,top1,3,level,0.5199095672295192,0.10288925703613955,0.978445156797471,0.195980401959804,0.9995000499950005,3,1,4
goal,q0|action|back_12_15|top1|d4,level_back_12_15,0,back_12_15,top1,4,level,0.48100263997710446,0.03499596365978745,1.0746354863679208,0.23107689231076892,0.9998000199980002,3,1,4
goal,q0|action|back_12_15|top1|d5,level_back_12_15,0,back_12_15,top1,5,level,0.47516938478504395,0.10274061453432633,1.0087472063676235,0.23897610238976102,0.9998000199980002,4,0,4
goal,q0|action|back_12_15|top1|d6,level_back_12_15,0,back_12_15,top1,6,level,0.5488260036367082,0.20350713481294302,0.8941448724604735,0.17398260173982602,0.9988001199880012,4,0,4
goal,q0|action|back_12_15|top1|d7,level_back_12_15,0,back_12_15,top1,7,level,0.5388539535752637,0.1617863844499416,0.8334507435939131,0.1840815918408159,0.9989001099890011,3,1,4
goal,q0|action|back_12_15|top1|d8,level_back_12_15,0,back_12_15,top1,8,level,0.4330394423981623,0.2345865804229183,0.6789832881081272,0.28747125287471254,0.9999000099990001,4,0,4
goal,q0|action|back_12_15|top1|d9,level_back_12_15,0,back_12_15,top1,9,level,0.5551553585604798,0.340778563610657,0.7635094858054841,0.17318268173182683,0.9988001199880012,4,0,4
object,q0|action|back_12_15|top1|d0,level_back_12_15,0,back_12_15,top1,0,level,-0.019194064573760727,-0.6634349515630876,0.502769946806722,0.9518048195180482,1.0,3,3,6
object,q0|action|back_12_15|top1|d1,level_back_12_15,0,back_12_15,top1,1,level,0.06724988284004846,-0.4854917804347592,0.5087365249227015,0.8361163883611639,1.0,5,1,6
object,q0|action|back_12_15|top1|d2,level_back_12_15,0,back_12_15,top1,2,level,-0.0469142329454404,-0.5522848158748604,0.2928814676876764,0.8883111688831117,1.0,4,2,6
object,q0|action|back_12_15|top1|d3,level_back_12_15,0,back_12_15,top1,3,level,-0.0537076441534137,-0.47418552050735974,0.23229741340716017,0.8747125287471252,1.0,4,2,6
object,q0|action|back_12_15|top1|d4,level_back_12_15,0,back_12_15,top1,4,level,-0.10487412770977561,-0.41097947458284184,0.1630881407842115,0.7491250874912508,1.0,2,4,6
object,q0|action|back_12_15|top1|d5,level_back_12_15,0,back_12_15,top1,5,level,-0.027318889487425956,-0.2845661801069219,0.2384219639035637,0.9324067593240676,1.0,3,3,6
object,q0|action|back_12_15|top1|d6,level_back_12_15,0,back_12_15,top1,6,level,0.015434210301819832,-0.24933959275482057,0.2486700024449537,0.9627037296270373,1.0,3,3,6
object,q0|action|back_12_15|top1|d7,level_back_12_15,0,back_12_15,top1,7,level,0.04275141215718966,-0.19729960242722178,0.26858461161706115,0.8961103889611038,1.0,4,2,6
object,q0|action|back_12_15|top1|d8,level_back_12_15,0,back_12_15,top1,8,level,0.08454680274321653,-0.2818524664125303,0.434224551196547,0.7969203079692031,1.0,4,2,6
object,q0|action|back_12_15|top1|d9,level_back_12_15,0,back_12_15,top1,9,level,-0.08187386928222429,-0.5576033459417439,0.4031345164311657,0.8037196280371963,1.0,3,3,6
spatial,q0|action|back_12_15|top1|d0,level_back_12_15,0,back_12_15,top1,0,level,0.5490795749251571,0.1259741787468463,0.9463429913959417,0.0466953304669533,0.7985201479852014,6,1,7
spatial,q0|action|back_12_15|top1|d1,level_back_12_15,0,back_12_15,top1,1,level,0.6035022057634478,0.16134068565966778,1.0298614019740335,0.028097190280971903,0.630936906309369,6,1,7
spatial,q0|action|back_12_15|top1|d2,level_back_12_15,0,back_12_15,top1,2,level,0.7068587141092006,0.17675390306995759,1.201579596415686,0.009499050094990502,0.32696730326967305,6,1,7
spatial,q0|action|back_12_15|top1|d3,level_back_12_15,0,back_12_15,top1,3,level,0.7246886283230082,0.12862402958674926,1.3158855837817023,0.007899210078992101,0.2812718728127187,6,1,7
spatial,q0|action|back_12_15|top1|d4,level_back_12_15,0,back_12_15,top1,4,level,0.637067364097696,0.005734686226739014,1.2091386914414226,0.023697630236976304,0.5245475452454754,6,1,7
spatial,q0|action|back_12_15|top1|d5,level_back_12_15,0,back_12_15,top1,5,level,0.6814876272934889,-0.005657809773543211,1.2897115506926988,0.016298370162983702,0.39506049395060494,6,1,7
spatial,q0|action|back_12_15|top1|d6,level_back_12_15,0,back_12_15,top1,6,level,0.6692328787810686,-0.03558794758111453,1.28257893624366,0.018198180181981802,0.43195680431956807,6,1,7
spatial,q0|action|back_12_15|top1|d7,level_back_12_15,0,back_12_15,top1,7,level,0.6243073534629426,-0.03625495005445659,1.230093153213482,0.025597440255974404,0.5657434256574343,6,1,7
spatial,q0|action|back_12_15|top1|d8,level_back_12_15,0,back_12_15,top1,8,level,0.4566173843143971,-0.17666659535533194,1.044239711750824,0.10168983101689831,0.9668033196680332,5,2,7
spatial,q0|action|back_12_15|top1|d9,level_back_12_15,0,back_12_15,top1,9,level,0.2800046553620134,-0.30844334657022415,0.8325844000803305,0.3100689931006899,1.0,5,2,7
