task,scene,successes,mixed,balanced16,action_auk8_route,action_auk8_hidden,action_auk8_noise7,action_auk8_noise24,action_auk8_top4_weighted,action_auk8_top4_jaccard,success_auk8_route,mst_action_gain,mst_success_gain,balanced_cut_action_between_within_ratio,balanced_cut_success_gap,balanced_cut_min_size,union_components_k4,union_largest_k4,mutual_components_k4,mutual_largest_k4,union_lambda2_k4,route_neighbor_radius_k4
goal-middle,0,32,False,False,0.30138888888888893,0.4899014136904762,0.45679098462301587,0.2585683283730158,0.17025793650793644,0.17018136160714284,nan,0.3129032258064518,0.0,1.0786436170160631,0.0,4,1,32,9,24,0.3580150670154396,0.026583144821868507
goal-middle,3,32,False,False,0.3455326140873015,0.4835481770833333,0.4520988343253969,0.23096075148809525,0.243712177579365,0.19568173363095231,nan,0.3516129032258064,0.0,1.1112694906684895,0.0,4,1,32,8,24,0.34593101211671734,0.026470976883226652
goal-middle,7,32,False,False,0.3321583581349207,0.5092516121031745,0.47636873759920634,0.27673642113095237,0.23382595486111102,0.23501612103174596,nan,0.34731182795698934,0.0,1.042995467301206,0.0,4,1,32,8,24,0.33835511569567056,0.026370621318525172
goal-middle,10,32,False,False,0.3315814112103175,0.4895963541666667,0.46167131696428576,0.2862527901785714,0.17525514632936504,0.15363436259920632,nan,0.3655913978494624,0.0,1.0832326032287032,0.0,4,1,32,8,24,0.33892165710347166,0.026717077170009873
goal-middle,13,32,False,False,0.29759052579365075,0.4665730406746032,0.4293793402777778,0.24358785962301582,0.13318731398809525,0.13343687996031744,nan,0.3333333333333335,0.0,1.0073322935561166,0.0,16,1,32,9,24,0.35815267605680134,0.026466582055516535
goal-middle,16,32,False,False,0.2937847222222222,0.514383060515873,0.48140718005952376,0.2561365327380952,0.2149786086309523,0.21470083085317457,nan,0.29892473118279583,0.0,0.9703041450461014,0.0,5,1,32,9,24,0.36612789878379537,0.026580358115420182
goal-middle,20,32,False,False,0.2960596478174603,0.4993799603174603,0.4809626116071428,0.2875558035714285,0.16447110615079372,0.13570374503968252,nan,0.361290322580645,0.0,1.1021546646853353,0.0,4,1,32,8,25,0.33593610249628514,0.026521228449922198
goal-middle,23,32,False,False,0.3007114955357143,0.46832744295634926,0.44068421378968253,0.2697724454365079,0.10883463541666664,0.09860150049603177,nan,0.2989247311827957,0.0,1.0112854488514411,0.0,6,1,32,8,24,0.31776601653445014,0.026492564880402077
goal-middle,26,32,False,False,0.27506851438492064,0.4608435639880953,0.4364636036706349,0.23916201636904755,0.17286644345238095,0.10844711061507929,nan,0.3473118279569891,0.0,1.1267480061398258,0.0,5,1,32,7,25,0.37097624157177644,0.026709414435708248
goal-middle,29,32,False,False,0.27697327628968244,0.49241505456349205,0.45823474702380956,0.2697929067460318,0.15429997519841268,0.14724020337301585,nan,0.282795698924731,0.0,1.0599793126726633,0.0,5,1,32,8,25,0.34167034875136904,0.026421875243646482
goal-middle,33,32,False,False,0.2710016741071428,0.4701249379960317,0.43503162202380957,0.2386303323412699,0.13618396577380948,0.12522445436507929,nan,0.2827956989247312,0.0,1.0255591125528944,0.0,4,1,32,9,24,0.34271819562451866,0.026502775666627565
goal-middle,36,32,False,False,0.2979247271825396,0.46512152777777777,0.4291998387896825,0.29760323660714283,0.09291542658730167,0.08090835813492063,nan,0.30000000000000004,0.0,1.096887505769997,0.0,4,1,32,7,26,0.35638220797117476,0.026329919588695135
goal-middle,39,32,False,False,0.30574342757936507,0.4608637152777778,0.4264694940476191,0.2790435887896825,0.18724175347222216,0.20795107886904757,nan,0.35376344086021505,0.0,1.0961482594661984,0.0,4,1,32,9,21,0.32341203846401734,0.026457741748918552
goal-middle,42,32,False,False,0.2844980778769841,0.4410187251984127,0.40744016617063483,0.27239459325396825,0.16048177083333334,0.16328590029761908,nan,0.2989247311827955,0.0,1.0228319426384673,0.0,7,1,32,9,22,0.3275856281359343,0.026359846470043753
goal-middle,46,32,False,False,0.2910391865079365,0.4687527901785714,0.42818762400793653,0.23923828124999996,0.20619512648809518,0.20241877480158732,nan,0.3451612903225807,0.0,1.1101054587793182,0.0,4,1,32,7,25,0.34321681056809805,0.02637634277325097
goal-middle,49,32,False,False,0.31176184275793656,0.44310918898809526,0.4004619295634921,0.27861421130952374,0.103112289186508,0.12801029265873018,nan,0.29032258064516125,0.0,1.0575113465259862,0.0,4,1,32,8,23,0.33916244444828714,0.026232815500362664
goal-top,0,32,False,False,0.22135881696428567,0.41246248759920634,0.3761188616071428,0.2533314732142858,0.09858289930555558,0.10303013392857145,nan,0.19247311827957003,0.0,1.0470849521725438,0.0,4,1,32,9,21,0.3308288399953867,0.026505520184404305
goal-top,3,31,True,False,0.2506001984126983,0.39634982638888894,0.3529730902777778,0.17714347718253967,0.08572048611111115,0.09526506696428572,-0.15524193548387094,0.2870967741935483,-0.06653225806451613,1.0581810273354917,0.16666666666666663,6,1,32,9,21,0.3429955522592589,0.02662268978262633
goal-top,7,28,True,True,0.24230654761904763,0.40158172123015873,0.37522135416666663,0.2378776041666667,0.09364149305555551,0.11318390376984117,0.2416294642857143,0.28387096774193554,0.032258064516129004,1.039786963475847,0.15384615384615385,6,1,32,8,23,0.34722548898899874,0.0265925749442029
goal-top,10,32,False,False,0.2509917534722223,0.45949900793650794,0.44171906001984135,0.2702424355158729,0.16330419146825398,0.17218067956349203,nan,0.2720430107526881,0.0,1.040586511695261,0.0,4,1,32,10,21,0.36442481058541765,0.02644027344654961
goal-top,13,31,True,False,0.2449085441468254,0.4269140625,0.40044270833333334,0.23416573660714282,0.16950334821428567,0.14874534970238085,-0.05846774193548386,0.22688172043010757,0.030241935483870996,1.0483524927390924,0.0357142857142857,4,1,32,9,23,0.3681386811861941,0.026607826894827935
goal-top,16,5,True,True,0.2609325396825396,0.4794224330357142,0.4579991319444444,0.22421223958333336,0.14157273065476186,0.1385853794642857,-0.26435185185185184,0.25806451612903225,-0.17943548387096775,1.038691220303539,0.10714285714285715,4,1,32,7,25,0.3467735767272406,0.026781403523855874
