episode,init_state_id,onset,y,target,terminal_success,role
0,0,34,1,moka_pot_1_joint0,0,setback_landmark
9,0,34,0,moka_pot_1_joint0,0,setback_landmark
17,0,32,1,moka_pot_1_joint0,0,setback_landmark
18,0,42,0,moka_pot_1_joint0,0,setback_landmark
23,0,42,0,moka_pot_1_joint0,0,setback_landmark
24,0,36,0,moka_pot_1_joint0,0,setback_landmark
28,0,33,0,moka_pot_1_joint0,0,setback_landmark
30,0,33,1,moka_pot_1_joint0,0,setback_landmark
34,3,37,1,moka_pot_1_joint0,0,setback_landmark
36,3,36,1,moka_pot_1_joint0,0,setback_landmark
40,3,37,1,moka_pot_1_joint0,0,setback_landmark
44,3,35,0,moka_pot_1_joint0,0,setback_landmark
46,3,34,1,moka_pot_1_joint0,0,setback_landmark
48,3,34,0,moka_pot_1_joint0,0,setback_landmark
50,3,36,1,moka_pot_1_joint0,0,setback_landmark
55,3,36,1,moka_pot_1_joint0,0,setback_landmark
57,3,35,1,moka_pot_1_joint0,0,setback_landmark
62,3,34,0,moka_pot_1_joint0,0,setback_landmark
97,10,38,1,moka_pot_1_joint0,0,setback_landmark
98,10,30,0,moka_pot_1_joint0,0,setback_landmark
99,10,31,1,moka_pot_1_joint0,0,setback_landmark
101,10,40,1,moka_pot_1_joint0,0,setback_landmark
105,10,41,0,moka_pot_2_joint0,0,setback_landmark
107,10,31,1,moka_pot_1_joint0,0,setback_landmark
110,10,31,0,moka_pot_1_joint0,0,setback_landmark
113,10,42,1,moka_pot_1_joint0,0,setback_landmark
114,10,34,1,moka_pot_1_joint0,0,setback_landmark
124,10,43,0,moka_pot_1_joint0,0,setback_landmark
125,10,31,0,moka_pot_1_joint0,0,setback_landmark
126,10,31,1,moka_pot_1_joint0,0,setback_landmark
127,10,31,1,moka_pot_1_joint0,0,setback_landmark
203,20,33,1,moka_pot_1_joint0,0,setback_landmark
204,20,44,0,moka_pot_2_joint0,0,setback_landmark
218,20,47,1,moka_pot_1_joint0,0,setback_landmark
0,0,20,1,moka_pot_2_joint0,0,max_support_landmark
1,0,18,1,moka_pot_2_joint0,0,max_support_landmark
2,0,17,0,moka_pot_2_joint0,1,max_support_landmark
3,0,18,1,moka_pot_2_joint0,0,max_support_landmark
4,0,18,0,moka_pot_2_joint0,1,max_support_landmark
5,0,17,1,moka_pot_2_joint0,0,max_support_landmark
6,0,17,0,moka_pot_2_joint0,1,max_support_landmark
7,0,19,1,moka_pot_2_joint0,0,max_support_landmark
8,0,17,0,moka_pot_2_joint0,1,max_support_landmark
9,0,17,1,moka_pot_2_joint0,0,max_support_landmark
10,0,17,0,moka_pot_2_joint0,1,max_support_landmark
11,0,17,1,moka_pot_2_joint0,0,max_support_landmark
12,0,18,0,moka_pot_2_joint0,1,max_support_landmark
13,0,17,1,moka_pot_2_joint0,0,max_support_landmark
14,0,17,1,moka_pot_2_joint0,0,max_support_landmark
15,0,18,0,moka_pot_2_joint0,1,max_support_landmark
16,0,17,1,moka_pot_2_joint0,0,max_support_landmark
17,0,18,1,moka_pot_2_joint0,0,max_support_landmark
18,0,19,1,moka_pot_2_joint0,0,max_support_landmark
19,0,18,0,moka_pot_2_joint0,1,max_support_landmark
20,0,17,0,moka_pot_2_joint0,1,max_support_landmark
21,0,17,0,moka_pot_2_joint0,1,max_support_landmark
22,0,18,0,moka_pot_2_joint0,1,max_support_landmark
23,0,18,1,moka_pot_2_joint0,0,max_support_landmark
24,0,17,1,moka_pot_2_joint0,0,max_support_landmark
25,0,17,0,moka_pot_2_joint0,1,max_support_landmark
26,0,17,0,moka_pot_2_joint0,1,max_support_landmark
27,0,17,1,moka_pot_2_joint0,0,max_support_landmark
28,0,17,1,moka_pot_2_joint0,0,max_support_landmark
29,0,18,0,moka_pot_2_joint0,1,max_support_landmark
30,0,17,1,moka_pot_2_joint0,0,max_support_landmark
31,0,17,1,moka_pot_2_joint0,0,max_support_landmark
32,3,19,1,moka_pot_2_joint0,0,max_support_landmark
33,3,19,1,moka_pot_2_joint0,0,max_support_landmark
34,3,20,1,moka_pot_2_joint0,0,max_support_landmark
35,3,20,1,moka_pot_2_joint0,0,max_support_landmark
36,3,20,1,moka_pot_2_joint0,0,max_support_landmark
37,3,20,1,moka_pot_2_joint0,0,max_support_landmark
38,3,20,1,moka_pot_2_joint0,0,max_support_landmark
39,3,19,0,moka_pot_2_joint0,1,max_support_landmark
40,3,20,1,moka_pot_2_joint0,0,max_support_landmark
41,3,20,1,moka_pot_2_joint0,0,max_support_landmark
42,3,20,1,moka_pot_2_joint0,0,max_support_landmark
43,3,19,0,moka_pot_2_joint0,1,max_support_landmark
44,3,19,1,moka_pot_2_joint0,0,max_support_landmark
45,3,20,1,moka_pot_2_joint0,0,max_support_landmark
46,3,20,1,moka_pot_2_joint0,0,max_support_landmark
47,3,19,0,moka_pot_2_joint0,1,max_support_landmark
48,3,19,1,moka_pot_2_joint0,0,max_support_landmark
49,3,20,1,moka_pot_2_joint0,0,max_support_landmark
50,3,20,1,moka_pot_2_joint0,0,max_support_landmark
51,3,19,0,moka_pot_2_joint0,1,max_support_landmark
52,3,19,1,moka_pot_2_joint0,0,max_support_landmark
53,3,19,1,moka_pot_2_joint0,0,max_support_landmark
54,3,19,1,moka_pot_2_joint0,0,max_support_landmark
55,3,19,1,moka_pot_2_joint0,0,max_support_landmark
56,3,20,1,moka_pot_2_joint0,0,max_support_landmark
57,3,20,1,moka_pot_2_joint0,0,max_support_landmark
58,3,20,1,moka_pot_2_joint0,0,max_support_landmark
59,3,19,0,moka_pot_2_joint0,1,max_support_landmark
60,3,19,1,moka_pot_2_joint0,0,max_support_landmark
61,3,20,1,moka_pot_2_joint0,0,max_support_landmark
62,3,19,1,moka_pot_2_joint0,0,max_support_landmark
63,3,20,1,moka_pot_2_joint0,0,max_support_landmark
64,7,18,0,moka_pot_2_joint0,1,max_support_landmark
65,7,18,0,moka_pot_2_joint0,1,max_support_landmark
66,7,18,1,moka_pot_2_joint0,0,max_support_landmark
67,7,19,0,moka_pot_2_joint0,1,max_support_landmark
68,7,18,0,moka_pot_2_joint0,1,max_support_landmark
69,7,18,1,moka_pot_2_joint0,0,max_support_landmark
70,7,19,0,moka_pot_2_joint0,1,max_support_landmark
71,7,19,0,moka_pot_2_joint0,1,max_support_landmark
72,7,19,0,moka_pot_2_joint0,1,max_support_landmark
73,7,19,0,moka_pot_2_joint0,1,max_support_landmark
74,7,18,1,moka_pot_2_joint0,0,max_support_landmark
75,7,18,0,moka_pot_2_joint0,1,max_support_landmark
76,7,18,0,moka_pot_2_joint0,1,max_support_landmark
77,7,17,0,moka_pot_2_joint0,1,max_support_landmark
78,7,17,0,moka_pot_2_joint0,1,max_support_landmark
79,7,18,0,moka_pot_2_joint0,1,max_support_landmark
80,7,18,0,moka_pot_2_joint0,1,max_support_landmark
81,7,18,0,moka_pot_2_joint0,1,max_support_landmark
82,7,19,0,moka_pot_2_joint0,1,max_support_landmark
83,7,18,0,moka_pot_2_joint0,1,max_support_landmark
84,7,19,0,moka_pot_2_joint0,1,max_support_landmark
85,7,17,0,moka_pot_2_joint0,1,max_support_landmark
86,7,20,0,moka_pot_2_joint0,1,max_support_landmark
87,7,20,0,moka_pot_2_joint0,1,max_support_landmark
88,7,18,0,moka_pot_2_joint0,1,max_support_landmark
89,7,19,0,moka_pot_2_joint0,1,max_support_landmark
90,7,18,0,moka_pot_2_joint0,1,max_support_landmark
91,7,18,0,moka_pot_2_joint0,1,max_support_landmark
92,7,19,0,moka_pot_2_joint0,1,max_support_landmark
93,7,18,0,moka_pot_2_joint0,1,max_support_landmark
94,7,17,0,moka_pot_2_joint0,1,max_support_landmark
95,7,18,0,moka_pot_2_joint0,1,max_support_landmark
96,10,16,1,moka_pot_2_joint0,0,max_support_landmark
97,10,16,1,moka_pot_2_joint0,0,max_support_landmark
98,10,17,1,moka_pot_2_joint0,0,max_support_landmark
99,10,17,1,moka_pot_2_joint0,0,max_support_landmark
100,10,17,0,moka_pot_2_joint0,1,max_support_landmark
101,10,16,1,moka_pot_2_joint0,0,max_support_landmark
102,10,16,1,moka_pot_2_joint0,0,max_support_landmark
103,10,17,0,moka_pot_2_joint0,1,max_support_landmark
104,10,16,0,moka_pot_2_joint0,1,max_support_landmark
105,10,17,1,moka_pot_2_joint0,0,max_support_landmark
106,10,16,1,moka_pot_2_joint0,0,max_support_landmark
107,10,17,1,moka_pot_2_joint0,0,max_support_landmark
108,10,18,0,moka_pot_2_joint0,1,max_support_landmark
109,10,17,1,moka_pot_2_joint0,0,max_support_landmark
110,10,17,1,moka_pot_2_joint0,0,max_support_landmark
111,10,18,0,moka_pot_2_joint0,1,max_support_landmark
112,10,17,0,moka_pot_2_joint0,1,max_support_landmark
113,10,16,1,moka_pot_2_joint0,0,max_support_landmark
114,10,17,1,moka_pot_2_joint0,0,max_support_landmark
115,10,18,0,moka_pot_2_joint0,1,max_support_landmark
116,10,16,1,moka_pot_2_joint0,0,max_support_landmark
117,10,16,1,moka_pot_2_joint0,0,max_support_landmark
118,10,16,1,moka_pot_2_joint0,0,max_support_landmark
119,10,17,1,moka_pot_2_joint0,0,max_support_landmark
120,10,17,0,moka_pot_2_joint0,1,max_support_landmark
121,10,17,1,moka_pot_2_joint0,0,max_support_landmark
122,10,16,1,moka_pot_2_joint0,0,max_support_landmark
123,10,17,0,moka_pot_2_joint0,1,max_support_landmark
124,10,17,1,moka_pot_2_joint0,0,max_support_landmark
125,10,17,1,moka_pot_2_joint0,0,max_support_landmark
126,10,16,1,moka_pot_2_joint0,0,max_support_landmark
127,10,17,1,moka_pot_2_joint0,0,max_support_landmark
128,13,19,0,moka_pot_2_joint0,1,max_support_landmark
129,13,19,1,moka_pot_2_joint0,0,max_support_landmark
130,13,19,1,moka_pot_2_joint0,0,max_support_landmark
131,13,18,1,moka_pot_2_joint0,0,max_support_landmark
132,13,18,1,moka_pot_2_joint0,0,max_support_landmark
133,13,19,1,moka_pot_2_joint0,0,max_support_landmark
134,13,18,0,moka_pot_2_joint0,1,max_support_landmark
135,13,19,1,moka_pot_2_joint0,0,max_support_landmark
136,13,19,0,moka_pot_2_joint0,1,max_support_landmark
137,13,19,1,moka_pot_2_joint0,0,max_support_landmark
138,13,19,1,moka_pot_2_joint0,0,max_support_landmark
139,13,18,0,moka_pot_2_joint0,1,max_support_landmark
140,13,19,1,moka_pot_2_joint0,0,max_support_landmark
141,13,19,1,moka_pot_2_joint0,0,max_support_landmark
142,13,18,1,moka_pot_2_joint0,0,max_support_landmark
143,13,19,1,moka_pot_2_joint0,0,max_support_landmark
144,13,18,1,moka_pot_2_joint0,0,max_support_landmark
145,13,19,1,moka_pot_2_joint0,0,max_support_landmark
146,13,19,1,moka_pot_2_joint0,0,max_support_landmark
147,13,19,1,moka_pot_2_joint0,0,max_support_landmark
148,13,19,0,moka_pot_2_joint0,1,max_support_landmark
149,13,19,0,moka_pot_2_joint0,1,max_support_landmark
150,13,19,1,moka_pot_2_joint0,0,max_support_landmark
151,13,20,0,moka_pot_2_joint0,1,max_support_landmark
152,13,19,1,moka_pot_2_joint0,0,max_support_landmark
153,13,19,1,moka_pot_2_joint0,0,max_support_landmark
154,13,18,1,moka_pot_2_joint0,0,max_support_landmark
155,13,19,1,moka_pot_2_joint0,0,max_support_landmark
156,13,18,0,moka_pot_2_joint0,1,max_support_landmark
157,13,18,0,moka_pot_2_joint0,1,max_support_landmark
158,13,19,1,moka_pot_2_joint0,0,max_support_landmark
159,13,19,1,moka_pot_2_joint0,0,max_support_landmark
160,16,17,0,moka_pot_2_joint0,1,max_support_landmark
161,16,16,1,moka_pot_2_joint0,0,max_support_landmark
162,16,17,0,moka_pot_2_joint0,1,max_support_landmark
163,16,18,0,moka_pot_2_joint0,1,max_support_landmark
164,16,18,0,moka_pot_2_joint0,1,max_support_landmark
165,16,17,0,moka_pot_2_joint0,1,max_support_landmark
166,16,18,0,moka_pot_2_joint0,1,max_support_landmark
167,16,18,1,moka_pot_2_joint0,0,max_support_landmark
168,16,17,0,moka_pot_2_joint0,1,max_support_landmark
169,16,17,0,moka_pot_2_joint0,1,max_support_landmark
170,16,17,0,moka_pot_2_joint0,1,max_support_landmark
171,16,18,0,moka_pot_2_joint0,1,max_support_landmark
172,16,18,1,moka_pot_2_joint0,0,max_support_landmark
173,16,18,0,moka_pot_2_joint0,1,max_support_landmark
174,16,18,0,moka_pot_2_joint0,1,max_support_landmark
175,16,18,0,moka_pot_2_joint0,1,max_support_landmark
176,16,16,0,moka_pot_2_joint0,1,max_support_landmark
177,16,18,1,moka_pot_2_joint0,0,max_support_landmark
178,16,18,0,moka_pot_2_joint0,1,max_support_landmark
179,16,18,0,moka_pot_2_joint0,1,max_support_landmark
180,16,17,0,moka_pot_2_joint0,1,max_support_landmark
181,16,17,0,moka_pot_2_joint0,1,max_support_landmark
182,16,17,0,moka_pot_2_joint0,1,max_support_landmark
183,16,18,0,moka_pot_2_joint0,1,max_support_landmark
184,16,17,0,moka_pot_2_joint0,1,max_support_landmark
185,16,18,0,moka_pot_2_joint0,1,max_support_landmark
186,16,17,0,moka_pot_2_joint0,1,max_support_landmark
187,16,18,0,moka_pot_2_joint0,1,max_support_landmark
188,16,18,0,moka_pot_2_joint0,1,max_support_landmark
189,16,17,0,moka_pot_2_joint0,1,max_support_landmark
190,16,18,0,moka_pot_2_joint0,1,max_support_landmark
191,16,18,0,moka_pot_2_joint0,1,max_support_landmark
192,20,19,0,moka_pot_2_joint0,1,max_support_landmark
193,20,20,0,moka_pot_2_joint0,1,max_support_landmark
194,20,20,0,moka_pot_2_joint0,1,max_support_landmark
195,20,20,0,moka_pot_2_joint0,1,max_support_landmark
196,20,20,0,moka_pot_2_joint0,1,max_support_landmark
197,20,20,0,moka_pot_2_joint0,1,max_support_landmark
198,20,20,1,moka_pot_2_joint0,0,max_support_landmark
199,20,21,0,moka_pot_2_joint0,1,max_support_landmark
200,20,19,0,moka_pot_2_joint0,1,max_support_landmark
201,20,20,1,moka_pot_2_joint0,0,max_support_landmark
202,20,20,0,moka_pot_2_joint0,1,max_support_landmark
203,20,20,1,moka_pot_2_joint0,0,max_support_landmark
204,20,20,1,moka_pot_2_joint0,0,max_support_landmark
205,20,20,0,moka_pot_2_joint0,1,max_support_landmark
206,20,20,0,moka_pot_2_joint0,1,max_support_landmark
207,20,20,0,moka_pot_2_joint0,1,max_support_landmark
208,20,20,0,moka_pot_2_joint0,1,max_support_landmark
209,20,20,0,moka_pot_2_joint0,1,max_support_landmark
210,20,22,0,moka_pot_2_joint0,1,max_support_landmark
211,20,20,1,moka_pot_2_joint0,0,max_support_landmark
212,20,20,0,moka_pot_2_joint0,1,max_support_landmark
213,20,20,1,moka_pot_2_joint0,0,max_support_landmark
214,20,20,0,moka_pot_2_joint0,1,max_support_landmark
215,20,20,0,moka_pot_2_joint0,1,max_support_landmark
216,20,20,0,moka_pot_2_joint0,1,max_support_landmark
217,20,19,0,moka_pot_2_joint0,1,max_support_landmark
218,20,20,1,moka_pot_2_joint0,0,max_support_landmark
219,20,20,0,moka_pot_2_joint0,1,max_support_landmark
220,20,20,1,moka_pot_2_joint0,0,max_support_landmark
221,20,19,1,moka_pot_2_joint0,0,max_support_landmark
222,20,20,0,moka_pot_2_joint0,1,max_support_landmark
223,20,20,0,moka_pot_2_joint0,1,max_support_landmark
224,23,21,0,moka_pot_2_joint0,1,max_support_landmark
225,23,20,0,moka_pot_2_joint0,1,max_support_landmark
226,23,21,1,moka_pot_2_joint0,0,max_support_landmark
227,23,20,0,moka_pot_2_joint0,1,max_support_landmark
228,23,19,0,moka_pot_2_joint0,1,max_support_landmark
229,23,21,0,moka_pot_2_joint0,1,max_support_landmark
230,23,20,0,moka_pot_2_joint0,1,max_support_landmark
231,23,20,0,moka_pot_2_joint0,1,max_support_landmark
232,23,20,0,moka_pot_2_joint0,1,max_support_landmark
233,23,21,0,moka_pot_2_joint0,1,max_support_landmark
234,23,19,0,moka_pot_2_joint0,1,max_support_landmark
235,23,20,0,moka_pot_2_joint0,1,max_support_landmark
