label,mode,block,held_out_stratum,feature,family,direction,training_effect_abs
label_stagnation,stagnation,trap_only,libero_goal/open_the_top_drawer_and_put_the_bowl_inside|init=16,hard_route|back_12_15|adjacent_mean,query_persistence,-1.0,3.860862188858334
label_stagnation,stagnation,trap_only,libero_goal/open_the_top_drawer_and_put_the_bowl_inside|init=16,soft_route|front_2_5|return_advantage_mean,query_recurrence,1.0,1.6013652916270202
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=0,hard_route|back_12_15|adjacent_mean,query_persistence,-1.0,3.270240044387476
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=0,soft_denoise_spread|front_2_5|return_advantage_max,query_recurrence,-1.0,1.4740934898324336
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=10,soft_route|front_2_5|adjacent_mean,query_persistence,-1.0,3.2102638468426297
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=10,soft_denoise_spread|front_2_5|return_advantage_max,query_recurrence,-1.0,1.525733675236935
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=16,hard_route|back_12_15|adjacent_mean,query_persistence,-1.0,3.2802553830257546
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=16,soft_denoise_spread|front_2_5|return_advantage_max,query_recurrence,-1.0,1.510914605027009
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=26,hard_route|back_12_15|adjacent_mean,query_persistence,-1.0,3.171701534377348
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=26,soft_denoise_spread|front_2_5|return_advantage_max,query_recurrence,-1.0,1.3969488059041781
label_stagnation,stagnation,trap_only,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove|init=29,soft_route|front_2_5|adjacent_mean,query_persistence,-1.0,3.276237738475906
