task,physical_pattern,n,mixed_initial_states,cross_init_status,family,feature,effect_sigma
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,bowl_transport_loss_proxy,22,2,descriptive_only,action_confidence,action_entropy_at_d|front_2_5|d9|query_change,2.573617995570918
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,bowl_transport_loss_proxy,22,2,descriptive_only,denoise_hard_switch,action_hard_switch|front_2_5|denoise_std|query_change,-1.0570226153674607
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,bowl_transport_loss_proxy,22,2,descriptive_only,denoise_soft_motion,action_denoise_motion_at_i|front_2_5|d6_to_d7|phase_std,2.313669796250442
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,bowl_transport_loss_proxy,22,2,descriptive_only,query_persistence,soft_denoise_spread|back_12_15|adjacent_late,1.8159623809667544
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,bowl_transport_loss_proxy,22,2,descriptive_only,query_recurrence,soft_denoise_spread|front_2_5|return_advantage_max,1.605841987207829
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,bowl_transport_loss_proxy,22,2,descriptive_only,state_action_mismatch,state_action_gap|front_2_5|denoise_slope|phase_std,2.479892310336337
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,bowl_transport_loss_proxy,22,2,descriptive_only,state_confidence,state_top4|front_2_5|denoise_mean|phase_std,2.0696786001225553
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,bowl_transport_loss_proxy,22,2,descriptive_only,token_disagreement,action_token_dispersion|front_2_5|denoise_std|query_change,2.847916546729701
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,drawer_subgoal_regression,17,1,descriptive_only,action_confidence,action_entropy|front_2_5|denoise_std|phase_std,-2.608655277245225
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,drawer_subgoal_regression,17,1,descriptive_only,denoise_hard_switch,action_hard_switch|back_12_15|denoise_std|query_change,-1.1260011253635878
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,drawer_subgoal_regression,17,1,descriptive_only,denoise_soft_motion,action_denoise_motion_at_i|front_2_5|d5_to_d6|query_change,-2.299694037435981
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,drawer_subgoal_regression,17,1,descriptive_only,query_persistence,soft_denoise_spread|back_12_15|adjacent_late,-2.1618330774242867
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,drawer_subgoal_regression,17,1,descriptive_only,query_recurrence,soft_denoise_spread|front_2_5|return_advantage_max,-1.796018318177019
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,drawer_subgoal_regression,17,1,descriptive_only,state_action_mismatch,state_action_gap|front_2_5|denoise_std|query_change,-2.271255723670527
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,drawer_subgoal_regression,17,1,descriptive_only,state_confidence,state_top4|front_2_5|denoise_mean|phase_std,-2.0418362048758354
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,drawer_subgoal_regression,17,1,descriptive_only,token_disagreement,action_token_dispersion|front_2_5|denoise_std|phase_std,-2.3090129928686958
