task,physical_pattern,n,initial_states,mixed_initial_states_vs_other_failure,positives_in_mixed_states,episodes_in_mixed_states,cross_init_status
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,bowl_transport_loss_proxy,22,6,2,13,32,descriptive_only
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,drawer_subgoal_regression,17,1,1,17,27,descriptive_only
libero_goal/open_the_top_drawer_and_put_the_bowl_inside,ongoing_bowl_placement_failure,3,3,2,2,32,descriptive_only
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,active_at_unfinished_pot1,45,13,12,44,211,estimable
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,other_long_incomplete,14,7,7,14,113,estimable
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,placed_object_goal_loss,9,5,5,9,76,estimable
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,return_to_completed_pot2_proxy,39,9,9,39,166,estimable
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,stalled_at_unfinished_pot1,109,9,9,109,177,estimable
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,bowl_transport_loss_proxy,1,1,1,1,4,descriptive_only
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,ramekin_displacement_interference_proxy,10,7,1,3,4,descriptive_only
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,transported_bowl_not_placed,1,1,0,0,0,descriptive_only
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_never_transported,27,5,1,15,16,descriptive_only
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,bowl_transport_loss_proxy,6,6,1,1,16,descriptive_only
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,empty_goal_side_close_proxy,2,1,0,0,0,descriptive_only
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,transported_bowl_not_placed,2,1,0,0,0,descriptive_only
