cv_scheme,snapshot_key,worker,model,observed_failure_rate,predicted_failure_rate
leave_one_snapshot_out,w00_s000,0,mean_rate,0.5625,0.6726190476190477
leave_one_snapshot_out,w00_s001,0,mean_rate,0.75,0.6636904761904762
leave_one_snapshot_out,w00_s002,0,mean_rate,0.8125,0.6607142857142857
leave_one_snapshot_out,w00_s003,0,mean_rate,0.9375,0.6547619047619048
leave_one_snapshot_out,w00_s004,0,mean_rate,0.75,0.6636904761904762
leave_one_snapshot_out,w00_s005,0,mean_rate,0.625,0.6696428571428571
leave_one_snapshot_out,w01_s000,1,mean_rate,1.0,0.6517857142857143
leave_one_snapshot_out,w01_s001,1,mean_rate,1.0,0.6517857142857143
leave_one_snapshot_out,w01_s002,1,mean_rate,1.0,0.6517857142857143
leave_one_snapshot_out,w01_s003,1,mean_rate,1.0,0.6517857142857143
leave_one_snapshot_out,w01_s004,1,mean_rate,1.0,0.6517857142857143
leave_one_snapshot_out,w02_s000,2,mean_rate,1.0,0.6517857142857143
leave_one_snapshot_out,w02_s001,2,mean_rate,0.9375,0.6547619047619048
leave_one_snapshot_out,w02_s002,2,mean_rate,0.875,0.6577380952380952
leave_one_snapshot_out,w02_s003,2,mean_rate,0.875,0.6577380952380952
leave_one_snapshot_out,w02_s004,2,mean_rate,1.0,0.6517857142857143
leave_one_snapshot_out,w03_s000,3,mean_rate,0.0625,0.6964285714285714
leave_one_snapshot_out,w03_s001,3,mean_rate,0.0625,0.6964285714285714
leave_one_snapshot_out,w03_s002,3,mean_rate,0.0625,0.6964285714285714
leave_one_snapshot_out,w03_s003,3,mean_rate,0.0625,0.6964285714285714
leave_one_snapshot_out,w03_s004,3,mean_rate,0.1875,0.6904761904761905
leave_one_snapshot_out,w03_s005,3,mean_rate,0.125,0.6934523809523809
leave_one_snapshot_out,w00_s000,0,initial_sim_state,0.5625,0.7649434804916382
leave_one_snapshot_out,w00_s001,0,initial_sim_state,0.75,0.7203982472419739
leave_one_snapshot_out,w00_s002,0,initial_sim_state,0.8125,0.7263872027397156
leave_one_snapshot_out,w00_s003,0,initial_sim_state,0.9375,0.6898311376571655
leave_one_snapshot_out,w00_s004,0,initial_sim_state,0.75,0.7309038639068604
leave_one_snapshot_out,w00_s005,0,initial_sim_state,0.625,0.7915911078453064
leave_one_snapshot_out,w01_s000,1,initial_sim_state,1.0,0.8869521617889404
leave_one_snapshot_out,w01_s001,1,initial_sim_state,1.0,0.9526283740997314
leave_one_snapshot_out,w01_s002,1,initial_sim_state,1.0,0.9572958946228027
leave_one_snapshot_out,w01_s003,1,initial_sim_state,1.0,0.9610354900360107
leave_one_snapshot_out,w01_s004,1,initial_sim_state,1.0,0.9490575790405273
leave_one_snapshot_out,w02_s000,2,initial_sim_state,1.0,0.6535280346870422
leave_one_snapshot_out,w02_s001,2,initial_sim_state,0.9375,0.8313915133476257
leave_one_snapshot_out,w02_s002,2,initial_sim_state,0.875,0.8849709033966064
leave_one_snapshot_out,w02_s003,2,initial_sim_state,0.875,0.607482373714447
leave_one_snapshot_out,w02_s004,2,initial_sim_state,1.0,0.748577892780304
leave_one_snapshot_out,w03_s000,3,initial_sim_state,0.0625,0.2986026704311371
leave_one_snapshot_out,w03_s001,3,initial_sim_state,0.0625,0.3269670903682709
leave_one_snapshot_out,w03_s002,3,initial_sim_state,0.0625,0.2102745771408081
leave_one_snapshot_out,w03_s003,3,initial_sim_state,0.0625,0.34781932830810547
leave_one_snapshot_out,w03_s004,3,initial_sim_state,0.1875,0.34948837757110596
leave_one_snapshot_out,w03_s005,3,initial_sim_state,0.125,0.14761918783187866
leave_one_snapshot_out,w00_s000,0,initial_policy_state,0.5625,0.5718530416488647
leave_one_snapshot_out,w00_s001,0,initial_policy_state,0.75,0.6135208010673523
leave_one_snapshot_out,w00_s002,0,initial_policy_state,0.8125,0.740774393081665
leave_one_snapshot_out,w00_s003,0,initial_policy_state,0.9375,0.7122904658317566
leave_one_snapshot_out,w00_s004,0,initial_policy_state,0.75,0.7064447999000549
leave_one_snapshot_out,w00_s005,0,initial_policy_state,0.625,0.963777482509613
leave_one_snapshot_out,w01_s000,1,initial_policy_state,1.0,0.6407425403594971
leave_one_snapshot_out,w01_s001,1,initial_policy_state,1.0,0.7555193305015564
leave_one_snapshot_out,w01_s002,1,initial_policy_state,1.0,0.8251177072525024
leave_one_snapshot_out,w01_s003,1,initial_policy_state,1.0,0.899935245513916
leave_one_snapshot_out,w01_s004,1,initial_policy_state,1.0,0.9026998281478882
leave_one_snapshot_out,w02_s000,2,initial_policy_state,1.0,0.6958907246589661
leave_one_snapshot_out,w02_s001,2,initial_policy_state,0.9375,0.7918217182159424
leave_one_snapshot_out,w02_s002,2,initial_policy_state,0.875,0.7667059898376465
leave_one_snapshot_out,w02_s003,2,initial_policy_state,0.875,0.2571268677711487
leave_one_snapshot_out,w02_s004,2,initial_policy_state,1.0,0.44722241163253784
leave_one_snapshot_out,w03_s000,3,initial_policy_state,0.0625,0.6549072265625
leave_one_snapshot_out,w03_s001,3,initial_policy_state,0.0625,0.6670683026313782
leave_one_snapshot_out,w03_s002,3,initial_policy_state,0.0625,0.49856722354888916
leave_one_snapshot_out,w03_s003,3,initial_policy_state,0.0625,0.6815990805625916
leave_one_snapshot_out,w03_s004,3,initial_policy_state,0.1875,0.6790451407432556
leave_one_snapshot_out,w03_s005,3,initial_policy_state,0.125,0.20441827178001404
leave_one_snapshot_out,w00_s000,0,initial_geometry,0.5625,0.7841472029685974
leave_one_snapshot_out,w00_s001,0,initial_geometry,0.75,0.7181975841522217
leave_one_snapshot_out,w00_s002,0,initial_geometry,0.8125,0.7059691548347473
leave_one_snapshot_out,w00_s003,0,initial_geometry,0.9375,0.6839810013771057
leave_one_snapshot_out,w00_s004,0,initial_geometry,0.75,0.7217021584510803
leave_one_snapshot_out,w00_s005,0,initial_geometry,0.625,0.7549554109573364
leave_one_snapshot_out,w01_s000,1,initial_geometry,1.0,0.9457996487617493
leave_one_snapshot_out,w01_s001,1,initial_geometry,1.0,0.9455090761184692
leave_one_snapshot_out,w01_s002,1,initial_geometry,1.0,0.9456355571746826
leave_one_snapshot_out,w01_s003,1,initial_geometry,1.0,0.9386541843414307
leave_one_snapshot_out,w01_s004,1,initial_geometry,1.0,0.9358766674995422
leave_one_snapshot_out,w02_s000,2,initial_geometry,1.0,0.8162475228309631
leave_one_snapshot_out,w02_s001,2,initial_geometry,0.9375,0.834705114364624
leave_one_snapshot_out,w02_s002,2,initial_geometry,0.875,0.8492058515548706
leave_one_snapshot_out,w02_s003,2,initial_geometry,0.875,0.8184810876846313
leave_one_snapshot_out,w02_s004,2,initial_geometry,1.0,0.7742199301719666
leave_one_snapshot_out,w03_s000,3,initial_geometry,0.0625,0.2852323055267334
leave_one_snapshot_out,w03_s001,3,initial_geometry,0.0625,0.27526795864105225
leave_one_snapshot_out,w03_s002,3,initial_geometry,0.0625,0.2629167437553406
leave_one_snapshot_out,w03_s003,3,initial_geometry,0.0625,0.2633887231349945
leave_one_snapshot_out,w03_s004,3,initial_geometry,0.1875,0.2327633500099182
leave_one_snapshot_out,w03_s005,3,initial_geometry,0.125,0.25971531867980957
leave_one_snapshot_out,w00_s000,0,mean_output_action,0.5625,0.4874405860900879
leave_one_snapshot_out,w00_s001,0,mean_output_action,0.75,0.6285619139671326
leave_one_snapshot_out,w00_s002,0,mean_output_action,0.8125,0.7998248338699341
leave_one_snapshot_out,w00_s003,0,mean_output_action,0.9375,0.8923820853233337
leave_one_snapshot_out,w00_s004,0,mean_output_action,0.75,0.5609340667724609
leave_one_snapshot_out,w00_s005,0,mean_output_action,0.625,0.0
leave_one_snapshot_out,w01_s000,1,mean_output_action,1.0,0.571769654750824
leave_one_snapshot_out,w01_s001,1,mean_output_action,1.0,0.5327704548835754
leave_one_snapshot_out,w01_s002,1,mean_output_action,1.0,0.5231589078903198
leave_one_snapshot_out,w01_s003,1,mean_output_action,1.0,0.7673736810684204
leave_one_snapshot_out,w01_s004,1,mean_output_action,1.0,0.7788522243499756
leave_one_snapshot_out,w02_s000,2,mean_output_action,1.0,0.465981125831604
leave_one_snapshot_out,w02_s001,2,mean_output_action,0.9375,0.5015542507171631
leave_one_snapshot_out,w02_s002,2,mean_output_action,0.875,0.20157921314239502
leave_one_snapshot_out,w02_s003,2,mean_output_action,0.875,0.6058266162872314
leave_one_snapshot_out,w02_s004,2,mean_output_action,1.0,0.8821672201156616
leave_one_snapshot_out,w03_s000,3,mean_output_action,0.0625,0.7935200333595276
leave_one_snapshot_out,w03_s001,3,mean_output_action,0.0625,1.0
leave_one_snapshot_out,w03_s002,3,mean_output_action,0.0625,0.6227272152900696
leave_one_snapshot_out,w03_s003,3,mean_output_action,0.0625,0.6929112076759338
leave_one_snapshot_out,w03_s004,3,mean_output_action,0.1875,0.6520175337791443
