failure_type,prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
stagnation,1,state,back_12_15,2,consensus_distance,0.4375,0.125,0.3125,0.13333334028720856,0.4615384638309479,0.04975124378109453,0.9850746268656716,16,16
stagnation,1,state,back_12_15,0,consensus_distance,0.5625,0.25,0.3125,0.1599359028041363,0.48602941259741717,0.05472636815920398,0.9850746268656716,16,16
stagnation,1,state,front_2_5,4,top1_mass,0.1875,0.5,-0.3125,-0.6111111044883728,0.0555555559694767,0.05472636815920398,0.9850746268656716,16,16
stagnation,1,state,back_12_15,6,consensus_distance,0.125,0.4375,-0.3125,-0.5333333611488342,-0.10804093647748245,0.07462686567164178,0.9850746268656716,16,16
stagnation,1,state,back_12_15,7,top1_mass,0.375,0.125,0.25,0.06666667014360428,0.4117647111415863,0.11940298507462686,1.0,16,16
stagnation,1,action,back_12_15,2,token_dispersion,0.25,0.5,-0.25,-0.4615384638309479,0.06666667014360428,0.1791044776119403,1.0,16,16
stagnation,1,state,back_12_15,8,top1_mass,0.3125,0.0625,0.25,0.1111111119389534,0.38461539149284363,0.18407960199004975,1.0,16,16
stagnation,1,action,front_2_5,9,top1_mass,0.4375,0.1875,0.25,0.0,0.529411792755127,0.1890547263681592,1.0,16,16
stagnation,1,state,front_2_5,5,top1_mass,0.1875,0.4375,-0.25,-0.5760110422968864,0.06666667014360428,0.208955223880597,1.0,16,16
stagnation,1,state,back_12_15,5,top1_mass,0.375,0.125,0.25,0.0714285746216774,0.46666666865348816,0.21393034825870647,1.0,16,16
stagnation,1,action,front_2_5,5,top1_mass,0.3125,0.125,0.1875,0.0,0.46666666865348816,0.30845771144278605,1.0,16,16
stagnation,1,state,front_2_5,5,consensus_distance,0.25,0.4375,-0.1875,-0.5,0.10526315867900848,0.30845771144278605,1.0,16,16
