candidate,snapshots,failures,failure_rate,deviation_from_overall
0,13,8,0.61538464,-0.014423072
1,13,7,0.53846157,-0.091346145
2,13,9,0.6923077,0.0625
3,13,7,0.53846157,-0.091346145
4,13,6,0.46153846,-0.16826925
5,13,9,0.6923077,0.0625
6,13,9,0.6923077,0.0625
7,13,7,0.53846157,-0.091346145
8,13,7,0.53846157,-0.091346145
9,13,9,0.6923077,0.0625
10,13,8,0.61538464,-0.014423072
11,13,9,0.6923077,0.0625
12,13,8,0.61538464,-0.014423072
13,13,10,0.7692308,0.13942307
14,13,9,0.6923077,0.0625
15,13,9,0.6923077,0.0625
