prefix_queries,token_family,layer_group,denoise_step,metric,top_quartile_failure_rate,bottom_quartile_failure_rate,failure_rate_difference,ci95_low,ci95_high,permutation_p_raw,permutation_p_maxT,n_top,n_bottom
1,state,front_2_5,1,top1_mass,0.5833333333333334,0.2777777777777778,0.3055555555555556,0.1944444477558136,0.43819444477558134,0.0196078431372549,0.0196078431372549,36,36
1,state,front_2_5,0,consensus_distance,0.5277777777777778,0.25,0.2777777777777778,0.14513889513909817,0.4166666567325592,0.0196078431372549,0.058823529411764705,36,36
1,state,front_2_5,0,top1_mass,0.6111111111111112,0.3333333333333333,0.27777777777777785,0.117361113242805,0.41041666045784947,0.0196078431372549,0.058823529411764705,36,36
1,state,front_2_5,2,top1_mass,0.5833333333333334,0.3611111111111111,0.22222222222222227,0.02777777798473835,0.3333333432674408,0.0196078431372549,0.5294117647058824,36,36
1,state,front_2_5,7,consensus_distance,0.5555555555555556,0.3333333333333333,0.22222222222222227,0.0833333358168602,0.35486110821366307,0.0196078431372549,0.5294117647058824,36,36
1,state,front_2_5,3,top1_mass,0.5555555555555556,0.3333333333333333,0.22222222222222227,0.0062500000465661315,0.3611111044883728,0.0392156862745098,0.5294117647058824,36,36
1,state,front_2_5,1,consensus_distance,0.5277777777777778,0.3055555555555556,0.2222222222222222,0.06805555606260896,0.3611111044883728,0.058823529411764705,0.5294117647058824,36,36
1,state,front_2_5,8,entropy,0.5555555555555556,0.3333333333333333,0.22222222222222227,0.02777777798473835,0.3888888955116272,0.058823529411764705,0.5294117647058824,36,36
1,state,front_2_5,5,top1_mass,0.5277777777777778,0.3333333333333333,0.19444444444444448,0.06180555643513799,0.29930555596947667,0.0196078431372549,0.8235294117647058,36,36
1,state,front_2_5,7,entropy,0.5555555555555556,0.3611111111111111,0.19444444444444448,0.02777777798473835,0.3333333432674408,0.0196078431372549,0.8235294117647058,36,36
1,state,front_2_5,4,entropy,0.5277777777777778,0.3333333333333333,0.19444444444444448,0.06180555643513799,0.32708334028720853,0.0392156862745098,0.8235294117647058,36,36
1,state,front_2_5,6,top1_mass,0.5555555555555556,0.3611111111111111,0.19444444444444448,0.0833333358168602,0.25,0.0392156862745098,0.8235294117647058,36,36
1,state,front_2_5,9,entropy,0.6111111111111112,0.4166666666666667,0.19444444444444448,0.0062500000465661315,0.27152778804302213,0.0392156862745098,0.8235294117647058,36,36
1,state,front_2_5,4,consensus_distance,0.5555555555555556,0.3611111111111111,0.19444444444444448,-0.02777777798473835,0.3333333432674408,0.058823529411764705,0.8235294117647058,36,36
1,state,back_12_15,7,consensus_distance,0.5555555555555556,0.3888888888888889,0.16666666666666669,-0.009027777425944798,0.25,0.0196078431372549,1.0,36,36
1,state,back_12_15,4,entropy,0.5555555555555556,0.4166666666666667,0.1388888888888889,0.03402777803130448,0.2159722242504358,0.0392156862745098,1.0,36,36
1,state,front_2_5,7,top1_mass,0.5277777777777778,0.3611111111111111,0.16666666666666669,0.0062500000465661315,0.2777777910232544,0.0392156862745098,1.0,36,36
1,action,back_12_15,0,entropy,0.3888888888888889,0.5555555555555556,-0.16666666666666669,-0.29305555298924446,-0.034027778031304516,0.058823529411764705,1.0,36,36
1,state,back_12_15,1,consensus_distance,0.5,0.3611111111111111,0.1388888888888889,0.0062500000465661315,0.25,0.058823529411764705,1.0,36,36
1,state,back_12_15,3,entropy,0.5555555555555556,0.3888888888888889,0.16666666666666669,0.0062500000465661315,0.2777777910232544,0.058823529411764705,1.0,36,36
