order,job_id,suite,task_id,episode_index,init_state_id,seed,flow_noise_seed,state,outcome,is_completed,is_succeeded,is_task_failed,is_infra_failed,is_pending,is_running,attempt_count,episode_status,success,action_steps,inference_calls,duration_seconds,artifact_dir,video_path,video_retained,error_type,error
0,task00-episode000-init000-seed7,spatial,0,0,0,7,42,completed,succeeded,1,1,0,0,0,0,1,completed,True,83,17,15.764081135392189,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task00-episode000-init000-seed7/episode-libero-spatial-task00-seed7-20260803T194850Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task00-episode000-init000-seed7/episode-libero-spatial-task00-seed7-20260803T194850Z/episode.mp4,False,,
1,task00-episode001-init001-seed7,spatial,0,1,1,7,43,completed,succeeded,1,1,0,0,0,0,1,completed,True,78,16,12.872239610180259,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task00-episode001-init001-seed7/episode-libero-spatial-task00-seed7-20260803T194905Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task00-episode001-init001-seed7/episode-libero-spatial-task00-seed7-20260803T194905Z/episode.mp4,False,,
2,task00-episode002-init002-seed7,spatial,0,2,2,7,44,completed,succeeded,1,1,0,0,0,0,1,completed,True,85,17,13.645519871264696,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task00-episode002-init002-seed7/episode-libero-spatial-task00-seed7-20260803T194918Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task00-episode002-init002-seed7/episode-libero-spatial-task00-seed7-20260803T194918Z/episode.mp4,False,,
3,task00-episode003-init003-seed7,spatial,0,3,3,7,45,completed,succeeded,1,1,0,0,0,0,1,completed,True,83,17,13.42941497452557,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task00-episode003-init003-seed7/episode-libero-spatial-task00-seed7-20260803T194932Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task00-episode003-init003-seed7/episode-libero-spatial-task00-seed7-20260803T194932Z/episode.mp4,False,,
4,task00-episode004-init004-seed7,spatial,0,4,4,7,46,completed,succeeded,1,1,0,0,0,0,1,completed,True,79,16,12.873809168115258,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task00-episode004-init004-seed7/episode-libero-spatial-task00-seed7-20260803T194945Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task00-episode004-init004-seed7/episode-libero-spatial-task00-seed7-20260803T194945Z/episode.mp4,False,,
5,task01-episode000-init000-seed7,spatial,1,0,0,7,92,completed,succeeded,1,1,0,0,0,0,1,completed,True,105,21,16.247896129265428,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task01-episode000-init000-seed7/episode-libero-spatial-task01-seed7-20260803T194958Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task01-episode000-init000-seed7/episode-libero-spatial-task01-seed7-20260803T194958Z/episode.mp4,False,,
6,task01-episode001-init001-seed7,spatial,1,1,1,7,93,completed,succeeded,1,1,0,0,0,0,1,completed,True,98,20,15.611083995550871,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task01-episode001-init001-seed7/episode-libero-spatial-task01-seed7-20260803T195015Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task01-episode001-init001-seed7/episode-libero-spatial-task01-seed7-20260803T195015Z/episode.mp4,False,,
7,task01-episode002-init002-seed7,spatial,1,2,2,7,94,completed,succeeded,1,1,0,0,0,0,1,completed,True,110,22,17.096751745790243,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task01-episode002-init002-seed7/episode-libero-spatial-task01-seed7-20260803T195030Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task01-episode002-init002-seed7/episode-libero-spatial-task01-seed7-20260803T195030Z/episode.mp4,False,,
8,task01-episode003-init003-seed7,spatial,1,3,3,7,95,completed,succeeded,1,1,0,0,0,0,1,completed,True,101,21,17.010840067639947,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task01-episode003-init003-seed7/episode-libero-spatial-task01-seed7-20260803T195047Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task01-episode003-init003-seed7/episode-libero-spatial-task01-seed7-20260803T195047Z/episode.mp4,False,,
9,task01-episode004-init004-seed7,spatial,1,4,4,7,96,completed,succeeded,1,1,0,0,0,0,1,completed,True,109,22,16.952557941898704,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task01-episode004-init004-seed7/episode-libero-spatial-task01-seed7-20260803T195104Z,/home/jovyan/work/himoe-vla-cache/himoe-libero-bridge/formal-artifacts/wrist-layout-paper-right-spatial-replan5-10x5-v1/batch-libero-spatial-20260803T194850124567Z/episodes/task01-episode004-init004-seed7/episode-libero-spatial-task01-seed7-20260803T195104Z/episode.mp4,False,,
