corpus,control_variant,comparison,family,model_a,model_b,auc_a,auc_b,delta,delta_ci95_lo,delta_ci95_hi,n_groups,n_pairs,p_point_signflip,p_maxT_family,p_maxT_family_stud,p_maxT_all12,p_maxT_all12_stud,family_size,family_size_all
A,matched,increment_full,increment,route4+phys16,phys16,0.9739884393063584,0.8872832369942196,0.08670520231213874,0.025294310819206533,0.15824468085106383,16,692,0.009999000099990002,0.5415458454154585,0.07079292070792921,0.5923407659234077,0.1837816218378162,4,12
A,matched,increment_full_clean,increment,route4+phys13_clean,phys13_clean,0.9739884393063584,0.888728323699422,0.08526011560693636,0.018817107044489054,0.1559227568158465,16,692,0.015998400159984,0.5531446855314468,0.0827917208279172,0.6026397360263973,0.22137786221377861,4,12
A,matched,increment_canon,increment,route2+phys3_canon,phys3_canon,0.9436416184971098,0.6950867052023122,0.24855491329479762,0.1535681216931217,0.3337347506570196,16,692,0.0014998500149985001,0.059994000599940006,0.0045995400459954,0.06009399060093991,0.0052994700529947,4,12
A,matched,increment_canon_clean,increment,route2+phys2_canon_clean,phys2_canon_clean,0.9436416184971098,0.5375722543352601,0.4060693641618497,0.3212841001310943,0.4597159334496144,16,692,0.0007999200079992001,0.0006999300069993001,0.0006999300069993001,0.0007999200079992001,0.0007999200079992001,4,12
A,matched,physinc_full,physinc,route4+phys16,route4,0.9739884393063584,0.9046242774566474,0.06936416184971095,0.034652513328255904,0.12213863184507005,16,692,0.0006999300069993001,0.0007999200079992001,0.0013998600139986002,0.7238276172382762,0.009599040095990401,4,12
A,matched,physinc_full_clean,physinc,route4+phys13_clean,route4,0.9739884393063584,0.9046242774566474,0.06936416184971095,0.034916201117318434,0.1220562307071943,16,692,0.000999900009999,0.0007999200079992001,0.0013998600139986002,0.7238276172382762,0.0091990800919908,4,12
A,matched,physinc_canon,physinc,route2+phys3_canon,route2_canon,0.9436416184971098,0.9248554913294798,0.018786127167630062,-0.0038761571460826367,0.04153378333538741,16,692,0.1690830916908309,0.6009399060093991,0.26347365263473654,0.9993000699930007,0.5633436656334366,4,12
A,matched,physinc_canon_clean,physinc,route2+phys2_canon_clean,route2_canon,0.9436416184971098,0.9248554913294798,0.018786127167630062,-0.005666124774658769,0.04505856417672865,16,692,0.2116788321167883,0.6009399060093991,0.3330666933306669,0.9993000699930007,0.6484351564843516,4,12
A,matched,route_vs_phys_full,duel,route4,phys16,0.9046242774566474,0.8872832369942196,0.017341040462427793,-0.06365265819543578,0.09722357328145265,16,692,0.7391260873912608,0.993000699930007,0.9511048895110489,0.9998000199980002,0.996000399960004,4,12
A,matched,route_vs_phys_full_clean,duel,route4,phys13_clean,0.9046242774566474,0.888728323699422,0.01589595375722541,-0.06947188401538248,0.09728165969316595,16,692,0.7526247375262474,0.9947005299470053,0.9622037796220378,0.9999000099990001,0.9976002399760024,4,12
A,matched,route_vs_phys_canon,duel,route2_canon,phys3_canon,0.9248554913294798,0.6950867052023122,0.22976878612716756,0.13050663227708179,0.31735210666015806,16,692,0.0046995300469953,0.07379262073792621,0.006899310068993101,0.08499150084991501,0.009599040095990401,4,12
A,matched,route_vs_phys_canon_clean,duel,route2_canon,phys2_canon_clean,0.9248554913294798,0.5375722543352601,0.3872832369942196,0.2906190887014315,0.4477419737951115,16,692,0.0008999100089991,0.0007999200079992001,0.0008999100089991,0.0014998500149985001,0.000999900009999,4,12
A,pooled,increment_full,increment,route4+phys16,phys16,0.987457627118644,0.9407457627118644,0.04671186440677966,0.02558092311110121,0.07627391850560743,21,29500,0.00029997000299970003,0.38996100389961,0.0021997800219978004,0.39306069393060694,0.004399560043995601,4,12
A,pooled,increment_full_clean,increment,route4+phys13_clean,phys13_clean,0.986271186440678,0.9399661016949152,0.04630508474576278,0.024254787552888308,0.07303325210173632,21,29500,0.00019998000199980003,0.39406059394060594,0.0023997600239976003,0.397960203979602,0.0045995400459954,4,12
A,pooled,increment_canon,increment,route2+phys3_canon,phys3_canon,0.9731864406779661,0.868,0.10518644067796612,0.08786794145014498,0.1265279768423902,21,29500,9.999000099990002e-05,0.045295470452954706,9.999000099990002e-05,0.0466953304669533,9.999000099990002e-05,4,12
A,pooled,increment_canon_clean,increment,route2+phys2_canon_clean,phys2_canon_clean,0.9729491525423729,0.7667118644067796,0.20623728813559328,0.1731033313353185,0.25160497102350793,21,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,4,12
A,pooled,physinc_full,physinc,route4+phys16,route4,0.987457627118644,0.9550508474576271,0.032406779661016905,0.023343281110537736,0.040050181804088834,21,29500,0.00019998000199980003,0.00019998000199980003,0.0006999300069993001,0.5803419658034197,0.001999800019998,4,12
A,pooled,physinc_full_clean,physinc,route4+phys13_clean,route4,0.986271186440678,0.9550508474576271,0.031220338983050877,0.022421997191031492,0.03872354491813054,21,29500,0.00019998000199980003,0.0005999400059994001,0.0006999300069993001,0.6011398860113989,0.001999800019998,4,12
A,pooled,physinc_canon,physinc,route2+phys3_canon,route2_canon,0.9731864406779661,0.9440338983050848,0.02915254237288134,0.02240965373116198,0.035503554522028115,21,29500,9.999000099990002e-05,0.0013998600139986002,9.999000099990002e-05,0.6396360363963604,0.00029997000299970003,4,12
A,pooled,physinc_canon_clean,physinc,route2+phys2_canon_clean,route2_canon,0.9729491525423729,0.9440338983050848,0.028915254237288135,0.022118288722899275,0.03493998853767363,21,29500,9.999000099990002e-05,0.0013998600139986002,0.00029997000299970003,0.6441355864413558,0.0004999500049995,4,12
A,pooled,route_vs_phys_full,duel,route4,phys16,0.9550508474576271,0.9407457627118644,0.014305084745762753,-0.01013487182942808,0.04850754517840766,21,29500,0.3370662933706629,0.8847115288471152,0.6702329767023297,0.925007499250075,0.7644235576442355,4,12
