corpus,control_variant,block,feature,leak_flagged,auc_loop_high,det_auc,ci95_lo,ci95_hi,n_groups,n_events,n_pairs,p_point_permset,p_maxT_permset,p_point_signflip,p_maxT_signflip,p_maxT_signflip_stud,family_size
A,matched,route,route_lfv_w2,0,0.8771676300578035,0.8771676300578035,0.8021486960678278,0.9367276557732137,16,121,692,9.999000099990002e-05,9.999000099990002e-05,0.00019998000199980003,0.0012998700129987,0.0007999200079992001,20
A,matched,route,route_lfv_w4,0,0.9234104046242775,0.9234104046242775,0.8637804203539824,0.9642857142857143,16,121,692,9.999000099990002e-05,9.999000099990002e-05,0.00019998000199980003,0.00029997000299970003,0.00019998000199980003,20
A,matched,route,route_acc_w2,0,0.8916184971098265,0.8916184971098265,0.8323463883677299,0.9378110497930515,16,121,692,9.999000099990002e-05,9.999000099990002e-05,0.00019998000199980003,0.0008999100089991,0.00029997000299970003,20
A,matched,route,route_acc_w4,0,0.9248554913294798,0.9248554913294798,0.8663569957839004,0.9628778576180531,16,121,692,9.999000099990002e-05,9.999000099990002e-05,0.00019998000199980003,0.00019998000199980003,0.00019998000199980003,20
A,matched,phys,phys_eef_speed_mean_w2,0,0.48554913294797686,0.5144508670520231,0.44325362496479875,0.5289768990418151,16,121,692,0.6922307769223077,1.0,0.5096490350964904,1.0,0.9987001299870013,20
A,matched,phys,phys_eef_speed_mean_w4,0,0.523121387283237,0.523121387283237,0.48519691938993353,0.5636676315722209,16,121,692,0.5136486351364864,0.9998000199980002,0.25837416258374163,1.0,0.9031096890310969,20
A,matched,phys,phys_eef_speed_var_w2,0,0.5086705202312138,0.5086705202312138,0.4470525657071339,0.5659041539059975,16,121,692,0.8218178182181782,1.0,0.791920807919208,1.0,1.0,20
A,matched,phys,phys_eef_speed_var_w4,0,0.2904624277456647,0.7095375722543353,0.2206293190628687,0.37429236115494635,16,121,692,9.999000099990002e-05,9.999000099990002e-05,0.0021997800219978004,0.1255874412558744,0.0115988401159884,20
A,matched,phys,phys_eef_path_len_w2,0,0.48554913294797686,0.5144508670520231,0.4431476147544503,0.5298324456566572,16,121,692,0.6922307769223077,1.0,0.5096490350964904,1.0,0.9987001299870013,20
A,matched,phys,phys_eef_path_len_w4,0,0.523121387283237,0.523121387283237,0.4869021098538425,0.5626189259849145,16,121,692,0.5136486351364864,0.9998000199980002,0.25837416258374163,1.0,0.9031096890310969,20
A,matched,phys,phys_eef_tortuosity_w2,1,0.2976878612716763,0.7023121387283238,0.20689655172413793,0.38753946655356847,16,121,692,9.999000099990002e-05,9.999000099990002e-05,0.0017998200179982,0.14208579142085792,0.0170982901709829,20
A,matched,phys,phys_eef_tortuosity_w4,1,0.3020231213872832,0.6979768786127167,0.21601150197243255,0.3966488177451607,16,121,692,9.999000099990002e-05,9.999000099990002e-05,0.004399560043995601,0.15358464153584642,0.029197080291970802,20
A,matched,phys,phys_grip_change_w2,0,0.19219653179190752,0.8078034682080925,0.12598425196850394,0.27469220594220595,16,121,692,9.999000099990002e-05,9.999000099990002e-05,0.00019998000199980003,0.015198480151984802,0.0021997800219978004,20
A,matched,phys,phys_grip_change_w4,0,0.12427745664739884,0.8757225433526011,0.05089291959060919,0.21747479725314162,16,121,692,9.999000099990002e-05,9.999000099990002e-05,0.00019998000199980003,0.0014998500149985001,0.0007999200079992001,20
A,matched,phys,phys_obj_disp_w2,0,0.1365606936416185,0.8634393063583815,0.06949926900584796,0.20796876342469278,16,121,692,9.999000099990002e-05,9.999000099990002e-05,0.00019998000199980003,0.0033996600339966003,0.00019998000199980003,20
A,matched,phys,phys_obj_disp_w4,0,0.13800578034682082,0.8619942196531791,0.0665680463624166,0.21471135532053529,16,121,692,9.999000099990002e-05,9.999000099990002e-05,0.00019998000199980003,0.0033996600339966003,0.00019998000199980003,20
A,matched,phys,phys_goal_rate_w2,0,0.5144508670520231,0.5144508670520231,0.46681006054993085,0.5577189968991589,16,121,692,0.4330566943305669,1.0,0.6227377262273772,1.0,0.9989001099890011,20
A,matched,phys,phys_goal_rate_w4,0,0.5130057803468208,0.5130057803468208,0.45933002487278807,0.5680979880774962,16,121,692,0.48455154484551544,1.0,0.7068293170682932,1.0,0.9999000099990001,20
A,matched,phys,phys_goal_dist,0,0.4956647398843931,0.5043352601156069,0.42091779844898947,0.5539173940949935,16,121,692,0.8267173282671733,1.0,0.9769023097690231,1.0,1.0,20
A,matched,phys,phys_eef_return_dist,1,0.6011560693641619,0.6011560693641619,0.5386843246368432,0.6687805826947898,16,121,692,0.004199580041995801,0.038696130386961305,0.011898810118988102,0.5893410658934106,0.11918808119188082,20
A,pooled,route,route_lfv_w2,0,0.9513559322033899,0.9513559322033899,0.939397841576568,0.9607874206445386,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,20
A,pooled,route,route_lfv_w4,0,0.9410508474576271,0.9410508474576271,0.9186162876149744,0.9562160094310391,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,20
A,pooled,route,route_acc_w2,0,0.9548813559322034,0.9548813559322034,0.942910987141266,0.9647934338457328,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,20
A,pooled,route,route_acc_w4,0,0.9544745762711865,0.9544745762711865,0.941778336581778,0.9640716673692129,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,20
A,pooled,phys,phys_eef_speed_mean_w2,0,0.23288135593220338,0.7671186440677966,0.19938429787215914,0.27016049559847954,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.024297570242975703,9.999000099990002e-05,20
A,pooled,phys,phys_eef_speed_mean_w4,0,0.2781016949152542,0.7218983050847458,0.23849198338289118,0.3211027759568814,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.06869313068693131,0.00039996000399960006,20
A,pooled,phys,phys_eef_speed_var_w2,0,0.5907457627118644,0.5907457627118644,0.5109119516891797,0.652318133051994,21,172,29500,9.999000099990002e-05,0.0007999200079992001,0.0575942405759424,0.5514448555144486,0.22607739226077392,20
A,pooled,phys,phys_eef_speed_var_w4,0,0.32237288135593223,0.6776271186440678,0.25297878081665454,0.3877748947636044,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,0.00019998000199980003,0.15628437156284372,0.00039996000399960006,20
A,pooled,phys,phys_eef_path_len_w2,0,0.23288135593220338,0.7671186440677966,0.2002402509775761,0.2710083448128859,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.024297570242975703,9.999000099990002e-05,20
A,pooled,phys,phys_eef_path_len_w4,0,0.2781016949152542,0.7218983050847458,0.2389862185795049,0.3210390008510914,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.06869313068693131,0.00039996000399960006,20
A,pooled,phys,phys_eef_tortuosity_w2,1,0.2307457627118644,0.7692542372881356,0.17469669094262302,0.304667508068901,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,0.00019998000199980003,0.023697630236976304,0.0012998700129987,20
A,pooled,phys,phys_eef_tortuosity_w4,1,0.272135593220339,0.727864406779661,0.20811324528414407,0.3433247868346261,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.0603939606039396,0.0010998900109989002,20
A,pooled,phys,phys_grip_change_w2,0,0.3303728813559322,0.6696271186440679,0.2668945809199402,0.383273083855225,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.17968203179682032,0.00029997000299970003,20
A,pooled,phys,phys_grip_change_w4,0,0.162135593220339,0.837864406779661,0.12075889275437003,0.20670731876609455,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.0028997100289971,9.999000099990002e-05,20
A,pooled,phys,phys_obj_disp_w2,0,0.19628813559322034,0.8037118644067797,0.14306836987991223,0.24707104532078708,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.010198980101989802,9.999000099990002e-05,20
A,pooled,phys,phys_obj_disp_w4,0,0.14511864406779662,0.8548813559322034,0.0988156981870733,0.19667876160372894,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.0017998200179982,9.999000099990002e-05,20
A,pooled,phys,phys_goal_rate_w2,0,0.48591525423728815,0.5140847457627118,0.473218579310778,0.4950928532588035,21,172,29500,0.12498750124987501,0.9999000099990001,0.0035996400359964,1.0,0.0775922407759224,20
A,pooled,phys,phys_goal_rate_w4,0,0.4801864406779661,0.5198135593220339,0.45860535798664415,0.49325360205616003,21,172,29500,0.030596940305969402,0.9932006799320068,0.0004999500049995,0.9992000799920008,0.12258774122587741,20
A,pooled,phys,phys_goal_dist,0,0.737271186440678,0.737271186440678,0.6936943283937027,0.7789837295824958,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,0.0484951504849515,9.999000099990002e-05,20
A,pooled,phys,phys_eef_return_dist,1,0.6354237288135594,0.6354237288135594,0.5476333342214508,0.7086009907437513,21,172,29500,9.999000099990002e-05,9.999000099990002e-05,0.012698730126987301,0.29817018298170184,0.06529347065293471,20
H,matched,route,route_lfv_w2,0,0.5,0.5,0.0,1.0,4,4,4,1.0,1.0,1.0,1.0,1.0,20
H,matched,route,route_lfv_w4,0,0.5,0.5,0.0,1.0,4,4,4,1.0,1.0,1.0,1.0,1.0,20
H,matched,route,route_acc_w2,0,0.5,0.5,0.0,1.0,4,4,4,1.0,1.0,1.0,1.0,1.0,20
H,matched,route,route_acc_w4,0,0.5,0.5,0.0,1.0,4,4,4,1.0,1.0,1.0,1.0,1.0,20
H,matched,phys,phys_eef_speed_mean_w2,0,0.75,0.75,0.25,1.0,4,4,4,0.6326367363263674,1.0,0.631036896310369,1.0,1.0,20
H,matched,phys,phys_eef_speed_mean_w4,0,0.75,0.75,0.25,1.0,4,4,4,0.6326367363263674,1.0,0.631036896310369,1.0,1.0,20
H,matched,phys,phys_eef_speed_var_w2,0,0.25,0.75,0.0,0.75,4,4,4,0.6246375362463754,1.0,0.6301369863013698,1.0,1.0,20
H,matched,phys,phys_eef_speed_var_w4,0,0.5,0.5,0.0,1.0,4,4,4,1.0,1.0,1.0,1.0,1.0,20
H,matched,phys,phys_eef_path_len_w2,0,0.75,0.75,0.25,1.0,4,4,4,0.6326367363263674,1.0,0.631036896310369,1.0,1.0,20
