candidate,episode_id,outcome,relative_query,query,eef_displacement_from_event_m,pot_displacement_from_event_m,eef_pot_separation_m,coupling_ratio_pot_over_eef,gripper_command_mean
6,100000006,belief_trap,-4,27,0.036628056317567825,0.016582634299993515,0.11105337738990784,0.45273039214041033,-1.003862977027893
6,100000006,belief_trap,-3,28,0.01821606047451496,0.008234096691012383,0.09886534512042999,0.45202400939172505,-0.8024535179138184
6,100000006,belief_trap,-2,29,0.007339314091950655,0.003072678344324231,0.09600940346717834,0.41866015077542074,-0.7991410493850708
6,100000006,belief_trap,-1,30,0.001775864278897643,0.0004523030074778944,0.09445717185735703,0.25469458046572047,-0.5946427583694458
6,100000006,belief_trap,0,31,0.0,0.0,0.094167061150074,0.0,0.5815578699111938
6,100000006,belief_trap,1,32,0.005548147484660149,0.009133636020123959,0.1012650728225708,1.646249679803427,0.9831933975219727
6,100000006,belief_trap,2,33,0.07139311730861664,0.014723097905516624,0.1707642525434494,0.20622573240319417,1.0113801956176758
6,100000006,belief_trap,3,34,0.15076735615730286,0.014723069034516811,0.24948816001415253,0.09765422310089143,0.9902650117874146
6,100000006,belief_trap,4,35,0.2209416627883911,0.014723069034516811,0.3197248876094818,0.06663781221117161,0.9907703399658203
6,100000006,belief_trap,5,36,0.28019076585769653,0.014723069034516811,0.37837737798690796,0.052546589069228544,0.9729512929916382
6,100000006,belief_trap,6,37,0.32543179392814636,0.014723069034516811,0.4227103292942047,0.045241642977783506,0.9733794331550598
6,100000006,belief_trap,7,38,0.3606281280517578,0.014723069034516811,0.4561612606048584,0.040826180459234,0.9570640325546265
6,100000006,belief_trap,8,39,0.3876829445362091,0.014723069034516811,0.4803590774536133,0.03797708731326894,0.7802903056144714
3,100000003,success,-4,25,0.17443333566188812,0.005098837893456221,0.2353915572166443,0.029230868481122923,-0.991990864276886
3,100000003,success,-3,26,0.11889290064573288,0.005098837893456221,0.18024013936519623,0.04288597440018148,-0.9929490089416504
