relative_query,layer_group,token_type,failed_value,success_mean,success_min,success_max,failed_over_success_mean,relation_to_success_range
-4,front,state,0.11015163362026215,0.10979258375508445,0.06974479556083679,0.14165934920310974,1.0032702560855897,inside
-4,front,action,0.026161689311265945,0.023258085761751448,0.018906492739915848,0.02659052051603794,1.1248427570204231,inside
-4,back,state,0.07849203050136566,0.0675607297037329,0.05007622390985489,0.08266369253396988,1.1617996259893677,inside
-4,back,action,0.032117702066898346,0.028476995016847337,0.02418452315032482,0.03236113861203194,1.1278473043906887,inside
-3,front,state,0.09648681432008743,0.09428781856383596,0.05291640758514404,0.13783560693264008,1.0233221617569048,inside
-3,front,action,0.03151782229542732,0.022794035396405628,0.01948988065123558,0.024895694106817245,1.3827223546558738,above_all
-3,back,state,0.06932449340820312,0.06453794826354299,0.041945334523916245,0.09146048128604889,1.0741663668190087,inside
-3,back,action,0.0409698486328125,0.02661216844405447,0.023964665830135345,0.031130235642194748,1.5395156061386548,above_all
-2,front,state,0.07871481776237488,0.08470481314829417,0.05949399620294571,0.10927917063236237,0.9292838840759555,inside
-2,front,action,0.02931806445121765,0.026367135612027987,0.022412851452827454,0.03307304158806801,1.111916928809041,inside
-2,back,state,0.0642160028219223,0.05520003927605493,0.042521536350250244,0.08356288820505142,1.1633325567175525,inside
-2,back,action,0.037817202508449554,0.029734219291380475,0.026654262095689774,0.035381119698286057,1.2718411113424533,above_all
-1,front,state,0.09527450799942017,0.06726506033114024,0.045886047184467316,0.09019134938716888,1.4164041112933188,above_all
-1,front,action,0.04660452902317047,0.026789208874106407,0.02285991981625557,0.04194289445877075,1.7396754507452783,above_all
-1,back,state,0.0671883374452591,0.042312802746891975,0.026859553530812263,0.06090959161520004,1.5878961705082113,above_all
-1,back,action,0.0419904999434948,0.02550779256437506,0.01976921223104,0.029996264725923538,1.6461832139147932,above_all
0,front,state,0.11602489650249481,0.078901899180242,0.04946605861186981,0.13112951815128326,1.4704956117399626,inside
0,front,action,0.0447869598865509,0.022662540365542685,0.021323468536138535,0.02394828572869301,1.9762550519114506,above_all
0,back,state,0.06849147379398346,0.04664915959749903,0.029619991779327393,0.06806748360395432,1.4682252453194342,above_all
0,back,action,0.04448336735367775,0.027033567428588867,0.02371295355260372,0.03294074162840843,1.645486392840449,above_all
1,front,state,0.1401723176240921,0.1341307833790779,0.07755062729120255,0.1836339682340622,1.0450421155592577,inside
1,front,action,0.024740930646657944,0.022558364484991347,0.02019166573882103,0.02430994249880314,1.0967519681277742,above_all
1,back,state,0.07444346696138382,0.049834849046809335,0.038978997617959976,0.06116852909326553,1.4938034003365772,above_all
1,back,action,0.04744841530919075,0.03152706128145967,0.025825679302215576,0.037077777087688446,1.505005965687454,above_all
2,front,state,0.16466505825519562,0.08130646603448051,0.05398645997047424,0.11052945256233215,2.0252393971392673,above_all
2,front,action,0.021309882402420044,0.01979346014559269,0.01672125980257988,0.02181922271847725,1.0766122873753838,inside
2,back,state,0.05583050847053528,0.0408459726188864,0.033075518906116486,0.050023581832647324,1.3668546711192846,above_all
2,back,action,0.042619988322257996,0.032382008752652576,0.026966562494635582,0.03935956209897995,1.31616258422408,above_all
3,front,state,0.14779052138328552,0.09089625201054982,0.05626978725194931,0.11993464827537537,1.625925361214369,above_all
3,front,action,0.024112742394208908,0.019189516082406044,0.016471996903419495,0.02360348030924797,1.256558127399405,above_all
3,back,state,0.0628960132598877,0.04169251450470516,0.03560073673725128,0.05380535498261452,1.5085684806271313,above_all
3,back,action,0.04164478927850723,0.03150503763130733,0.026571089401841164,0.03843772038817406,1.3218454066255036,above_all
4,front,state,0.13250526785850525,0.10281272977590561,0.06574153900146484,0.14532910287380219,1.288802156574566,inside
4,front,action,0.024927927181124687,0.019430013107401983,0.01565280184149742,0.021674243733286858,1.2829598746708122,above_all
4,back,state,0.06686853617429733,0.04829038839255061,0.03953482210636139,0.06289716064929962,1.3847172988282,above_all
4,back,action,0.0387362465262413,0.031039351331336156,0.025716448202729225,0.03689298778772354,1.2479721664522883,above_all
5,front,state,0.11638818681240082,0.11690848852906909,0.0753023624420166,0.1851891428232193,0.9955494958217778,inside
