paired_record_index,candidate,outcome,relative_query,previous_query,current_query,base_mae_u8,base_rmse_u8,base_changed_pixel_fraction,base_changed_gt8_fraction,wrist_mae_u8,wrist_rmse_u8,wrist_changed_pixel_fraction,wrist_changed_gt8_fraction,policy_state_delta_l2,eef_position_delta_m,gripper_state_delta
1,6,failed_grasp,-2,28,29,2.7818877696990967,14.63889217376709,0.1022201849489796,0.06487165178571429,4.686649799346924,15.710736274719238,0.7239516900510204,0.09333147321428571,0.029252488166093826,0.010975828394293785,0.00034711408079601824
2,6,failed_grasp,-1,29,30,1.7573474645614624,9.933797836303711,0.09741709183673469,0.04978475765306122,3.6527822017669678,12.782428741455078,0.700554049744898,0.06375558035714286,0.023486660793423653,0.005567214451730251,0.0005297737661749125
3,6,failed_grasp,0,30,31,0.4332881569862366,2.5737011432647705,0.08248963647959184,0.013731664540816327,3.2520394325256348,14.198291778564453,0.6277503188775511,0.04165338010204082,0.015762384980916977,0.001775864278897643,0.0020949821919202805
4,6,failed_grasp,1,31,32,2.05953049659729,12.091936111450195,0.09518494897959184,0.05004384566326531,11.297964096069336,36.61301803588867,0.6573062818877551,0.12751116071428573,0.040929872542619705,0.005548147018998861,0.036139532923698425
5,6,failed_grasp,2,32,33,11.210930824279785,40.693084716796875,0.1421795280612245,0.11766581632653061,11.95701789855957,36.60466766357422,0.7788185586734694,0.15467554209183673,0.11928187310695648,0.06641034781932831,0.016608698293566704
13,3,success,-2,26,27,7.542882442474365,33.15568161010742,0.10196109693877552,0.08444276147959184,12.00667667388916,35.89612579345703,0.7586894132653061,0.1634845344387755,0.08448424935340881,0.06478636711835861,1.8069134966935962e-05
14,3,success,-1,27,28,7.423834800720215,31.615896224975586,0.12222975127551021,0.09271364795918367,10.122316360473633,31.713029861450195,0.7482262436224489,0.16761001275510204,0.05799331143498421,0.05053187906742096,0.0003521369944792241
15,3,success,0,28,29,3.9867067337036133,18.80352020263672,0.10371492346938775,0.07979910714285714,7.6597442626953125,24.8890438079834,0.7296316964285714,0.12222975127551021,0.03950002044439316,0.016771238297224045,0.005519800819456577
16,3,success,1,29,30,1.7813230752944946,9.676825523376465,0.09532445790816327,0.05102040816326531,9.678119659423828,32.87306213378906,0.6932796556122449,0.12228954081632654,0.04344857484102249,0.009575081057846546,0.034459084272384644
17,3,success,2,30,31,8.612378120422363,33.41980743408203,0.13165656887755103,0.10861766581632654,10.735026359558105,33.29563903808594,0.7572345344387755,0.18708147321428573,0.061811719089746475,0.048045214265584946,0.01881822757422924
25,4,success,-2,30,31,7.6212663650512695,33.103816986083984,0.09943000637755102,0.08199139030612244,10.806779861450195,33.511802673339844,0.7574338329081632,0.14471061862244897,0.14500541985034943,0.054222650825977325,2.097892138408497e-05
26,4,success,-1,31,32,7.224994659423828,31.40585708618164,0.11926020408163265,0.08376514668367346,9.684012413024902,31.064617156982422,0.7496014030612245,0.14359454719387754,0.06277774274349213,0.04494697228074074,0.0005293414578773081
27,4,success,0,32,33,4.922545909881592,22.719341278076172,0.10668447066326531,0.08272879464285714,7.570897102355957,25.769977569580078,0.7116151147959183,0.11172672193877552,0.035434361547231674,0.019798865541815758,0.00882723554968834
28,4,success,1,33,34,1.9366430044174194,10.471343040466309,0.09540417729591837,0.052834024234693876,9.643827438354492,32.945987701416016,0.7012316645408163,0.12645487882653061,0.042156293988227844,0.011869379319250584,0.03125990554690361
29,4,success,2,34,35,8.307271957397461,32.76796340942383,0.13058035714285715,0.10600685586734694,10.708466529846191,33.062252044677734,0.7640904017857143,0.17994658801020408,0.06540082395076752,0.050832126289606094,0.019024576991796494
37,7,success,-2,27,28,7.546523094177246,33.31241226196289,0.10122369260204081,0.0833266900510204,12.702486991882324,37.675724029541016,0.7569555165816326,0.16131218112244897,0.09139780700206757,0.058021318167448044,1.4069182725506835e-05
38,7,success,-1,28,29,6.715435028076172,29.758577346801758,0.11941964285714286,0.08514030612244898,9.644683837890625,31.293596267700195,0.7446388711734694,0.15029097576530612,0.05258798971772194,0.043674904853105545,0.0002896190853789449
39,7,success,0,29,30,2.8225181102752686,14.263893127441406,0.09889190051020408,0.0692562181122449,7.6161112785339355,25.185625076293945,0.7248485331632653,0.11900111607142858,0.05635501816868782,0.013573218137025833,0.009714724496006966
40,7,success,1,30,31,3.237457513809204,16.197900772094727,0.10070551658163265,0.0673030931122449,11.861274719238281,36.843963623046875,0.6816007653061225,0.14736128826530612,0.04607187956571579,0.009966421872377396,0.03214797377586365
41,7,success,2,31,32,8.521278381347656,33.62335968017578,0.12890625,0.10544882015306123,8.12389087677002,27.260459899902344,0.7543845663265306,0.1543765943877551,0.07172966003417969,0.05163814127445221,0.010011449456214905
49,8,success,-2,30,31,9.509506225585938,37.170711517333984,0.11930006377551021,0.09841358418367346,11.74151611328125,35.3980712890625,0.7544244260204082,0.17265226403061223,0.07496371120214462,0.05096090957522392,1.3694168046640698e-05
50,8,success,-1,31,32,4.307470798492432,20.68337631225586,0.11240433673469388,0.08079559948979592,5.5083770751953125,19.1285400390625,0.7093032525510204,0.10495057397959184,0.05108383670449257,0.01272549293935299,8.525980956619605e-05
51,8,success,0,32,33,2.412508010864258,12.497586250305176,0.10046635841836735,0.06546954719387756,9.934676170349121,30.402999877929688,0.735710299744898,0.16067442602040816,0.07036285102367401,0.01876172237098217,0.01177031360566616
52,8,success,1,33,34,3.719759702682495,18.49970245361328,0.11134805484693877,0.0719467474489796,13.103004455566406,37.870635986328125,0.6923429528061225,0.16579639668367346,0.03174559772014618,0.010157989338040352,0.029506251215934753
53,8,success,2,34,35,11.26480770111084,39.82917404174805,0.14863679846938777,0.12643494897959184,3.481717586517334,8.371042251586914,0.7537268813775511,0.10600685586734694,0.06649000197649002,0.062224842607975006,0.0014451813185587525
61,10,success,-2,29,30,7.515133380889893,32.28448486328125,0.10263871173469388,0.08472177933673469,8.68179988861084,28.224042892456055,0.752311862244898,0.12902582908163265,0.07174147665500641,0.051657021045684814,1.4702631006002775e-06
62,10,success,-1,30,31,6.9931440353393555,30.613525390625,0.12179129464285714,0.08480149872448979,6.71973991394043,23.885269165039062,0.7410514987244898,0.11429767219387756,0.04161328449845314,0.03920955955982208,0.0002933229261543602
63,10,success,0,31,32,2.9012410640716553,15.657926559448242,0.10208067602040816,0.06521045918367346,5.9392805099487305,22.20653533935547,0.6689253826530612,0.0819515306122449,0.03846222162246704,0.013186073862016201,0.008450035005807877
64,10,success,1,32,33,1.070837378501892,6.3163323402404785,0.09056122448979592,0.03535554846938776,6.42772102355957,25.513099670410156,0.6160514987244898,0.07716836734693877,0.031669873744249344,0.0041085947304964066,0.030078111216425896
65,10,success,2,33,34,7.583698749542236,30.389015197753906,0.1256377551020408,0.10231983418367346,9.934863090515137,31.84874153137207,0.7361686862244898,0.15874123086734693,0.05745640769600868,0.03258173167705536,0.02915351465344429
