paired_record_index,candidate,episode_id,outcome,relative_query,previous_query,current_query,front_state_total_h,front_state_vision_h,front_state_proprio_h,front_state_vision_fraction,back_action_total_h,back_action_vision_h,back_action_proprio_h,back_action_noise_h,back_action_total_to_noise,back_action_vision_to_noise,back_action_proprio_to_noise,back_action_vision_fraction,back_action_total_over_sum_marginal
1,6,100000006,failed_grasp,-2,28,29,0.08558034151792526,0.07726002857089043,0.018544800579547882,0.8064314633824172,0.023119136691093445,0.02275790274143219,0.0026080390671268106,0.019781277514994144,1.168738301839667,1.1504768953462068,0.13184381368442585,0.897183432540762,0.9114243368362757
2,6,100000006,failed_grasp,-1,29,30,0.041332900524139404,0.04458553530275822,0.01723121479153633,0.7212533048849699,0.010667982511222363,0.01128688594326377,0.0031021266477182508,0.019885988906025887,0.5364572293404897,0.5675798169556253,0.15599559380113298,0.7844100400841656,0.7413978161300848
3,6,100000006,failed_grasp,0,30,31,0.14166957139968872,0.11380470916628838,0.035167837515473366,0.7639307489949834,0.028727219440042973,0.026477333158254623,0.007635073969140649,0.023373783566057682,1.2290359136275781,1.1327790848848183,0.32665117941059174,0.776178973807773,0.8421340462066801
4,6,100000006,failed_grasp,1,31,32,0.31676262617111206,0.12767810747027397,0.31112295389175415,0.29097037065946046,0.04576962627470493,0.037244437262415886,0.03943539783358574,0.02207754459232092,2.073130283275463,1.6869827668866022,1.7862220895389918,0.48571358057547454,0.596892601782493
5,6,100000006,failed_grasp,2,32,33,0.20742349326610565,0.07522542029619217,0.2221187725663185,0.2529910524634854,0.03881203942000866,0.031977396458387375,0.02132992632687092,0.01807174924761057,2.1476636759521415,1.7694688001835461,1.1802911845786672,0.5998687382445412,0.7280808225233516
13,3,100000003,success,-2,26,27,0.06740093231201172,0.059204740449786186,0.03814942203462124,0.6081377409956007,0.01951686665415764,0.01925923116505146,0.0037384963361546397,0.015555806457996368,1.254635476910624,1.2380734626041434,0.2403280309670405,0.8374406194717031,0.8486432693462469
14,3,100000003,success,-1,27,28,0.09995508939027786,0.10131765902042389,0.023262052796781063,0.8132757536723689,0.03019724413752556,0.029680026695132256,0.0032301570754498243,0.018575597554445267,1.625640523757964,1.59779660428903,0.17389249880022437,0.9018493151552313,0.9175653453663914
15,3,100000003,success,0,28,29,0.21662399172782898,0.17506146430969238,0.07166537642478943,0.7095355486600138,0.03413463570177555,0.03310749493539333,0.008033812511712313,0.01995919831097126,1.7102207799103972,1.6587587547138434,0.4025117836168926,0.8047263684548386,0.8296925357965739
16,3,100000003,success,1,29,30,0.23780517280101776,0.11840907111763954,0.20017489045858383,0.3716730450955528,0.038967227563261986,0.025036034174263477,0.0312033174559474,0.017856252379715443,2.1822735664023454,1.4020878313023963,1.7474729183036253,0.44516932447732066,0.6928818777905223
17,3,100000003,success,2,30,31,0.225025936961174,0.06859550252556801,0.19699738919734955,0.25827311145484627,0.03141150437295437,0.027805604971945286,0.01285640150308609,0.018628020770847797,1.6862502334178346,1.492676292022397,0.6901646536279319,0.6838227471391358,0.7725025667939602
25,4,100000004,success,-2,30,31,0.07110326737165451,0.06352169439196587,0.04787959158420563,0.5702061141875241,0.020781070925295353,0.020366936922073364,0.003969757352024317,0.01552588865160942,1.3384786785226093,1.3118049072161881,0.25568632115707013,0.83688181692575,0.8538986721550473
26,4,100000004,success,-1,31,32,0.09385581314563751,0.09608602896332741,0.03046349622309208,0.7592760922791575,0.030571802519261837,0.030306117609143257,0.0037005930207669735,0.018026852048933506,1.695903557441717,1.6811652709456952,0.2052822650744452,0.8911805066641124,0.8989932267183978
27,4,100000004,success,0,32,33,0.21696573495864868,0.13594962656497955,0.12760917842388153,0.5158227461637082,0.03411571867763996,0.03208065405488014,0.019904236774891615,0.01869066059589386,1.8252815893053467,1.716400225143884,1.0649295498557374,0.617114964421692,0.6562621972094608
28,4,100000004,success,1,33,34,0.239167258143425,0.10163135454058647,0.2009316310286522,0.33590147965184297,0.03736106865108013,0.023806845769286156,0.029986051842570305,0.01890086568892002,1.9766855796971123,1.2595637766603514,1.5864909224844972,0.44256485198222345,0.6945353440645555
29,4,100000004,success,2,34,35,0.20770105719566345,0.04674320109188557,0.19769278168678284,0.1912288058432483,0.030210604891180992,0.026451297104358673,0.013054242823272943,0.018375582993030548,1.6440623898920217,1.4394807018852716,0.7104124439602341,0.6695591846817835,0.7647181875383151
37,7,100000007,success,-2,27,28,0.0747840628027916,0.07538219168782234,0.03063412755727768,0.711043283001984,0.018398861400783062,0.01827668957412243,0.002948887413367629,0.016508568078279495,1.114503772437456,1.1071032622247396,0.17862769195879033,0.8610691518489393,0.8668250296153076
38,7,100000007,success,-1,28,29,0.07745371758937836,0.07660409435629845,0.013676639646291733,0.8485098753638917,0.028633533976972103,0.02843951340764761,0.002364849322475493,0.01596741285175085,1.7932481763213377,1.7810971427678202,0.14810472707331443,0.9232300520808066,0.929528529053835
39,7,100000007,success,0,29,30,0.2236928939819336,0.15848933905363083,0.1142468973994255,0.5811084772408311,0.03607040457427502,0.03448081575334072,0.016878940165042877,0.02110604476183653,1.7090082476986264,1.6336938608075042,0.799720665596379,0.6713586374540914,0.7023087226425867
40,7,100000007,success,1,30,31,0.2259969413280487,0.11475636065006256,0.185369074344635,0.38236133052865046,0.03538043610751629,0.02730471733957529,0.027023155242204666,0.019596662372350693,1.8054317329789396,1.3933350904743882,1.3789672306816978,0.5025913226856692,0.651239123237487
41,7,100000007,success,2,31,32,0.18704445660114288,0.051716532558202744,0.15082114189863205,0.255342778556612,0.030660569667816162,0.027993731200695038,0.010369373485445976,0.017858607694506645,1.716851066572644,1.567520362144804,0.5806372849903424,0.7297045280802834,0.7992202382643067
49,8,100000008,success,-2,30,31,0.06590873003005981,0.06042574904859066,0.018926959484815598,0.7614831322758486,0.023313059471547604,0.02330639958381653,0.0025170492008328438,0.01684639696031809,1.3838602715145454,1.3834649414183378,0.1494117232760089,0.902528542108245,0.9027864428939462
50,8,100000008,success,-1,31,32,0.14529524743556976,0.14242327213287354,0.010754949413239956,0.9297879992032534,0.034484317526221275,0.03444405645132065,0.002131365123204887,0.02039989084005356,1.69041676725613,1.6884431745925077,0.10447924157614223,0.9417268473895223,0.9428276159703736
51,8,100000008,success,0,32,33,0.20617759227752686,0.07045578211545944,0.16529583930969238,0.29885598109376427,0.03128628060221672,0.020401984453201294,0.02157867792993784,0.018489777110517025,1.6920853299210956,1.1034197076176002,1.167059927275372,0.48598529168028154,0.7452545726096584
52,8,100000008,success,1,33,34,0.23764004558324814,0.1240244023501873,0.2097204029560089,0.37161448022059956,0.03542403690516949,0.033706918358802795,0.024365042336285114,0.020243612118065357,1.7498871593946987,1.6650644243831767,1.2035916413623535,0.5804336198631905,0.6100024259757063
53,8,100000008,success,2,34,35,0.0605222936719656,0.026183605194091797,0.060744162648916245,0.30121106113502777,0.02334771491587162,0.021542858332395554,0.006484414217993617,0.017365291714668274,1.3445046187246057,1.2405699072822678,0.37341234023245934,0.7686391279659648,0.8330355682628643
61,10,100000010,success,-2,29,30,0.07559585943818092,0.0647165309637785,0.03111935593187809,0.6752849382428112,0.020278732292354107,0.01974416244775057,0.0031425002962350845,0.017983241006731987,1.127646139245023,1.0979201379973378,0.17474604800428892,0.8626929434235274,0.8860502083329349
62,10,100000010,success,-1,30,31,0.08486925438046455,0.08655818924307823,0.02089093066751957,0.8055737386690398,0.030471349135041237,0.030442537739872932,0.0028476064326241612,0.0183916874229908,1.6568000768080735,1.6552335323956078,0.15483116731662527,0.9144609762616549,0.9153264394756023
63,10,100000010,success,0,31,32,0.21750906109809875,0.14501863718032837,0.11298825964331627,0.5620727157516758,0.033046675845980644,0.030657580122351646,0.01635831966996193,0.0187609251588583,1.7614630177434014,1.6341187794716048,0.8719356604990273,0.652068348319981,0.7028829819690764
64,10,100000010,success,1,32,33,0.2021816521883011,0.09318126365542412,0.17982319742441177,0.34131773263651805,0.03564162738621235,0.023415748961269855,0.028950950130820274,0.01876934338361025,1.898927770554579,1.2475529102268403,1.5424593998371194,0.4471496078088059,0.6806162695787701
65,10,100000010,success,2,33,34,0.29244838654994965,0.06797780096530914,0.2901306599378586,0.18982461568728556,0.0330759696662426,0.029041320085525513,0.016663200221955776,0.0174399446696043,1.896563910772606,1.6652185907528132,0.9554617596349204,0.6354146130436861,0.7236914301631661
73,12,100000012,success,-2,33,34,0.11931657791137695,0.12959152460098267,0.043659891933202744,0.7479969121950127,0.02441361453384161,0.02388636488467455,0.0035293701803311706,0.0179429454728961,1.3606246851008852,1.331239897081354,0.19669959905203396,0.8712647984100136,0.8904964421327478
74,12,100000012,success,-1,34,35,0.18474186211824417,0.18260905891656876,0.015832247212529182,0.9202169773956771,0.037312647327780724,0.03726714290678501,0.002288450486958027,0.017508325167000294,2.131137443009548,2.1285384267951657,0.1307064190966307,0.9421459699977597,0.9432963615629362
75,12,100000012,success,0,35,36,0.15245405584573746,0.07440705224871635,0.10777607560157776,0.40841900743881776,0.031691569834947586,0.022051047533750534,0.018810907378792763,0.019459622912108898,1.6285808814531173,1.1331693133698446,0.9666635095527741,0.5396473952591431,0.7755764476461526
76,12,100000012,success,1,36,37,0.27509069442749023,0.11836138740181923,0.22579170763492584,0.3439207408237367,0.040415020659565926,0.03142543137073517,0.029375746846199036,0.01855197548866272,2.178475315702304,1.693912941505315,1.5834295848520725,0.5168556316229844,0.6647078534459983
77,12,100000012,success,2,37,38,0.13617751002311707,0.055825814604759216,0.15181704610586166,0.2688549676772188,0.03236434422433376,0.029028157703578472,0.011601208709180355,0.018495828844606876,1.7498185399661477,1.5694434646567719,0.6272337837167598,0.7144624754587059,0.7965751642676465
85,13,100000013,success,-2,30,31,0.06650016829371452,0.0644591897726059,0.02056735008955002,0.7581067026496248,0.023297186009585857,0.022981618531048298,0.002806994831189513,0.01721013616770506,1.3536898129430952,1.3353536722256425,0.16310125636639985,0.8911537122310039,0.9033904104243099
86,13,100000013,success,-1,31,32,0.14873871207237244,0.1453658863902092,0.01076789922080934,0.9310341501125465,0.03629998303949833,0.036141162738204,0.0022231366601772606,0.020568257197737694,1.7648545859048754,1.7571329641958764,0.10808580614315655,0.9420519416478367,0.9461917357737534
87,13,100000013,success,0,32,33,0.13972678780555725,0.07838596776127815,0.09903612360358238,0.4418050038655048,0.029796761460602283,0.021547441370785236,0.01775362715125084,0.018504838459193707,1.6102146217763087,1.1644220195869843,0.959404600607597,0.5482660441841067,0.7581667008339803
88,13,100000013,success,1,33,34,0.28402453660964966,0.13457254320383072,0.24776630848646164,0.35197192911182124,0.0378238782286644,0.033212777227163315,0.030246657319366932,0.019860041327774525,1.9045216273425984,1.6723417982375905,1.5229906534517927,0.5233702043596177,0.5960323866568786
89,13,100000013,success,2,34,35,0.08886080980300903,0.03526138328015804,0.09609252959489822,0.2684456253214066,0.029614338651299477,0.028046390041708946,0.008114277850836515,0.01638493500649929,1.807412640913899,1.7117181136564774,0.4952279546801916,0.7756048678373754,0.8189654776095683
