record_index,candidate,outcome,relative_query,current_query,stored_layer,model_layer,route_replay_mean_h,route_replay_max_h,route_replay_state_h,route_replay_action_h,action_replay_rms
0,6,failed_grasp,-1,30,0,2,0.0029357571620494127,0.01131506823003292,0.01131506823003292,0.002097825752571225,0.003002940444275737
0,6,failed_grasp,-1,30,1,3,0.0040074922144412994,0.018422508612275124,0.018419921398162842,0.002566249342635274,0.003002940444275737
0,6,failed_grasp,-1,30,2,4,0.007077638525515795,0.05107150971889496,0.05104243755340576,0.002681158250197768,0.003002940444275737
0,6,failed_grasp,-1,30,3,5,0.005364098120480776,0.02294532209634781,0.022930601611733437,0.0036074472591280937,0.003002940444275737
0,6,failed_grasp,-1,30,4,12,0.004259683191776276,0.01182507909834385,0.011722249910235405,0.003513426287099719,0.003002940444275737
0,6,failed_grasp,-1,30,5,13,0.0049841199070215225,0.015006210654973984,0.014830844476819038,0.003999447915703058,0.003002940444275737
0,6,failed_grasp,-1,30,6,14,0.004458353854715824,0.01265769638121128,0.012373536825180054,0.0036668358370661736,0.003002940444275737
0,6,failed_grasp,-1,30,7,15,0.007765968795865774,0.01777370646595955,0.010572297498583794,0.0074853356927633286,0.003002940444275737
1,6,failed_grasp,0,31,0,2,0.004323356319218874,0.01714729517698288,0.010800289921462536,0.003675662912428379,0.013479351997375488
1,6,failed_grasp,0,31,1,3,0.005511020310223103,0.023326611146330833,0.015863506123423576,0.0044757709838449955,0.013479351997375488
1,6,failed_grasp,0,31,2,4,0.0054209278896451,0.018838420510292053,0.01371974777430296,0.004591045901179314,0.013479351997375488
1,6,failed_grasp,0,31,3,5,0.0068969582207500935,0.036510247737169266,0.012001343071460724,0.006386518944054842,0.013479351997375488
1,6,failed_grasp,0,31,4,12,0.005418392829596996,0.020772049203515053,0.012822839431464672,0.004677947610616684,0.013479351997375488
1,6,failed_grasp,0,31,5,13,0.0060172732919454575,0.0389249287545681,0.01127517782151699,0.0054914820939302444,0.013479351997375488
1,6,failed_grasp,0,31,6,14,0.005939756520092487,0.02384967729449272,0.012933378107845783,0.005240395199507475,0.013479351997375488
1,6,failed_grasp,0,31,7,15,0.009143345057964325,0.06484358757734299,0.011603130027651787,0.008897366002202034,0.013479351997375488
2,6,failed_grasp,2,33,0,2,0.0014935978688299656,0.0027295751497149467,0.0027295753825455904,0.0013699999544769526,0.002772001316770911
2,6,failed_grasp,2,33,1,3,0.0016069096745923162,0.00473406258970499,0.00244140625,0.00152346002869308,0.002772001316770911
2,6,failed_grasp,2,33,2,4,0.00166863645426929,0.005545808933675289,0.0011960399569943547,0.0017158963019028306,0.002772001316770911
2,6,failed_grasp,2,33,3,5,0.0019174296176061034,0.005393242463469505,0.0016157440841197968,0.0019475981825962663,0.002772001316770911
2,6,failed_grasp,2,33,4,12,0.002107073552906513,0.003989290911704302,0.0023689819499850273,0.0020808828994631767,0.002772001316770911
2,6,failed_grasp,2,33,5,13,0.0022366726770997047,0.0038524740375578403,0.002320463303476572,0.002228293800726533,0.002772001316770911
2,6,failed_grasp,2,33,6,14,0.002145468955859542,0.00316442409530282,0.0019535867031663656,0.0021646572276949883,0.002772001316770911
2,6,failed_grasp,2,33,7,15,0.002721162512898445,0.004326182883232832,0.0029496343340724707,0.002698315307497978,0.002772001316770911
3,3,success,-1,28,0,2,0.00386699172668159,0.01666606217622757,0.01666606031358242,0.002587084425613284,0.004481469746679068
3,3,success,-1,28,1,3,0.004632088355720043,0.016977868974208832,0.01697716675698757,0.0033975800033658743,0.004481469746679068
3,3,success,-1,28,2,4,0.004227482248097658,0.014546356163918972,0.011774799786508083,0.0034727505408227444,0.004481469746679068
3,3,success,-1,28,3,5,0.0054456316865980625,0.02388588897883892,0.014157794415950775,0.0045744143426418304,0.004481469746679068
3,3,success,-1,28,4,12,0.005817192140966654,0.011698387563228607,0.010083593428134918,0.005390551872551441,0.004481469746679068
3,3,success,-1,28,5,13,0.005868106614798307,0.01099175214767456,0.010865796357393265,0.005368338432163,0.004481469746679068
3,3,success,-1,28,6,14,0.005542398896068335,0.012313984334468842,0.012217535637319088,0.004874884616583586,0.004481469746679068
3,3,success,-1,28,7,15,0.007547369226813316,0.019211245700716972,0.014447614550590515,0.006857344415038824,0.004481469746679068
4,3,success,0,29,0,2,0.001773824798874557,0.004645092412829399,0.004645092878490686,0.0014866979327052832,0.0014261112082749605
4,3,success,0,29,1,3,0.002044110558927059,0.00569428876042366,0.004013110417872667,0.0018472106894478202,0.0014261112082749605
4,3,success,0,29,2,4,0.0022182888351380825,0.006721630692481995,0.0043754964135587215,0.002002568216994405,0.0014261112082749605
4,3,success,0,29,3,5,0.0025002399925142527,0.008038124069571495,0.004606408998370171,0.0022896232549101114,0.0014261112082749605
4,3,success,0,29,4,12,0.00216481601819396,0.004421574994921684,0.003366649616509676,0.0020446323323994875,0.0014261112082749605
4,3,success,0,29,5,13,0.002148002851754427,0.0046579064801335335,0.004415797535330057,0.0019212232436984777,0.0014261112082749605
4,3,success,0,29,6,14,0.002300985623151064,0.0036945180036127567,0.0030539336148649454,0.002225690521299839,0.0014261112082749605
4,3,success,0,29,7,15,0.002563381101936102,0.00480901263654232,0.0029169940389692783,0.002528020180761814,0.0014261112082749605
5,3,success,2,31,0,2,0.0016696189995855093,0.00415756506845355,0.00415756506845355,0.0014208245556801558,0.0029339410830289125
5,3,success,2,31,1,3,0.00178397202398628,0.004702480509877205,0.002949962392449379,0.0016673729987815022,0.0029339410830289125
5,3,success,2,31,2,4,0.002023465931415558,0.00529847014695406,0.0032517369836568832,0.0019006386864930391,0.0029339410830289125
5,3,success,2,31,3,5,0.0024363838601857424,0.00619078241288662,0.00370182772167027,0.002309839241206646,0.0029339410830289125
5,3,success,2,31,4,12,0.002211616840213537,0.003996754065155983,0.0028847944922745228,0.0021442987490445375,0.0029339410830289125
5,3,success,2,31,5,13,0.0024393252097070217,0.0047088139690458775,0.002829431090503931,0.002400314202532172,0.0029339410830289125
5,3,success,2,31,6,14,0.002463113982230425,0.0040190620347857475,0.002959811594337225,0.0024134444538503885,0.0029339410830289125
5,3,success,2,31,7,15,0.00278003909625113,0.0038135985378175974,0.0029521880205720663,0.002762824296951294,0.0029339410830289125
