method,fp_budget,threshold_or_query,tp,fp,fn,tn,precision,failure_recall,success_false_alarm_rate
structured_score_posthoc,0,0.99201655,85,0,154,6161,1.0,0.35564853556485354,0.0
fixed_query_clock,0,51.0,95,0,144,6161,1.0,0.39748953974895396,0.0
structured_score_posthoc,17,0.977002,124,17,115,6144,0.8794326241134752,0.5188284518828452,0.0027592923226748903
fixed_query_clock,17,33.0,95,15,144,6146,0.8636363636363636,0.39748953974895396,0.0024346696964778446
structured_score_posthoc,27,0.9752012,126,27,113,6134,0.8235294117647058,0.5271966527196653,0.00438240545366012
fixed_query_clock,27,32.0,95,20,144,6141,0.8260869565217391,0.39748953974895396,0.0032462262619704593
structured_score_posthoc,40,0.9689461,135,40,104,6121,0.7714285714285715,0.5648535564853556,0.0064924525239409185
fixed_query_clock,40,30.0,95,36,144,6125,0.7251908396946565,0.39748953974895396,0.005843207271546827
structured_score_posthoc,58,0.9635649,142,58,97,6103,0.71,0.5941422594142259,0.009414056159714333
fixed_query_clock,58,29.0,141,48,98,6113,0.746031746031746,0.5899581589958159,0.007790943028729102
structured_score_posthoc,100,0.9551263,152,100,87,6061,0.6031746031746031,0.6359832635983264,0.016231131309852296
fixed_query_clock,100,27.0,162,79,77,6082,0.6721991701244814,0.6778242677824268,0.012822593734783314
structured_score_posthoc,134,0.95001596,156,134,83,6027,0.5379310344827586,0.6527196652719666,0.021749715955202076
fixed_query_clock,134,26.0,162,105,77,6056,0.6067415730337079,0.6778242677824268,0.017042687875344912
