signal,fold_1000_1003_routes_rho,fold_1004_1007_routes_rho,mean_crossfit_spearman_rho,permutation_p_two_sided,mean_rho_without_hardest_task,bh_q_value
back_front_volatility_ratio,-0.20469539750844665,-0.2609714412247793,-0.23283341936661295,0.15116976604679064,-0.20851747797526315,0.8990201959608078
back_token_disagreement,-0.140959337876079,-0.2076778227329059,-0.17431858030449243,0.27994401119776047,-0.1098500576527117,0.8990201959608078
front_token_disagreement,-0.13534960978109536,-0.11280084272719398,-0.12407522625414467,0.4379124175164967,-0.06104170254458358,0.8990201959608078
back_top12_margin,-0.061945720878649455,-0.13024673577610318,-0.09609622832737633,0.5484903019396121,-0.07144724707336848,0.8990201959608078
back_front_acceleration_ratio,-0.07937168474817319,-0.11507119867191504,-0.09722144171004411,0.5646870625874825,-0.060926871051182295,0.8990201959608078
front_route_acceleration,0.11422361248722067,0.06548184514248125,0.08985272881485096,0.5762847430513898,0.12733025258271208,0.8990201959608078
layer5_state_action_gap,0.15337235323519183,0.024973915391931716,0.08917313431356177,0.585882823435313,0.11607826961704679,0.8990201959608078
front_late_flow_volatility,0.0744780921546768,0.06440641337919231,0.06944225276693455,0.6626674665066986,0.10508953959729539,0.8990201959608078
back_late_flow_volatility,0.06552639838608584,0.04122488425940881,0.05337564132274733,0.7366526694661067,0.0870507104301289,0.8990201959608078
front_state_action_gap,-0.017545319786438283,-0.0890218515166944,-0.05328358565156634,0.7428514297140572,-0.02648878481910558,0.8990201959608078
back_state_action_gap,0.1055106305524588,-0.010754317632889256,0.04737815645978477,0.7656468706258748,0.08319122530080608,0.8990201959608078
front_top12_margin,-0.039268096664885684,-0.03931300556911739,-0.03929055111700154,0.8082383523295341,0.004736174633666793,0.8990201959608078
front_gate_entropy,-0.04249070642157843,-0.030231581790233133,-0.03636114410590578,0.8204359128174366,-0.06065343826964465,0.8990201959608078
back_route_acceleration,0.05752955195281124,-0.012546703905037464,0.02249142402388689,0.8888222355528894,0.053496487757150164,0.8990201959608078
back_gate_entropy,-0.001432271002974554,0.043853717458559524,0.021210723227792484,0.8990201959608078,-0.0002452202066623582,0.8990201959608078
