corpus,from_state,to_state,count,probability
A,0,0,23,0.19658119658119658
A,0,1,3,0.02564102564102564
A,0,2,35,0.29914529914529914
A,0,3,13,0.1111111111111111
A,0,4,24,0.20512820512820512
A,0,5,2,0.017094017094017096
A,0,6,7,0.05982905982905983
A,0,7,2,0.017094017094017096
A,0,8,1,0.008547008547008548
A,0,9,0,0.0
A,0,10,2,0.017094017094017096
A,0,11,0,0.0
A,0,12,2,0.017094017094017096
A,0,13,2,0.017094017094017096
A,0,14,1,0.008547008547008548
A,0,15,0,0.0
A,1,0,16,0.10666666666666667
A,1,1,8,0.05333333333333334
A,1,2,34,0.22666666666666666
A,1,3,9,0.06
A,1,4,9,0.06
A,1,5,5,0.03333333333333333
A,1,6,4,0.02666666666666667
A,1,7,0,0.0
A,1,8,1,0.006666666666666667
A,1,9,34,0.22666666666666666
A,1,10,6,0.04
A,1,11,15,0.1
A,1,12,0,0.0
A,1,13,7,0.04666666666666667
A,1,14,0,0.0
A,1,15,2,0.013333333333333334
A,2,0,41,0.029927007299270073
A,2,1,21,0.015328467153284672
A,2,2,634,0.46277372262773725
A,2,3,98,0.07153284671532846
A,2,4,50,0.0364963503649635
A,2,5,90,0.06569343065693431
A,2,6,108,0.07883211678832117
A,2,7,111,0.08102189781021898
A,2,8,7,0.0051094890510948905
A,2,9,13,0.00948905109489051
A,2,10,88,0.06423357664233577
A,2,11,8,0.00583941605839416
A,2,12,19,0.013868613138686132
A,2,13,44,0.032116788321167884
A,2,14,28,0.020437956204379562
A,2,15,10,0.0072992700729927005
A,3,0,12,0.027906976744186046
A,3,1,12,0.027906976744186046
A,3,2,133,0.30930232558139537
A,3,3,97,0.2255813953488372
A,3,4,4,0.009302325581395349
A,3,5,19,0.044186046511627906
A,3,6,16,0.037209302325581395
A,3,7,22,0.05116279069767442
A,3,8,1,0.002325581395348837
A,3,9,18,0.04186046511627907
A,3,10,37,0.08604651162790698
A,3,11,37,0.08604651162790698
A,3,12,0,0.0
A,3,13,12,0.027906976744186046
A,3,14,5,0.011627906976744186
A,3,15,5,0.011627906976744186
A,4,0,7,0.02631578947368421
A,4,1,7,0.02631578947368421
A,4,2,6,0.022556390977443608
A,4,3,7,0.02631578947368421
A,4,4,101,0.37969924812030076
A,4,5,35,0.13157894736842105
A,4,6,4,0.015037593984962405
A,4,7,6,0.022556390977443608
A,4,8,0,0.0
A,4,9,0,0.0
A,4,10,0,0.0
A,4,11,6,0.022556390977443608
A,4,12,19,0.07142857142857142
A,4,13,63,0.23684210526315788
A,4,14,2,0.007518796992481203
A,4,15,3,0.011278195488721804
A,5,0,5,0.012755102040816327
A,5,1,17,0.04336734693877551
A,5,2,11,0.02806122448979592
A,5,3,18,0.04591836734693878
A,5,4,39,0.09948979591836735
A,5,5,47,0.11989795918367346
A,5,6,9,0.02295918367346939
A,5,7,4,0.01020408163265306
A,5,8,0,0.0
A,5,9,31,0.07908163265306123
A,5,10,0,0.0
A,5,11,117,0.29846938775510207
A,5,12,0,0.0
A,5,13,71,0.18112244897959184
A,5,14,0,0.0
A,5,15,23,0.058673469387755105
A,6,0,3,0.014354066985645933
A,6,1,1,0.004784688995215311
A,6,2,11,0.05263157894736842
A,6,3,6,0.028708133971291867
A,6,4,26,0.12440191387559808
A,6,5,19,0.09090909090909091
A,6,6,24,0.11483253588516747
A,6,7,3,0.014354066985645933
A,6,8,1,0.004784688995215311
A,6,9,5,0.023923444976076555
A,6,10,1,0.004784688995215311
A,6,11,4,0.019138755980861243
A,6,12,25,0.11961722488038277
A,6,13,65,0.31100478468899523
A,6,14,13,0.06220095693779904
A,6,15,2,0.009569377990430622
A,7,0,7,0.0330188679245283
A,7,1,6,0.02830188679245283
A,7,2,15,0.07075471698113207
A,7,3,35,0.1650943396226415
A,7,4,3,0.014150943396226415
A,7,5,17,0.08018867924528301
A,7,6,3,0.014150943396226415
A,7,7,9,0.04245283018867924
A,7,8,0,0.0
A,7,9,25,0.1179245283018868
A,7,10,1,0.0047169811320754715
A,7,11,45,0.21226415094339623
A,7,12,0,0.0
A,7,13,37,0.17452830188679244
A,7,14,1,0.0047169811320754715
A,7,15,8,0.03773584905660377
A,8,0,4,0.043010752688172046
A,8,1,0,0.0
A,8,2,25,0.26881720430107525
A,8,3,10,0.10752688172043011
A,8,4,0,0.0
A,8,5,0,0.0
A,8,6,0,0.0
A,8,7,0,0.0
A,8,8,23,0.24731182795698925
A,8,9,1,0.010752688172043012
A,8,10,13,0.13978494623655913
A,8,11,4,0.043010752688172046
A,8,12,8,0.08602150537634409
A,8,13,3,0.03225806451612903
A,8,14,2,0.021505376344086023
A,8,15,0,0.0
A,9,0,3,0.01090909090909091
A,9,1,12,0.04363636363636364
A,9,2,69,0.2509090909090909
A,9,3,28,0.10181818181818182
A,9,4,5,0.01818181818181818
A,9,5,10,0.03636363636363636
A,9,6,0,0.0
A,9,7,4,0.014545454545454545
A,9,8,13,0.04727272727272727
A,9,9,18,0.06545454545454546
A,9,10,51,0.18545454545454546
A,9,11,28,0.10181818181818182
A,9,12,1,0.0036363636363636364
A,9,13,30,0.10909090909090909
A,9,14,2,0.007272727272727273
A,9,15,1,0.0036363636363636364
A,10,0,3,0.0016816143497757848
A,10,1,3,0.0016816143497757848
A,10,2,297,0.1664798206278027
A,10,3,61,0.034192825112107625
A,10,4,2,0.0011210762331838565
A,10,5,56,0.03139013452914798
A,10,6,8,0.004484304932735426
A,10,7,22,0.01233183856502242
A,10,8,14,0.007847533632286996
A,10,9,5,0.002802690582959641
A,10,10,1150,0.6446188340807175
A,10,11,110,0.061659192825112105
A,10,12,11,0.00616591928251121
A,10,13,13,0.0072869955156950675
A,10,14,28,0.01569506726457399
A,10,15,1,0.0005605381165919282
A,11,0,0,0.0
A,11,1,14,0.013182674199623353
A,11,2,32,0.030131826741996232
A,11,3,22,0.02071563088512241
A,11,4,1,0.0009416195856873823
A,11,5,14,0.013182674199623353
A,11,6,1,0.0009416195856873823
A,11,7,3,0.002824858757062147
A,11,8,3,0.002824858757062147
A,11,9,28,0.026365348399246705
A,11,10,426,0.4011299435028249
A,11,11,461,0.4340866290018832
A,11,12,1,0.0009416195856873823
A,11,13,27,0.025423728813559324
A,11,14,15,0.014124293785310734
A,11,15,14,0.013182674199623353
A,12,0,0,0.0
A,12,1,1,0.004098360655737705
A,12,2,0,0.0
A,12,3,2,0.00819672131147541
A,12,4,4,0.01639344262295082
A,12,5,1,0.004098360655737705
A,12,6,2,0.00819672131147541
A,12,7,0,0.0
A,12,8,3,0.012295081967213115
A,12,9,1,0.004098360655737705
A,12,10,1,0.004098360655737705
A,12,11,2,0.00819672131147541
A,12,12,101,0.4139344262295082
A,12,13,118,0.48360655737704916
A,12,14,6,0.02459016393442623
A,12,15,2,0.00819672131147541
A,13,0,0,0.0
A,13,1,27,0.030542986425339366
A,13,2,11,0.012443438914027148
A,13,3,30,0.033936651583710405
A,13,4,4,0.004524886877828055
A,13,5,56,0.06334841628959276
A,13,6,0,0.0
A,13,7,23,0.026018099547511313
A,13,8,27,0.030542986425339366
A,13,9,96,0.1085972850678733
A,13,10,11,0.012443438914027148
A,13,11,198,0.2239819004524887
A,13,12,20,0.02262443438914027
A,13,13,334,0.3778280542986425
A,13,14,4,0.004524886877828055
A,13,15,43,0.048642533936651584
A,14,0,0,0.0
A,14,1,0,0.0
A,14,2,0,0.0
A,14,3,0,0.0
A,14,4,0,0.0
A,14,5,5,0.03875968992248062
A,14,6,8,0.06201550387596899
A,14,7,1,0.007751937984496124
A,14,8,1,0.007751937984496124
A,14,9,0,0.0
A,14,10,19,0.14728682170542637
A,14,11,1,0.007751937984496124
A,14,12,33,0.2558139534883721
A,14,13,28,0.21705426356589147
A,14,14,28,0.21705426356589147
A,14,15,5,0.03875968992248062
A,15,0,1,0.007874015748031496
A,15,1,15,0.11811023622047244
A,15,2,6,0.047244094488188976
A,15,3,5,0.03937007874015748
A,15,4,0,0.0
A,15,5,7,0.05511811023622047
A,15,6,1,0.007874015748031496
A,15,7,0,0.0
A,15,8,2,0.015748031496062992
A,15,9,9,0.07086614173228346
A,15,10,9,0.07086614173228346
A,15,11,39,0.30708661417322836
A,15,12,2,0.015748031496062992
A,15,13,20,0.15748031496062992
A,15,14,5,0.03937007874015748
A,15,15,6,0.047244094488188976
B,0,0,9,0.057692307692307696
B,0,1,1,0.00641025641025641
B,0,2,16,0.10256410256410256
B,0,3,8,0.05128205128205128
B,0,4,3,0.019230769230769232
B,0,5,67,0.42948717948717946
B,0,6,0,0.0
B,0,7,9,0.057692307692307696
B,0,8,5,0.03205128205128205
B,0,9,6,0.038461538461538464
B,0,10,2,0.01282051282051282
B,0,11,5,0.03205128205128205
B,0,12,1,0.00641025641025641
B,0,13,21,0.1346153846153846
B,0,14,1,0.00641025641025641
B,0,15,2,0.01282051282051282
B,1,0,17,0.07296137339055794
B,1,1,5,0.02145922746781116
B,1,2,47,0.2017167381974249
B,1,3,9,0.03862660944206009
B,1,4,2,0.008583690987124463
B,1,5,40,0.17167381974248927
B,1,6,4,0.017167381974248927
B,1,7,4,0.017167381974248927
B,1,8,28,0.12017167381974249
B,1,9,20,0.08583690987124463
B,1,10,16,0.06866952789699571
B,1,11,11,0.04721030042918455
B,1,12,2,0.008583690987124463
B,1,13,26,0.11158798283261803
B,1,14,0,0.0
B,1,15,2,0.008583690987124463
B,2,0,73,0.0461441213653603
B,2,1,90,0.056890012642225034
B,2,2,648,0.40960809102402024
B,2,3,102,0.06447534766118837
B,2,4,47,0.02970922882427307
B,2,5,335,0.21175726927939317
B,2,6,15,0.009481668773704172
B,2,7,9,0.005689001264222503
B,2,8,14,0.008849557522123894
B,2,9,18,0.011378002528445006
B,2,10,88,0.05562579013906448
B,2,11,19,0.012010113780025285
B,2,12,10,0.006321112515802781
B,2,13,102,0.06447534766118837
B,2,14,4,0.0025284450063211127
B,2,15,8,0.0050568900126422255
B,3,0,18,0.03522504892367906
B,3,1,56,0.1095890410958904
B,3,2,197,0.38551859099804303
B,3,3,43,0.08414872798434442
B,3,4,2,0.003913894324853229
B,3,5,67,0.13111545988258316
B,3,6,4,0.007827788649706457
B,3,7,7,0.0136986301369863
B,3,8,13,0.025440313111545987
B,3,9,15,0.029354207436399216
B,3,10,19,0.03718199608610567
B,3,11,13,0.025440313111545987
B,3,12,2,0.003913894324853229
B,3,13,44,0.08610567514677103
B,3,14,2,0.003913894324853229
B,3,15,9,0.01761252446183953
B,4,0,1,0.015625
B,4,1,0,0.0
