direction,source,target,event_kind,horizon,prevalence,brier,log_loss,roc_auc,average_precision,expected_calibration_error,rows,positive_rows,alarm_rows_075,alarm_true_rows_075,alarm_precision_075,positive_row_recall_075,max_predicted_probability,max_probability_target_support,max_probability_target_events,max_probability_target_observed_rate,event_episodes_evaluable,event_episode_timely_alarms_075,event_episode_recall_075,no_event_episodes,no_event_episode_false_alarms_075,no_event_episode_fpr_075,source_calibration_prevalence,source_calibration_support,source_calibration_events,constant_source_prior_brier,clock_brier,clock_roc_auc,clock_average_precision,clock_max_predicted_probability,clock_alarm_rows_075
A_to_B,A,B,loop,0,0.0035211267605633804,0.0038519735451914847,0.03344167735582501,0.7734165554609356,0.04750672908145761,0.018946029629873466,16188,57,0,0,,0.0,0.13636363636363635,45,3,0.06666666666666667,57,0,0.0,455,0,0.0,0.022103363835545817,7758,171,0.0038540279616102757,0.004281385528320313,0.4365077811384204,0.0029978475681369954,0.06590136054421769,0
A_to_B,A,B,loop,2,0.01056338028169014,0.01530933318765581,0.08913034837960444,0.7783719929154221,0.052548602310080426,0.054994114707154325,16188,171,0,0,,0.0,0.3181818181818182,45,4,0.08888888888888889,57,0,0.0,455,0,0.0,0.0654079133909009,7758,507,0.013459718090681857,0.016011464355680176,0.38608430297195195,0.00803021255083691,0.17389455782312926,0
A_to_B,A,B,loop,4,0.017605633802816902,0.028985368680871145,0.14574299834544496,0.6927315931783807,0.04478250357769435,0.09030410016682869,16188,285,0,0,,0.0,0.3181818181818182,45,4,0.08888888888888889,57,0,0.0,455,0,0.0,0.10806805000644414,7758,838,0.025479124206616296,0.0304585924418136,0.39293821865233414,0.013539339117890735,0.241921768707483,0
A_to_B,A,B,static,0,0.009845572863982736,0.009278079213578158,0.04225022113495146,0.9096756196477335,0.08349396816014035,0.005766853271805252,14829,146,0,0,,0.0,0.12037037037037036,186,26,0.13978494623655913,146,0,0.0,366,0,0.0,0.004803454962101181,11345,54,0.00977406051189922,0.009550226023275507,0.907684452899122,0.07877870513126695,0.02328897338403042,0
A_to_B,A,B,static,2,0.02953671859194821,0.026147122217713207,0.10062306276199517,0.8973135004151821,0.1928114573327187,0.018893793338710146,14829,438,0,0,,0.0,0.23148148148148148,186,66,0.3548387096774194,146,0,0.0,366,0,0.0,0.014322228098008108,11345,162,0.02889578156775847,0.027087328401104806,0.899208552148746,0.19615303582049906,0.06701520912547529,0
A_to_B,A,B,static,4,0.04922786431991368,0.04265973087016788,0.15525488886473138,0.8644882032826577,0.21880032299195923,0.02223557962648164,14829,730,0,0,,0.0,0.26851851851851855,186,69,0.3709677419354839,146,0,0.0,366,0,0.0,0.023841001233915037,11345,270,0.047448974511761076,0.04353616579697416,0.8815629108058767,0.2284876028453969,0.09173003802281368,0
A_to_B,A,B,trap,0,0.013477653631284916,0.013220117392983469,0.07256850708721142,0.8337417307320601,0.12599012936959322,0.02554311378701965,14320,193,0,0,,0.0,0.15,223,38,0.17040358744394618,193,0,0.0,319,0,0.0,0.028573376977632296,7331,209,0.013523887347229487,0.013656755406720466,0.725222271247026,0.03005165520687505,0.08222222222222222,0
A_to_B,A,B,trap,2,0.04043296089385475,0.04362290828351743,0.1862389983362793,0.8185715907124136,0.13605424862701088,0.08584197863664166,14320,579,0,0,,0.0,0.35833333333333334,192,41,0.21354166666666666,193,0,0.0,319,0,0.0,0.08476541189307146,7331,621,0.040763502778808726,0.04139827027198014,0.6333219960334533,0.06813811554741472,0.18,0
A_to_B,A,B,trap,4,0.06738826815642458,0.07306031764360069,0.2787449991128378,0.7226148441425171,0.15134200727668515,0.12028090888872808,14320,965,0,0,,0.0,0.375,192,45,0.234375,193,0,0.0,319,0,0.0,0.14027550463720675,7331,1028,0.06815963871310786,0.07003351660208695,0.6114640263975185,0.0797375155231891,0.241921768707483,0
B_to_A,B,A,loop,0,0.022041763341067284,0.021797592136003078,0.13898269000679592,0.6275442681656912,0.04157418912539922,0.018756998036718733,7758,171,0,0,,0.0,0.13194444444444445,41,6,0.14634146341463414,171,0,0.0,180,0,0.0,0.003551794428315523,16188,57,0.021897802960278198,0.021998187947703578,0.4135860278084165,0.020749360648128656,0.022697795071335927,0
B_to_A,B,A,loop,2,0.06535189481825213,0.06316474953344856,0.30474318017920665,0.7233340868171078,0.15852103393051997,0.056287378274822546,7758,507,0,0,,0.0,0.390625,15,3,0.2,171,0,0.0,180,0,0.0,0.010593612947062821,16188,171,0.06407949409540087,0.06505931640581586,0.40180379119305315,0.06029396001657991,0.07198443579766536,0
B_to_A,B,A,loop,4,0.1080175302913122,0.10315749480501211,0.4528544117213471,0.6969754921572144,0.21734031987340882,0.09208008908816663,7758,838,0,0,,0.0,0.453125,15,3,0.2,171,0,0.0,180,0,0.0,0.01763543146581012,16188,285,0.10451866722918045,0.10721419034008986,0.3731012112516727,0.08982194643072117,0.10440985732814527,0
B_to_A,B,A,static,0,0.004759806081974438,0.004811748230175174,0.028042730781894246,0.8312462892438094,0.026486426772622165,0.003384770506115648,11345,54,0,0,,0.0,0.32926829268292684,16,1,0.0625,54,0,0.0,298,0,0.0,0.009878624409979771,14829,146,0.004763352629111561,0.00489751240824189,0.8544383104209514,0.020234683359574124,0.06478968792401628,0
B_to_A,B,A,static,2,0.014279418245923315,0.013944995115838129,0.06957135276991795,0.8322674518090178,0.0746733227259276,0.009419073686322315,11345,162,0,0,,0.0,0.4268292682926829,16,2,0.125,54,0,0.0,298,0,0.0,0.02956844234659474,14829,438,0.01430927071843222,0.014897466882586936,0.8472863903875261,0.05449907347278103,0.17130257801899593,0
B_to_A,B,A,static,4,0.02379903040987219,0.022858234757691182,0.1010407880856782,0.7810535908368865,0.08807789393801291,0.011936846759387906,11345,270,0,0,,0.0,0.4268292682926829,16,2,0.125,54,0,0.0,298,0,0.0,0.04925826028320971,14829,730,0.023880808947165603,0.024719164382868544,0.8368699941476465,0.08095128534587388,0.20997286295793757,0
B_to_A,B,A,trap,0,0.02850907106806711,0.028084479197432174,0.1561686373172719,0.6365127799970172,0.04934358753220779,0.022473153328042197,7331,209,0,0,,0.0,0.22815533980582525,45,5,0.1111111111111111,209,0,0.0,142,0,0.0,0.01351162628308079,14320,193,0.027921227284981726,0.02816000358887023,0.5223728886434513,0.03934927076571497,0.08027522935779817,0
B_to_A,B,A,trap,2,0.08470877097258218,0.07871327663576717,0.32754750708565195,0.7174611402694082,0.17872662193644395,0.06174491006625197,7331,621,0,0,,0.0,0.5131578947368421,19,3,0.15789473684210525,209,0,0.0,142,0,0.0,0.04046505132323162,14320,579,0.07949070182130712,0.08197244443869713,0.5153544233016791,0.10957227736612157,0.22706422018348624,0
B_to_A,B,A,trap,4,0.1402264356840813,0.1251830812322765,0.4682891257472948,0.6851108822863056,0.24343879592226522,0.09839498861139656,7331,1028,0,0,,0.0,0.5657894736842105,19,3,0.15789473684210525,209,0,0.0,142,0,0.0,0.06741847636338244,14320,965,0.12586398135986407,0.13363234851820943,0.49341938339534447,0.16182538310489564,0.32339449541284404,0
