direction,event_kind,horizon,predicted_probability,observed_probability,target_events,target_support,absolute_calibration_error
A_to_B,loop,0,0.006329113924,0.007462686567164179,1,134,0.0011335726431641793
A_to_B,loop,0,0.011159107271,0.000554016620498615,5,9025,0.010605090650501385
A_to_B,loop,0,0.022103363836,0.024390243902439025,1,41,0.002286880066439026
A_to_B,loop,0,0.029411764706,0.024691358024691357,2,81,0.004720406681308645
A_to_B,loop,0,0.030241935484,0.02391304347826087,11,460,0.0063288920057391305
A_to_B,loop,0,0.032996146435,0.0011715089034676663,5,4268,0.031824637531532335
A_to_B,loop,0,0.040101522843,0.008056394763343404,16,1986,0.03204512807965659
A_to_B,loop,0,0.044117647059,0.0,0,49,0.044117647059
A_to_B,loop,0,0.060975609756,0.10256410256410256,4,39,0.04158849280810256
A_to_B,loop,0,0.132352941176,0.15,9,60,0.017647058824
A_to_B,loop,0,0.136363636364,0.06666666666666667,3,45,0.06969696969733334
A_to_B,loop,2,0.020518358531,0.002326869806094183,21,9025,0.018191488724905818
A_to_B,loop,2,0.065407913391,0.34146341463414637,14,41,0.2760555012431464
A_to_B,loop,2,0.07394026975,0.005388940955951265,23,4268,0.06855132879404872
A_to_B,loop,2,0.1,0.13580246913580246,11,81,0.035802469135802456
A_to_B,loop,2,0.132911392405,0.05223880597014925,7,134,0.08067258643485074
A_to_B,loop,2,0.134146341463,0.3076923076923077,12,39,0.1735459662293077
A_to_B,loop,2,0.179187817259,0.020644511581067473,41,1986,0.1585433056779325
A_to_B,loop,2,0.191176470588,0.12844036697247707,14,109,0.06273610361552293
A_to_B,loop,2,0.203629032258,0.05217391304347826,24,460,0.15145511921452173
A_to_B,loop,2,0.318181818182,0.08888888888888889,4,45,0.22929292929311107
A_to_B,loop,4,0.041876649868,0.006204986149584487,56,9025,0.035671663718415514
A_to_B,loop,4,0.108068050006,0.43902439024390244,18,41,0.33095634023790244
A_to_B,loop,4,0.134146341463,0.3333333333333333,13,39,0.1991869918703333
A_to_B,loop,4,0.135294117647,0.18518518518518517,15,81,0.049891067538185174
A_to_B,loop,4,0.139450867052,0.010543580131208997,45,4268,0.128907286920791
A_to_B,loop,4,0.191176470588,0.16666666666666666,10,60,0.02450980392133334
A_to_B,loop,4,0.23417721519,0.11940298507462686,16,134,0.11477423011537315
A_to_B,loop,4,0.25,0.12244897959183673,6,49,0.12755102040816327
A_to_B,loop,4,0.256048387097,0.0782608695652174,36,460,0.17778751753178262
A_to_B,loop,4,0.259390862944,0.03323262839879154,66,1986,0.22615823454520845
A_to_B,loop,4,0.318181818182,0.08888888888888889,4,45,0.22929292929311107
A_to_B,static,0,8.4090145e-05,0.0,0,5362,8.4090145e-05
A_to_B,static,0,0.002936096718,0.0,0,3200,0.002936096718
A_to_B,static,0,0.010948905109,0.00477326968973747,2,419,0.00617563541926253
