calibrator,success_fpr_budget,threshold,threshold_attainable,development_calibration_fpr,split,clock_query,success_episodes,success_alarm_episodes,success_fpr,success_fpr_ci_low,success_fpr_ci_high,all_event_episodes,eligible_event_episodes,events_before_minimum_query,timely_events,timely_recall,timely_recall_ci_low,timely_recall_ci_high,near_first_events,near_first_recall,near_first_recall_ci_low,near_first_recall_ci_high,near_active_events,near_active_recall,premature_events,late_events,no_alarm_events,timely_lead_median,timely_lead_p90,clock_success_episodes,clock_success_alarm_episodes,clock_success_fpr,clock_success_fpr_ci_low,clock_success_fpr_ci_high,clock_all_event_episodes,clock_eligible_event_episodes,clock_events_before_minimum_query,clock_timely_events,clock_timely_recall,clock_timely_recall_ci_low,clock_timely_recall_ci_high,clock_near_first_events,clock_near_first_recall,clock_near_first_recall_ci_low,clock_near_first_recall_ci_high,clock_near_active_events,clock_near_active_recall,clock_premature_events,clock_late_events,clock_no_alarm_events,clock_timely_lead_median,clock_timely_lead_p90
A_dense,0.005,0.35833333333333334,False,0.0,development_37_tasks,51,14313,0,0.0,0.0,0.0002683174799234351,222,198,24,0,0.0,0.0,0.019032060326648184,0,0.0,0.0,0.019032060326648184,0,0.0,0,0,198,,,14313,0,0.0,0.0,0.0002683174799234351,222,198,24,0,0.0,0.0,0.019032060326648184,0,0.0,0.0,0.019032060326648184,0,0.0,0,127,71,,
A_dense,0.005,0.35833333333333334,False,0.0,heldout_3_tasks,51,1155,0,0.0,0.0,0.0033149131759606025,38,24,14,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,0,0,24,,,1155,1,0.0008658008658008658,0.0001528514652316881,0.004887923332935044,38,24,14,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,0,24,0,,
A_dense,0.01,0.35833333333333334,False,0.0,development_37_tasks,51,14313,0,0.0,0.0,0.0002683174799234351,222,198,24,0,0.0,0.0,0.019032060326648184,0,0.0,0.0,0.019032060326648184,0,0.0,0,0,198,,,14313,0,0.0,0.0,0.0002683174799234351,222,198,24,0,0.0,0.0,0.019032060326648184,0,0.0,0.0,0.019032060326648184,0,0.0,0,127,71,,
A_dense,0.01,0.35833333333333334,False,0.0,heldout_3_tasks,51,1155,0,0.0,0.0,0.0033149131759606025,38,24,14,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,0,0,24,,,1155,1,0.0008658008658008658,0.0001528514652316881,0.004887923332935044,38,24,14,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,0,24,0,,
A_dense,0.02,0.3583333333333333,True,0.01341437853699434,development_37_tasks,38,14313,192,0.01341437853699434,0.011656002954967258,0.015433872974457285,222,198,24,24,0.12121212121212122,0.08282231509749119,0.1740201548469393,2,0.010101010101010102,0.002774446146787516,0.036075148314675856,2,0.010101010101010102,22,38,136,12.5,17.7,14313,192,0.01341437853699434,0.011656002954967258,0.015433872974457285,222,198,24,2,0.010101010101010102,0.002774446146787516,0.036075148314675856,2,0.010101010101010102,0.002774446146787516,0.036075148314675856,2,0.010101010101010102,0,125,71,1.0,1.8
A_dense,0.02,0.3583333333333333,True,0.01341437853699434,heldout_3_tasks,38,1155,33,0.02857142857142857,0.020415741139673156,0.03985260556908969,38,24,14,5,0.20833333333333334,0.09244825352851857,0.40470453253188665,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,5,3,16,7.0,23.400000000000002,1155,6,0.005194805194805195,0.002382935556888191,0.011287147352309184,38,24,14,8,0.3333333333333333,0.1797219032729775,0.5329368316186824,3,0.125,0.04344334080123444,0.31003881270500067,3,0.125,5,16,0,5.0,10.3
A_dense,0.05,0.21,True,0.04303779780619018,development_37_tasks,25,14313,616,0.04303779780619018,0.03983387372456067,0.0464869437808455,222,198,24,58,0.29292929292929293,0.23396173472912898,0.3597788155071596,4,0.020202020202020204,0.007883534706380906,0.05078359388989766,10,0.050505050505050504,54,53,87,13.5,19.0,14313,597,0.04171033326346678,0.038556117672427184,0.04511048311141376,222,198,24,91,0.4595959595959596,0.3916078461419209,0.5291220173188184,10,0.050505050505050504,0.027661556517076857,0.09045817448364726,10,0.050505050505050504,81,95,12,6.0,10.0
A_dense,0.05,0.21,True,0.04303779780619018,heldout_3_tasks,25,1155,108,0.09350649350649351,0.07803739079270254,0.11167057758151998,38,24,14,13,0.5416666666666666,0.3507486535891948,0.72108666268789,2,0.08333333333333333,0.023158815297043306,0.25848802193210685,4,0.16666666666666666,11,3,8,9.0,31.0,1155,546,0.4727272727272727,0.44407275242884253,0.5015626064716643,38,24,14,16,0.6666666666666666,0.4670631683813174,0.8202780967270225,0,0.0,1.3877787807814457e-17,0.13797620467498017,0,0.0,16,8,0,12.0,22.5
A_dense,0.1,0.1625,True,0.08160413610004891,development_37_tasks,24,14313,1168,0.08160413610004891,0.07723068503914728,0.0862021130085746,222,198,24,103,0.5202020202020202,0.45089442106016625,0.5887406472094643,7,0.03535353535353535,0.017228867488134375,0.07116456231036697,28,0.1414141414141414,96,47,48,16.0,19.0,14313,951,0.0664430936910501,0.062478145466760844,0.07064070370834778,222,198,24,95,0.4797979797979798,0.4112593527905358,0.5491055789398338,8,0.04040404040404041,0.020613166178095263,0.07768903068781369,8,0.04040404040404041,87,91,12,7.0,10.600000000000009
A_dense,0.1,0.1625,True,0.08160413610004891,heldout_3_tasks,24,1155,250,0.21645021645021645,0.19366061708012292,0.24111970164736987,38,24,14,15,0.625,0.42709962442674276,0.7884063244045122,0,0.0,1.3877787807814457e-17,0.13797620467498017,7,0.2916666666666667,15,3,6,23.0,31.0,1155,837,0.7246753246753247,0.6982021665428656,0.7496589244196249,38,24,14,17,0.7083333333333334,0.5083230633550337,0.8508535180303913,1,0.041666666666666664,0.0073934561655057685,0.20241806478655938,1,0.041666666666666664,16,7,0,12.0,23.4
