cohort,quantity,layer,chunk,alive,alive_risk,prior,auc_pooled,auc_within_suite,auc_within_task
external_8b,conditional_energy,L2,4,15600,564,0.036153846153846154,0.4865304357013617,0.5811235773639883,0.5114004141820945
external_8b,conditional_energy,L2,6,15600,564,0.036153846153846154,0.572718501600886,0.632843976584472,0.5118114743009377
external_8b,conditional_energy,L2,8,14456,564,0.03901494189263974,0.6148298525811069,0.6078063119462185,0.53488980446014
external_8b,conditional_energy,L2,10,11342,564,0.04972667959795451,0.5380624966276194,0.5607740284980516,0.4900075427147214
external_8b,conditional_energy,L2,12,9146,564,0.06166630220861579,0.53008812771577,0.5654729752356104,0.5240103778274919
external_8b,conditional_energy,L2,14,5753,564,0.09803580740483227,0.6313877966073896,0.6011249318155398,0.5471211271961189
external_8b,conditional_energy,L2,16,4793,564,0.11767160442311704,0.610877443655677,0.498491231414411,0.5270682462216625
external_8b,conditional_energy,L2,18,4300,564,0.13116279069767442,0.5220686781478275,0.2998028258895334,0.44776168568071767
external_8b,conditional_energy,L2,20,3995,564,0.1411764705882353,0.4942922374429224,0.28765250880612764,0.4605709771781928
external_8b,conditional_energy,L2,24,2174,424,0.19503219871205152,0.5182237196765499,0.5043956503554998,0.5433794123555085
external_8b,conditional_energy,L2,28,769,380,0.494148244473342,0.3882965769178731,0.40749685203630964,0.4041142857142857
external_8b,conditional_energy,L2,32,569,274,0.48154657293497366,0.29585549919584314,0.29585549919584314,0.2166965509967303
external_8b,conditional_energy,L3,4,15600,564,0.036153846153846154,0.464875315790566,0.5384721893668871,0.46683941598243367
external_8b,conditional_energy,L3,6,15600,564,0.036153846153846154,0.3908784402068605,0.44470728712559,0.5354240163175257
external_8b,conditional_energy,L3,8,14456,564,0.03901494189263974,0.3969412979152244,0.43078337351736923,0.5555119569245526
external_8b,conditional_energy,L3,10,11342,564,0.04972667959795451,0.4328044124556326,0.43012201410028855,0.5207949365428131
external_8b,conditional_energy,L3,12,9146,564,0.06166630220861579,0.4286098563544678,0.410597627079654,0.5147433507332836
external_8b,conditional_energy,L3,14,5753,564,0.09803580740483227,0.4751335681453812,0.3973253807151991,0.529697133690253
external_8b,conditional_energy,L3,16,4793,564,0.11767160442311704,0.4879588588754782,0.3464858940144872,0.5689153022670025
external_8b,conditional_energy,L3,18,4300,564,0.13116279069767442,0.5069341617689492,0.29812255066392856,0.5488015108758908
external_8b,conditional_energy,L3,20,3995,564,0.1411764705882353,0.5173672047311642,0.2781350136793173,0.5324923783310088
external_8b,conditional_energy,L3,24,2174,424,0.19503219871205152,0.5419824797843665,0.49930363864491845,0.5150380745421012
external_8b,conditional_energy,L3,28,769,380,0.494148244473342,0.5130293600324719,0.48372455787554736,0.4716444444444444
external_8b,conditional_energy,L3,32,569,274,0.48154657293497366,0.5899418532722999,0.5899418532722999,0.6205041662271912
external_8b,conditional_energy,L4,4,15600,564,0.036153846153846154,0.38804976802718394,0.4373331418336656,0.5108748816250923
external_8b,conditional_energy,L4,6,15600,564,0.036153846153846154,0.42727371565924993,0.47816856852120954,0.49348547761023176
external_8b,conditional_energy,L4,8,14456,564,0.03901494189263974,0.5229323525147388,0.5452193007477333,0.5158862511717132
external_8b,conditional_energy,L4,10,11342,564,0.04972667959795451,0.5174115186043543,0.5443596366845482,0.5755025743613288
